"","Species","Estimate","lower_CI","upper_CI","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","Estimate_sum","lower_CI_trans","upper_CI_trans"
"Intercept","Salix richardsonii",22.7328642447598,17.1160311360199,28.6385773419787,1.00099895783201,1016.27652455182,1485.41064203095,620,"fixed",22.7328642447598,17.1160311360199,28.6385773419787
"Northern Source","Salix richardsonii",13.2903055558972,10.0679320969598,16.4551685875706,1.00013523962182,4954.90374810846,4120.92810694398,620,"fixed",36.0231698006571,27.1839632329797,45.0937459295493
"Southern Source","Salix richardsonii",23.7274033455378,20.7049040778028,26.7320617806582,0.999810356330013,4741.06437061184,4497.08932874615,620,"fixed",46.4602675902976,37.8209352138227,55.3706391226369
"Southern Garden","Salix richardsonii",17.9202984864343,16.1045673655747,19.734526570798,1.00026550862185,4876.77298507369,4038.74985213838,620,"fixed",40.6531627311941,33.2205985015946,48.3731039127767
"Year","Salix richardsonii",8.50484238354178,4.98240154748224,14.6492460359607,1.00257369240464,1736.89766990805,2839.43080558973,620,"random",8.50484238354178,4.98240154748224,14.6492460359607
"Sigma","Salix richardsonii",9.65520561676144,9.14047524707545,10.2233663362407,1.00066986835426,5652.16822755441,4123.67908391069,620,"residual",9.65520561676144,9.14047524707545,10.2233663362407
"Intercept1","Salix pulchra",20.4528678588104,13.9161439713678,26.7833121051167,1.00202831114071,1074.42200137485,2047.57554858577,793,"fixed",20.4528678588104,13.9161439713678,26.7833121051167
"Northern Source1","Salix pulchra",9.1812401061413,5.95757873728317,12.3411871246081,1.00010262431962,6063.50007348346,3750.5183529829,793,"fixed",29.6341079649517,19.873722708651,39.1244992297248
"Southern Source1","Salix pulchra",23.5548004300154,20.5688750102864,26.5328561390442,1.00048689744297,5713.92385295385,3757.11004053978,793,"fixed",44.0076682888257,34.4850189816542,53.3161682441609
"Southern Garden1","Salix pulchra",16.0651807002988,14.4483111969194,17.7191134973003,0.99981596310847,5070.76788671139,3867.71795126293,793,"fixed",36.5180485591091,28.3644551682872,44.502425602417
"Year1","Salix pulchra",9.5648871623245,5.76847510769523,16.1133924166401,1.0042840004948,1486.12491780844,2633.48065095312,793,"random",9.5648871623245,5.76847510769523,16.1133924166401
"Sigma1","Salix pulchra",10.4767447095113,9.96683790668837,11.0194554375682,1.00089160046436,5363.41675930397,3679.64273970019,793,"residual",10.4767447095113,9.96683790668837,11.0194554375682
"Intercept2","Salix arctica",26.4439223347339,18.7201108610717,34.3061720002011,1.00006977663642,1054.0107415683,1547.19855679803,310,"fixed",26.4439223347339,18.7201108610717,34.3061720002011
"Northern Source2","Salix arctica",1.12545141533282,-3.25057965965391,5.441152271395,1.00000322652089,3303.15186013093,4148.77109462598,310,"fixed",27.5693737500667,15.4695312014178,39.747324271596
"Southern Source2","Salix arctica",4.86806732804194,-0.456992239748694,10.3744062896876,1.00105129427162,1098.1999476651,2438.94536622104,310,"fixed",31.3119896627759,18.263118621323,44.6805782898887
"Southern Garden2","Salix arctica",2.01659205220283,-2.25878279814129,6.35805669076403,1.00115301143628,819.664552402654,1598.22876424179,310,"fixed",28.4605143869368,16.4613280629304,40.6642286909651
"Year2","Salix arctica",9.07888667094799,4.95107647753483,17.2117707393131,1.00128081041237,1782.30090340925,2774.69824947041,310,"random",9.07888667094799,4.95107647753483,17.2117707393131
"Sigma2","Salix arctica",6.12450100885479,5.5958695241644,6.69715789559184,0.999787946972322,5023.69314003734,4504.26202291084,310,"residual",6.12450100885479,5.5958695241644,6.69715789559184
