"","Species","Estimate","Est.Error (log)","Lower 95% CI (log)","Upper 95% CI (log)","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","Estimate (back)","Lower 95% CI (back)","Upper 95% CI (back)"
"Intercept","Salix richardsonii",1.45776440981672,0.166422400892416,1.13952322853068,1.78682208760345,"1.00",1414.93632190373,2501.46841857026,"fixed",601,4.2963439197789,3.12527796655647,5.97044872325051
"Sample age","Salix richardsonii",0.100606589336972,0.024000559661146,0.054220081845854,0.147594372980093,"1.00",1749.03920616555,3739.32649809023,"fixed",601,1.10584150633537,1.0557169207182,1.15904266197861
"Southern population","Salix richardsonii",1.06243068204045,0.229801079944707,0.611123693843541,1.50603523673137,"1.00",1388.40564410893,3023.98754206302,"fixed",601,2.89339537295681,1.84250064259444,4.50881890998807
"Sample age:Southern population","Salix richardsonii",0.105050082172987,0.0321706697778054,0.042036277374469,0.167637799784176,"1.00",1700.06263077778,3592.74499863574,"fixed",601,1.11076623854961,1.04293231291056,1.18250822833689
"Random intercept","Salix richardsonii",1.14240378072819,0.0884158894995549,0.983524633521249,1.33484191253337,"1.00",2521.71582498501,3967.48606954097,"random",601,3.13429347145317,2.67386404350256,3.79939526216846
"sd(Sample age)","Salix richardsonii",0.145762603034942,0.0142705355597041,0.120615340870058,0.176323891382857,"1.00",2302.04286443293,3784.28314788927,"random",601,1.15692150579343,1.12819085997698,1.19282434161594
"cor(Intercept, Sample age)","Salix richardsonii",-0.886979395419359,0.029968774468773,-0.934980351063064,-0.820054629161744,"1.00",2626.96729473599,5709.17656577898,"random",601,0.411898056710118,0.392593579502218,0.440407594751096
"sigma","Salix richardsonii",0.313126450540289,0.0112212542767146,0.292015773345273,0.336259976806872,"1.00",6925.17310675119,8534.43518210103,"residual",601,1.36769446579768,1.33912413994013,1.39970286779565
"Intercept      ","Salix pulchra",1.95951565672294,0.117599359275177,1.73106137445611,2.19221490898367,"1.00",2746.04238584225,4834.73621310797,"fixed",819,7.09588938639651,5.64664393266954,8.95502573196977
"Sample age      ","Salix pulchra",-0.00159459850025025,0.0179858481125821,-0.0371476589793169,0.0337602802953664,"1.00",3410.62956255315,5868.13690345283,"fixed",819,0.998406672196432,0.963533850419598,1.03433662613588
"Southern population ","Salix pulchra",0.989758136503522,0.167991255923206,0.66646339999472,1.32192127854622,"1.00",2763.9461716505,4712.71082150983,"fixed",819,2.69058363967944,1.94733817187318,3.75062044593604
"Sample age:Southern population ","Salix pulchra",0.0149748326959081,0.0248741300947166,-0.0334682165762603,0.0633946365380762,"1.00",3265.64706675948,4896.38659032736,"fixed",819,1.01508751727801,0.967085648035884,1.06544722067958
"Random intercept ","Salix pulchra",0.930719958887547,0.0665031772103327,0.809454839525742,1.07120950854884,"1.00",3585.51392866854,6445.01355767023,"random",819,2.53633457705327,2.24668285007074,2.91890780973561
"sd(Sample age) ","Salix pulchra",0.117806506536867,0.0109924436357459,0.097793903131534,0.140815721676012,"1.00",2652.70478481242,4781.95352994021,"random",819,1.12502640505042,1.10273549135553,1.15121248492954
"cor(Intercept, Sample age) ","Salix pulchra",-0.756287791052677,0.050316348527218,-0.841777420017998,-0.647046417046991,"1.00",3874.06145850183,7004.35284426607,"random",819,0.469405728833143,0.430943874033582,0.523589961584356
"sigma ","Salix pulchra",0.330610247733293,0.010062860190648,0.31179058260153,0.351446804814029,"1.00",7946.61942171782,8369.87966362252,"residual",819,1.39181722266381,1.36586862642247,1.42112214829797
" Intercept ","Salix arctica",0.525639205843734,0.122027063402695,0.290471644495728,0.763422847977353,"1.00",5048.64731283568,5680.92390407463,"fixed",326,1.69153974497447,1.33705795536068,2.14560775513948
" Sample age ","Salix arctica",0.137193066560237,0.0193218683044877,0.0994897602506473,0.175468697668133,"1.00",7327.76505467161,8185.06204152868,"fixed",326,1.14704958406143,1.10460715978159,1.1918046818017
" Southern population ","Salix arctica",0.0167243918667896,0.165431444393388,-0.304876209580179,0.340250783018805,"1.00",4795.07246125618,6370.41278557209,"fixed",326,1.0168650274293,0.737214628851701,1.40529997174538
" Sample age:Southern population ","Salix arctica",0.0436532312017317,0.0264225951587476,-0.00800294992691483,0.0953223589977878,"1.00",6663.5673922866,6965.60366851374,"fixed",326,1.0446200504346,0.992028988419731,1.10001339719439
" Random intercept ","Salix arctica",0.535871650330104,0.0861559818847968,0.374145266616293,0.714457074090264,"1.00",3053.03278602713,4756.20797948153,"random",326,1.70893718890436,1.45374831621765,2.04307714157087
" sd(Sample age) ","Salix arctica",0.049535941839902,0.0195603862177384,0.0100025501428816,0.0879719421026082,"1.00",1987.59589121466,2716.89124062773,"random",326,1.05078335862337,1.0100527428597,1.09195748356734
" cor(Intercept, Sample age) ","Salix arctica",-0.767728817214781,0.208694793306125,-0.980575312386481,-0.198877424119563,"1.00",5340.17916298211,4584.96901598845,"random",326,0.464065850699382,0.375095239826586,0.81965035653972
" sigma ","Salix arctica",0.416553778804786,0.0204514424430467,0.379582144308968,0.459038968813757,"1.00",5302.97290918961,7752.04298488272,"residual",326,1.51672556681723,1.46167369313876,1.58255237176958
