"","Species","Estimate","Est.Error (log)","Lower 95% CI (log)","Upper 95% CI (log)","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","Estimate (back)","Lower 95% CI (back)","Upper 95% CI (back)"
"Intercept","Salix richardsonii",3.18995229139199,0.202377906750548,2.79198827771316,3.58049269941181,"1.00",3945.31384893111,5861.90720700271,"fixed",526,24.2872687036715,16.3134231934037,35.8912200744523
"Sample age","Salix richardsonii",-0.0806612084972735,0.0354201456256255,-0.149207467928982,-0.0113700803284153,"1.00",3555.25171553372,5934.79579076615,"fixed",526,0.922506175761664,0.861390385479967,0.988694314744798
"Southern population","Salix richardsonii",1.260442164826,0.267109513824553,0.738354760044611,1.78204202003931,"1.00",3500.4190321087,5633.46752126133,"fixed",526,3.52698064942181,2.09249003274131,5.94197767594135
"Sample age:Southern population","Salix richardsonii",0.0516509267557979,0.0460335078513809,-0.0382374818974386,0.141903091030695,"1.00",3490.88612081091,5793.25630475904,"fixed",526,1.05300810139613,0.962484341140534,1.1524649589339
"Random intercept","Salix richardsonii",1.05264443421291,0.111403671940086,0.85067410810812,1.28687921471084,"1.00",4015.61823070207,6815.15475916047,"random",526,2.86521798908504,2.34122455855168,3.6214670809232
"sd(Sample age)","Salix richardsonii",0.158600986754683,0.0208911826026834,0.120682439609388,0.202650481401535,"1.00",2054.42685284314,3936.32499927433,"random",526,1.17187026162447,1.12826656270116,1.22464435745608
"cor(Intercept, Sample age)","Salix richardsonii",-0.767574552783374,0.063215089588894,-0.86896430605137,-0.625728754782146,"1.00",3759.75820782443,6404.59967727028,"random",526,0.464137445076066,0.419385679606251,0.534871496293003
"sigma","Salix richardsonii",0.545823343080427,0.0208894625574397,0.50683083190914,0.588230298903287,"1.00",6607.3734103583,8267.42398202077,"residual",526,1.72602891146566,1.66002196118281,1.80079871835831
"Intercept1","Salix pulchra",2.43690115928865,0.165723697119165,2.10548897510848,2.7602989105916,"1.00",7010.05944039775,8729.39756261182,"fixed",742,11.4375426469372,8.21111705998559,15.8045663945722
"Sample age1","Salix pulchra",0.00111197362575322,0.0303373557777647,-0.0575468164024958,0.061393977901079,"1.00",6293.00150207995,8084.63408663342,"fixed",742,1.00111259209765,0.944077691030632,1.06331775537213
"Southern population1","Salix pulchra",1.03211945369984,0.227447727002281,0.58885093682564,1.48645598075049,"1.00",6854.70350060537,7459.0919674069,"fixed",742,2.8070088598045,1.80191670923133,4.42139819930393
"Sample age:Southern population1","Salix pulchra",0.021727759305623,0.040924281156832,-0.0594318400284549,0.102647627215449,"1.00",5975.35254409423,6803.71999659455,"fixed",742,1.02196552599109,0.942299758527149,1.10810087568225
"Random intercept1","Salix pulchra",0.898805923201067,0.124567478166623,0.658514356151806,1.14461698063497,"1.00",2563.63418711401,3555.73387631222,"random",742,2.45666790892453,1.93192005619241,3.14123797142071
"sd(Sample age)1","Salix pulchra",0.138405972820788,0.0234301747126391,0.0919549981982495,0.185007092873172,"1.00",1901.88737382868,2536.43472781662,"random",742,1.1484416917605,1.09631548479859,1.20322697443376
"cor(Intercept, Sample age)1","Salix pulchra",-0.830031242272943,0.0635173893353728,-0.918555549635622,-0.678438726081931,"1.00",3018.73777942319,3783.66779479904,"random",742,0.436035663363523,0.399095098001273,0.50740857804246
"sigma1","Salix pulchra",0.881176350303716,0.0284777344051169,0.827767521854211,0.939265415919485,"1.00",7036.19692993786,8295.46318501111,"residual",742,2.41373743777492,2.2882046669477,2.55810158726447
"Intercept2","Salix arctica",1.40766303776948,0.145381122769295,1.12008331626207,1.69029120038835,"1.00",6627.7117495355,7784.26873585832,"fixed",272,4.08639448709622,3.06510956612681,5.42105908981914
"Sample age2","Salix arctica",0.190078630759278,0.0279383628000817,0.136452797318569,0.246278554168652,"1.00",6551.30833385552,7766.42214557847,"fixed",272,1.20934468560964,1.14620077274889,1.2792558659703
"Southern population2","Salix arctica",0.174189202303852,0.193949126177658,-0.206748997181681,0.553454495942321,"1.00",5755.47457813516,7240.70756144232,"fixed",272,1.19028074837698,0.81322374582431,1.73925088722767
"Sample age:Southern population2","Salix arctica",-0.077042507588515,0.0385563185810849,-0.153063722510703,-0.00122638509513206,"1.00",5797.28348561471,6522.54111557462,"fixed",272,0.925850497098069,0.858075041373217,0.998774366607745
"Random intercept2","Salix arctica",0.388474623727914,0.110153706160262,0.168197462784104,0.605175392202403,"1.00",4149.84451749792,4200.19707888109,"random",272,1.47472955985132,1.18317021966815,1.83157342441237
"sd(Sample age)2","Salix arctica",0.0496289841117798,0.0251892932328392,0.00449406602206194,0.10064257423198,"1.01",762.280761174784,1696.29788216343,"random",272,1.05088113044269,1.00450417948128,1.10588130064186
"cor(Intercept, Sample age)2","Salix arctica",0.153257847897545,0.463762358244126,-0.664911508931347,0.948709229550688,"1.00",1621.30879021622,2338.39934614386,"random",272,1.16562549428047,0.514319038334291,2.58237425478099
"sigma2","Salix arctica",0.528256369181139,0.0271820131432472,0.478159254510955,0.584541163523782,"1.00",5179.17244905605,7629.05949060794,"residual",272,1.69597257897386,1.6131023567559,1.79416756722285
