Name,Species,Origin,PlantYear,H,L1,L2,L3,L_mean,S1,S2,S3,S_mean
KLSpC13,P,K,2013,36.4,55,46,54,47.85,100,141,82,92.7125
KPSp15,P,K,#N/A,,,,,#DIV/0!,,,,#DIV/0!
KPSp14,P,K,#N/A,,,,,#DIV/0!,,,,#DIV/0!
KPSp13,P,K,#N/A,,,,,#DIV/0!,,,,#DIV/0!
KPSp12,P,K,#N/A,,,,,#DIV/0!,,,,#DIV/0!
HERSp30,P,H,2014,,,,,#DIV/0!,,,,#DIV/0!
HERSp29,P,H,2014,5.8,31,41,35,28.2,34,15,40,29.3
H15Sp9,P,H,2015,27.8,40,35,45,36.95,11,,,23.975
H15Sp10,P,H,2015,3.5,40,30,31,26.125,21,29,,25.375
H15Sp11,P,H,2015,18.5,20,22,20,20.125,,,,20.125
H15Sp12,P,H,2015,8.4,21,16,16,15.35,,,,15.35
HeRSp9,P,H,2014,,,,,#DIV/0!,,,,#DIV/0!
K15SSr5,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15SSr6,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15SSr7,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15SSr8,R,K,2015,1.5,26,28,21,19.125,,,,19.125
K15SSr9,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
KLSrE6,R,K,2013,23,41,44,50,39.5,61,86,114,75.125
KLSrE7,R,K,2013,41.6,45,41,46,43.4,95,108,126,93.1
K15ESr1,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
KLSrE9,R,K,2013,29.2,68,50,59,51.55,196,138,121,126.6375
KLSrE10,R,K,2013,17.1,68,63,67,53.775,346,295,422,279.19375
HeSr13,R,H,2013,9,30,25,36,25,25,30,,26.66666667
H15Sr20,R,H,2015,3.7,25,19,,15.9,,,,15.9
H15Sr19,R,H,2015,4.6,27,31,10,18.15,5,,,11.575
H15Sr18,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr17,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
K15CSr6,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15CSr5,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
HeSr6,R,H,2013,6.4,32,26,32,24.1,29,29,19,25.275
HeSr7,R,H,2013,20,38,40,38,34,47,25,41,36.75
HeSr8,R,H,2013,12.5,27,27,28,23.625,51,64,40,44.65625
H15Sr12,R,H,2015,1.3,22,20,19,15.575,4,,,9.7875
