"","...1","X.x","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter"
"1",1,1,"IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,15,15,NA,NA,NA,"HESP1",NA,"2",NA,14.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,"CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,13,13,11,NA,NA,NA,"HESP12",NA,"2",NA,12.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3,"MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,10,10,9,NA,NA,NA,"HESP17",NA,"2",NA,9.66666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,"MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,19,15,17,NA,NA,NA,"HESP18",NA,"2",NA,17,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,"IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,11,10,10,NA,NA,NA,"HESP2",NA,"2",NA,10.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,"MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,20,24,19,NA,NA,NA,"HESP20",NA,"2",NA,21,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,"AB",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,17,25,17,NA,NA,NA,"HESP23",NA,"2",NA,19.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,"AB",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,16,15,10,NA,NA,NA,"HESP30",NA,"2",NA,13.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,"IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,10,10,9,NA,NA,NA,"HESP4",NA,"2",NA,9.66666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,"CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,18,18,15,NA,NA,NA,"HESP6",NA,"2",NA,17,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",27,27,"IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,12,17,10,NA,NA,NA,"KLSPC1",NA,"2",NA,13,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",28,28,"MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,21,19,19,NA,NA,NA,"KLSPC10",NA,"2",NA,19.6666666666667,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",29,29,"AB",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,12,11,10,NA,NA,NA,"KLSPC12",NA,"2",NA,11,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",30,30,"AB",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,25,18,14,NA,NA,NA,"KLSPC13",NA,"2",NA,19,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",31,31,"IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,17,12,10,NA,NA,NA,"KLSPC3",NA,"2",NA,13,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",32,32,"MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,25,27,12,NA,NA,NA,"KLSPC8",NA,"2",NA,21.3333333333333,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",33,33,"MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,13,14,16,NA,NA,NA,"KLSPC9",NA,"2",NA,14.3333333333333,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",34,34,"IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,8,11,10,NA,NA,NA,"KLSPE1",NA,"2",NA,9.66666666666667,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",35,35,"CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,13,14,15,NA,NA,NA,"KLSPE10",NA,"2",NA,14,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",36,36,"MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,18,11,10,NA,NA,NA,"KLSPE11",NA,"2",NA,13,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",37,37,"MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,15,10,11,NA,NA,NA,"KLSPE12",NA,"2",NA,12,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",38,38,"MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,6,10,5,NA,NA,NA,"KLSPE13",NA,"2",NA,7,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",39,39,"MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,15,14,16,NA,NA,NA,"KLSPE14",NA,"2",NA,15,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",40,40,"MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,26,15,15,NA,NA,NA,"KLSPE15",NA,"2",NA,18.6666666666667,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",41,41,"IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,31,24,21,NA,NA,NA,"KLSPE2",NA,"2",NA,25.3333333333333,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",42,42,"IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,5,5,NA,NA,NA,NA,"KLSPE4",NA,"2",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",43,43,"IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,11,9,13,NA,NA,NA,"KLSPE5",NA,"2",NA,11,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",44,44,"CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,17,15,12,NA,NA,NA,"KLSPE6",NA,"2",NA,14.6666666666667,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",45,45,"CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,7,6,8,NA,NA,NA,"KLSPE7",NA,"2",NA,7,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",46,46,"CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,12,11,10,NA,NA,NA,"KLSPE8",NA,"2",NA,11,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",47,47,"CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,19,20,23,NA,NA,NA,"KLSPE9",NA,"2",NA,20.6666666666667,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",60,60,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",5.5,NA,NA,NA,26,21,22,13,6,NA,"H15SP1",NA,"1",NA,23,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",61,61,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",5,NA,NA,NA,38,30,25,29,NA,NA,"H15SP10",NA,"1",NA,31,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",62,62,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",1.6,NA,NA,NA,26,19,14,11,NA,NA,"H15SP11",NA,"1",NA,19.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",63,63,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP12",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",64,64,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",13.8,NA,NA,NA,37,42,44,53,47,10,"H15SP13",NA,"1",36.6666666666667,41,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",65,65,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",16.3,NA,NA,NA,48,19,18,19,15,NA,"H15SP14",NA,"1",NA,28.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",66,66,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",21.3,NA,NA,NA,31,41,40,46,30,NA,"H15SP15",NA,"1",NA,37.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",67,67,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",17.8,NA,NA,NA,33,32,32,16,14,6,"H15SP16",NA,"1",12,32.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",68,68,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",19,NA,NA,NA,27,24,16,18,15,8,"H15SP17",NA,"1",13.6666666666667,22.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",69,69,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",10.6,NA,NA,NA,46,44,35,40,NA,NA,"H15SP18",NA,"1",NA,41.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",70,70,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",5.3,NA,NA,NA,35,27,30,42,NA,NA,"H15SP19",NA,"1",NA,30.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",71,71,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",31,NA,NA,NA,17,21,14,23,22,18,"H15SP2",NA,"1",21,17.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",72,72,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",3.2,NA,NA,NA,33,NA,NA,29,NA,NA,"H15SP20",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",73,73,"MG",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP21",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
