1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6D00000038274121
Is Mission Active?  true
Mission Start:  Thu Aug 10 09:56:00 PDT 2017
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  1988
Total Samples:  4379
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/08/17 09:56:00,C,20
10/08/17 13:56:00,C,23.5
10/08/17 17:56:00,C,29
10/08/17 21:56:00,C,16.5
11/08/17 01:56:00,C,14
11/08/17 05:56:00,C,5.5
11/08/17 09:56:00,C,15.5
11/08/17 13:56:00,C,19.5
11/08/17 17:56:00,C,17.5
11/08/17 21:56:00,C,12
12/08/17 01:56:00,C,6
12/08/17 05:56:00,C,4.5
12/08/17 09:56:00,C,15
12/08/17 13:56:00,C,23.5
12/08/17 17:56:00,C,18
12/08/17 21:56:00,C,14
13/08/17 01:56:00,C,8.5
13/08/17 05:56:00,C,3.5
13/08/17 09:56:00,C,14.5
13/08/17 13:56:00,C,19.5
13/08/17 17:56:00,C,21
13/08/17 21:56:00,C,11
14/08/17 01:56:00,C,2.5
14/08/17 05:56:00,C,5
14/08/17 09:56:00,C,9
14/08/17 13:56:00,C,19.5
14/08/17 17:56:00,C,13.5
14/08/17 21:56:00,C,8.5
15/08/17 01:56:00,C,7.5
15/08/17 05:56:00,C,5.5
15/08/17 09:56:00,C,10
15/08/17 13:56:00,C,17
15/08/17 17:56:00,C,30
15/08/17 21:56:00,C,6
16/08/17 01:56:00,C,2
16/08/17 05:56:00,C,-0.5
16/08/17 09:56:00,C,12.5
16/08/17 13:56:00,C,17
16/08/17 17:56:00,C,25
16/08/17 21:56:00,C,12
17/08/17 01:56:00,C,5.5
17/08/17 05:56:00,C,1
17/08/17 09:56:00,C,11.5
17/08/17 13:56:00,C,18
17/08/17 17:56:00,C,25
17/08/17 21:56:00,C,10
18/08/17 01:56:00,C,4.5
18/08/17 05:56:00,C,7
18/08/17 09:56:00,C,11.5
18/08/17 13:56:00,C,15.5
18/08/17 17:56:00,C,17.5
18/08/17 21:56:00,C,6.5
19/08/17 01:56:00,C,1
19/08/17 05:56:00,C,1.5
19/08/17 09:56:00,C,9.5
19/08/17 13:56:00,C,15.5
19/08/17 17:56:00,C,12.5
19/08/17 21:56:00,C,9.5
20/08/17 01:56:00,C,0.5
20/08/17 05:56:00,C,-2
20/08/17 09:56:00,C,10
20/08/17 13:56:00,C,15
20/08/17 17:56:00,C,14
20/08/17 21:56:00,C,9
21/08/17 01:56:00,C,6.5
21/08/17 05:56:00,C,7
21/08/17 09:56:00,C,10.5
21/08/17 13:56:00,C,16
21/08/17 17:56:00,C,19.5
21/08/17 21:56:00,C,11.5
22/08/17 01:56:00,C,8.5
22/08/17 05:56:00,C,4
22/08/17 09:56:00,C,11.5
22/08/17 13:56:00,C,14
22/08/17 17:56:00,C,13.5
22/08/17 21:56:00,C,10
23/08/17 01:56:00,C,8.5
23/08/17 05:56:00,C,7.5
23/08/17 09:56:00,C,8.5
23/08/17 13:56:00,C,12.5
23/08/17 17:56:00,C,12.5
23/08/17 21:56:00,C,9
24/08/17 01:56:00,C,3.5
24/08/17 05:56:00,C,2
24/08/17 09:56:00,C,10
24/08/17 13:56:00,C,14.5
24/08/17 17:56:00,C,16.5
24/08/17 21:56:00,C,7.5
25/08/17 01:56:00,C,6.5
25/08/17 05:56:00,C,4
25/08/17 09:56:00,C,9
25/08/17 13:56:00,C,15
25/08/17 17:56:00,C,13
25/08/17 21:56:00,C,8.5
26/08/17 01:56:00,C,5
26/08/17 05:56:00,C,5
26/08/17 09:56:00,C,9.5
26/08/17 13:56:00,C,13
26/08/17 17:56:00,C,26
26/08/17 21:56:00,C,4
27/08/17 01:56:00,C,5.5
27/08/17 05:56:00,C,5
27/08/17 09:56:00,C,8.5
27/08/17 13:56:00,C,15.5
27/08/17 17:56:00,C,15.5
27/08/17 21:56:00,C,8
28/08/17 01:56:00,C,1.5
28/08/17 05:56:00,C,-2
28/08/17 09:56:00,C,8
28/08/17 13:56:00,C,15
28/08/17 17:56:00,C,14
28/08/17 21:56:00,C,9
29/08/17 01:56:00,C,7.5
29/08/17 05:56:00,C,6.5
29/08/17 09:56:00,C,9
29/08/17 13:56:00,C,17
29/08/17 17:56:00,C,23
29/08/17 21:56:00,C,15
30/08/17 01:56:00,C,13.5
30/08/17 05:56:00,C,14
30/08/17 09:56:00,C,14
30/08/17 13:56:00,C,21.5
30/08/17 17:56:00,C,25.5
30/08/17 21:56:00,C,6.5
31/08/17 01:56:00,C,5.5
31/08/17 05:56:00,C,4
31/08/17 09:56:00,C,9
31/08/17 13:56:00,C,12.5
31/08/17 17:56:00,C,13.5
31/08/17 21:56:00,C,6.5
01/09/17 01:56:00,C,-1
01/09/17 05:56:00,C,-1
01/09/17 09:56:00,C,7
01/09/17 13:56:00,C,17
01/09/17 17:56:00,C,19
01/09/17 21:56:00,C,7
02/09/17 01:56:00,C,3.5
02/09/17 05:56:00,C,1
02/09/17 09:56:00,C,6
02/09/17 13:56:00,C,11.5
02/09/17 17:56:00,C,20
02/09/17 21:56:00,C,3
03/09/17 01:56:00,C,-1.5
03/09/17 05:56:00,C,-4
03/09/17 09:56:00,C,6
03/09/17 13:56:00,C,12
03/09/17 17:56:00,C,12
03/09/17 21:56:00,C,9
04/09/17 01:56:00,C,7
04/09/17 05:56:00,C,6.5
04/09/17 09:56:00,C,10
04/09/17 13:56:00,C,16
04/09/17 17:56:00,C,14
04/09/17 21:56:00,C,9
05/09/17 01:56:00,C,7.5
05/09/17 05:56:00,C,9
05/09/17 09:56:00,C,12
05/09/17 13:56:00,C,18.5
05/09/17 17:56:00,C,27
05/09/17 21:56:00,C,17
06/09/17 01:56:00,C,17
