1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: E70000003821EC21
Is Mission Active?  true
Mission Start:  Thu Aug 10 17:49:00 PDT 2017
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  1988
Total Samples:  4404
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/08/17 17:49:00,C,20.5
10/08/17 21:49:00,C,24
11/08/17 01:49:00,C,28
11/08/17 05:49:00,C,17
11/08/17 09:49:00,C,14.5
11/08/17 13:49:00,C,6
11/08/17 17:49:00,C,16
11/08/17 21:49:00,C,20
12/08/17 01:49:00,C,18
12/08/17 05:49:00,C,12
12/08/17 09:49:00,C,6.5
12/08/17 13:49:00,C,4.5
12/08/17 17:49:00,C,15.5
12/08/17 21:49:00,C,24
13/08/17 01:49:00,C,18.5
13/08/17 05:49:00,C,14.5
13/08/17 09:49:00,C,9
13/08/17 13:49:00,C,4
13/08/17 17:49:00,C,15
13/08/17 21:49:00,C,20
14/08/17 01:49:00,C,21.5
14/08/17 05:49:00,C,11.5
14/08/17 09:49:00,C,2.5
14/08/17 13:49:00,C,5.5
14/08/17 17:49:00,C,9.5
14/08/17 21:49:00,C,20.5
15/08/17 01:49:00,C,14
15/08/17 05:49:00,C,9
15/08/17 09:49:00,C,8
15/08/17 13:49:00,C,6
15/08/17 17:49:00,C,10.5
15/08/17 21:49:00,C,17.5
16/08/17 01:49:00,C,28
16/08/17 05:49:00,C,6.5
16/08/17 09:49:00,C,2.5
16/08/17 13:49:00,C,0
16/08/17 17:49:00,C,12.5
16/08/17 21:49:00,C,17.5
17/08/17 01:49:00,C,24.5
17/08/17 05:49:00,C,12.5
17/08/17 09:49:00,C,6
17/08/17 13:49:00,C,1
17/08/17 17:49:00,C,12.5
17/08/17 21:49:00,C,18.5
18/08/17 01:49:00,C,23
18/08/17 05:49:00,C,10.5
18/08/17 09:49:00,C,5
18/08/17 13:49:00,C,7.5
18/08/17 17:49:00,C,12
18/08/17 21:49:00,C,16
19/08/17 01:49:00,C,17.5
19/08/17 05:49:00,C,7
19/08/17 09:49:00,C,1.5
19/08/17 13:49:00,C,2
19/08/17 17:49:00,C,10
19/08/17 21:49:00,C,16
20/08/17 01:49:00,C,13
20/08/17 05:49:00,C,10
20/08/17 09:49:00,C,0.5
20/08/17 13:49:00,C,-1.5
20/08/17 17:49:00,C,10
20/08/17 21:49:00,C,15.5
21/08/17 01:49:00,C,14.5
21/08/17 05:49:00,C,9.5
21/08/17 09:49:00,C,7
21/08/17 13:49:00,C,7
21/08/17 17:49:00,C,11
21/08/17 21:49:00,C,16.5
22/08/17 01:49:00,C,19.5
22/08/17 05:49:00,C,12
22/08/17 09:49:00,C,9
22/08/17 13:49:00,C,4.5
22/08/17 17:49:00,C,12
22/08/17 21:49:00,C,14.5
23/08/17 01:49:00,C,14
23/08/17 05:49:00,C,10.5
23/08/17 09:49:00,C,9
23/08/17 13:49:00,C,8
23/08/17 17:49:00,C,9
23/08/17 21:49:00,C,13
24/08/17 01:49:00,C,13
24/08/17 05:49:00,C,9.5
24/08/17 09:49:00,C,4
24/08/17 13:49:00,C,2
24/08/17 17:49:00,C,10.5
24/08/17 21:49:00,C,15
25/08/17 01:49:00,C,17
25/08/17 05:49:00,C,8
25/08/17 09:49:00,C,7
25/08/17 13:49:00,C,4.5
25/08/17 17:49:00,C,9.5
25/08/17 21:49:00,C,15.5
26/08/17 01:49:00,C,13
26/08/17 05:49:00,C,9
26/08/17 09:49:00,C,5.5
26/08/17 13:49:00,C,6
26/08/17 17:49:00,C,10
26/08/17 21:49:00,C,13
27/08/17 01:49:00,C,24
27/08/17 05:49:00,C,4.5
27/08/17 09:49:00,C,6
27/08/17 13:49:00,C,5.5
27/08/17 17:49:00,C,9.5
27/08/17 21:49:00,C,16
28/08/17 01:49:00,C,16
28/08/17 05:49:00,C,9
28/08/17 09:49:00,C,2
28/08/17 13:49:00,C,-2
28/08/17 17:49:00,C,9
28/08/17 21:49:00,C,15
29/08/17 01:49:00,C,14
29/08/17 05:49:00,C,9.5
29/08/17 09:49:00,C,8
29/08/17 13:49:00,C,7
29/08/17 17:49:00,C,9.5
29/08/17 21:49:00,C,18
30/08/17 01:49:00,C,22.5
30/08/17 05:49:00,C,15.5
30/08/17 09:49:00,C,14
30/08/17 13:49:00,C,14.5
30/08/17 17:49:00,C,14.5
30/08/17 21:49:00,C,22
31/08/17 01:49:00,C,24.5
31/08/17 05:49:00,C,7
31/08/17 09:49:00,C,6.5
31/08/17 13:49:00,C,4
31/08/17 17:49:00,C,9.5
31/08/17 21:49:00,C,13
01/09/17 01:49:00,C,14
01/09/17 05:49:00,C,7
01/09/17 09:49:00,C,-1
01/09/17 13:49:00,C,-0.5
01/09/17 17:49:00,C,7.5
01/09/17 21:49:00,C,17.5
02/09/17 01:49:00,C,18.5
02/09/17 05:49:00,C,7.5
02/09/17 09:49:00,C,4
02/09/17 13:49:00,C,1
02/09/17 17:49:00,C,6
02/09/17 21:49:00,C,12
03/09/17 01:49:00,C,18
03/09/17 05:49:00,C,3.5
03/09/17 09:49:00,C,-1
03/09/17 13:49:00,C,-3.5
03/09/17 17:49:00,C,6.5
03/09/17 21:49:00,C,12.5
04/09/17 01:49:00,C,12.5
04/09/17 05:49:00,C,9.5
04/09/17 09:49:00,C,7.5
04/09/17 13:49:00,C,7
04/09/17 17:49:00,C,10.5
04/09/17 21:49:00,C,16.5
05/09/17 01:49:00,C,14.5
