1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F400000033E1C221
Is Mission Active?  true
Mission Start:  Thu Aug 10 17:57:00 PDT 2017
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  1988
Total Samples:  4404
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/08/17 17:57:00,C,20
10/08/17 21:57:00,C,23
11/08/17 01:57:00,C,25
11/08/17 05:57:00,C,15
11/08/17 09:57:00,C,12.5
11/08/17 13:57:00,C,8
11/08/17 17:57:00,C,13.5
11/08/17 21:57:00,C,19
12/08/17 01:57:00,C,16.5
12/08/17 05:57:00,C,12
12/08/17 09:57:00,C,8
12/08/17 13:57:00,C,6.5
12/08/17 17:57:00,C,12
12/08/17 21:57:00,C,22.5
13/08/17 01:57:00,C,16.5
13/08/17 05:57:00,C,13
13/08/17 09:57:00,C,9.5
13/08/17 13:57:00,C,6.5
13/08/17 17:57:00,C,11
13/08/17 21:57:00,C,18
14/08/17 01:57:00,C,19
14/08/17 05:57:00,C,11
14/08/17 09:57:00,C,6
14/08/17 13:57:00,C,6
14/08/17 17:57:00,C,9.5
14/08/17 21:57:00,C,18
15/08/17 01:57:00,C,16
15/08/17 05:57:00,C,10.5
15/08/17 09:57:00,C,8
15/08/17 13:57:00,C,6.5
15/08/17 17:57:00,C,8
15/08/17 21:57:00,C,19
16/08/17 01:57:00,C,20
16/08/17 05:57:00,C,9
16/08/17 09:57:00,C,5
16/08/17 13:57:00,C,3
16/08/17 17:57:00,C,8.5
16/08/17 21:57:00,C,19
17/08/17 01:57:00,C,26
17/08/17 05:57:00,C,11.5
17/08/17 09:57:00,C,7
17/08/17 13:57:00,C,3
17/08/17 17:57:00,C,10
17/08/17 21:57:00,C,22
18/08/17 01:57:00,C,27
18/08/17 05:57:00,C,10
18/08/17 09:57:00,C,6.5
18/08/17 13:57:00,C,7
18/08/17 17:57:00,C,8.5
18/08/17 21:57:00,C,19
19/08/17 01:57:00,C,18.5
19/08/17 05:57:00,C,8.5
19/08/17 09:57:00,C,4.5
19/08/17 13:57:00,C,4
19/08/17 17:57:00,C,9.5
19/08/17 21:57:00,C,17.5
20/08/17 01:57:00,C,13.5
20/08/17 05:57:00,C,9.5
20/08/17 09:57:00,C,3.5
20/08/17 13:57:00,C,1.5
20/08/17 17:57:00,C,8.5
20/08/17 21:57:00,C,18
21/08/17 01:57:00,C,15
21/08/17 05:57:00,C,9
21/08/17 09:57:00,C,7.5
21/08/17 13:57:00,C,7
21/08/17 17:57:00,C,10.5
21/08/17 21:57:00,C,18
22/08/17 01:57:00,C,19.5
22/08/17 05:57:00,C,12
22/08/17 09:57:00,C,9.5
22/08/17 13:57:00,C,6
22/08/17 17:57:00,C,11.5
22/08/17 21:57:00,C,16.5
23/08/17 01:57:00,C,14.5
23/08/17 05:57:00,C,11
23/08/17 09:57:00,C,9
23/08/17 13:57:00,C,8.5
23/08/17 17:57:00,C,9
23/08/17 21:57:00,C,13.5
24/08/17 01:57:00,C,14.5
24/08/17 05:57:00,C,9.5
24/08/17 09:57:00,C,6.5
24/08/17 13:57:00,C,4.5
24/08/17 17:57:00,C,8
24/08/17 21:57:00,C,16
25/08/17 01:57:00,C,17
25/08/17 05:57:00,C,9
25/08/17 09:57:00,C,8
25/08/17 13:57:00,C,5.5
25/08/17 17:57:00,C,8
25/08/17 21:57:00,C,16
26/08/17 01:57:00,C,12.5
26/08/17 05:57:00,C,8.5
26/08/17 09:57:00,C,6
26/08/17 13:57:00,C,5.5
26/08/17 17:57:00,C,8.5
26/08/17 21:57:00,C,13
27/08/17 01:57:00,C,24
27/08/17 05:57:00,C,6
27/08/17 09:57:00,C,5
27/08/17 13:57:00,C,4.5
27/08/17 17:57:00,C,6
27/08/17 21:57:00,C,18
28/08/17 01:57:00,C,16.5
28/08/17 05:57:00,C,8
28/08/17 09:57:00,C,4
28/08/17 13:57:00,C,1
28/08/17 17:57:00,C,5
28/08/17 21:57:00,C,15
29/08/17 01:57:00,C,14
29/08/17 05:57:00,C,8.5
29/08/17 09:57:00,C,6.5
29/08/17 13:57:00,C,6.5
29/08/17 17:57:00,C,8.5
29/08/17 21:57:00,C,19
30/08/17 01:57:00,C,21.5
30/08/17 05:57:00,C,13.5
30/08/17 09:57:00,C,12.5
30/08/17 13:57:00,C,12.5
30/08/17 17:57:00,C,13
30/08/17 21:57:00,C,22.5
31/08/17 01:57:00,C,26
31/08/17 05:57:00,C,7.5
31/08/17 09:57:00,C,6.5
31/08/17 13:57:00,C,5
31/08/17 17:57:00,C,8.5
31/08/17 21:57:00,C,13.5
01/09/17 01:57:00,C,14.5
01/09/17 05:57:00,C,6.5
01/09/17 09:57:00,C,2
01/09/17 13:57:00,C,2
01/09/17 17:57:00,C,4.5
01/09/17 21:57:00,C,18
02/09/17 01:57:00,C,19.5
02/09/17 05:57:00,C,6.5
02/09/17 09:57:00,C,4.5
02/09/17 13:57:00,C,2
02/09/17 17:57:00,C,6
02/09/17 21:57:00,C,12.5
03/09/17 01:57:00,C,24
03/09/17 05:57:00,C,5
03/09/17 09:57:00,C,1
03/09/17 13:57:00,C,-1
03/09/17 17:57:00,C,4.5
03/09/17 21:57:00,C,14
04/09/17 01:57:00,C,12
04/09/17 05:57:00,C,8
04/09/17 09:57:00,C,7
04/09/17 13:57:00,C,5.5
04/09/17 17:57:00,C,9
04/09/17 21:57:00,C,17
05/09/17 01:57:00,C,17
05/09/17 05:57:00,C,9
05/09/17 09:57:00,C,7
05/09/17 13:57:00,C,8
05/09/17 17:57:00,C,11
05/09/17 21:57:00,C,19
06/09/17 01:57:00,C,27.5
06/09/17 05:57:00,C,15.5
06/09/17 09:57:00,C,15.5
06/09/17 13:57:00,C,13.5
06/09/17 17:57:00,C,13
06/09/17 21:57:00,C,20.5
07/09/17 01:57:00,C,17
07/09/17 05:57:00,C,10.5
07/09/17 09:57:00,C,9
07/09/17 13:57:00,C,8
07/09/17 17:57:00,C,8
07/09/17 21:57:00,C,17
08/09/17 01:57:00,C,16
08/09/17 05:57:00,C,7.5
08/09/17 09:57:00,C,5.5
08/09/17 13:57:00,C,4.5
08/09/17 17:57:00,C,7.5
08/09/17 21:57:00,C,12.5
09/09/17 01:57:00,C,12.5
09/09/17 05:57:00,C,7
09/09/17 09:57:00,C,5.5
09/09/17 13:57:00,C,5.5
09/09/17 17:57:00,C,6.5
09/09/17 21:57:00,C,13
