bed,name,location,Plant_ID_fulcrum,Bulk_ID_fulcrum_June2021,Bulk_ID_fulcrum_July2021,Bulk_ID_fulcrum_Aug2021
IMS,HERSp3,Qikiqtaruk,105591150,105591213,107171128,109129271
IMS,KLSpE4,Kluane,105233956,105240861,107171175,109129335
IMS,HERSp24,Qikiqtaruk,105342279,105342324,107171204,109129306
LB,H17Sr5,Qikiqtaruk,107401981,NA,107402037,109129200
LB,KP17Sr2,Kluane,105250398,105250450,107171239,109129235
LB,HEFSr4,Qikiqtaruk,105342384,105342479,107171266,109129166
SL,PC16CWSp7,Kluane,105590678,105590773,107251328,109129127
SL,PC17Sp1,Kluane,105341908,105341963,107251407,109129092
GD,H17Sr9,Qikiqtaruk,105234583,105239782,107251509,109129052
GD,H17Sr13,Qikiqtaruk,105342124,105342196,107251456,109129008
SW,HESr8,Qikiqtaruk,105591271,105591310,107251563,NA
SW,KLSrE10,Kluane,105233661,105242530,107251609,109154187
CF,HESp12,Qikiqtaruk,105591046,105591081,107251655,109128968
JA,KP17Sa2,Kluane,105591745,105591787,107171287,109154341
JA,PC17Sa1,Kluane,105341735,105341831,107171332,109154431
JA,HE16Sa3,Qikiqtaruk,105342021,105342070,107171355,109154282
JG,KP16Sp59,Kluane,105250499,105250566,107251839,109128902
MG,HERSp12,Qikiqtaruk,105248356,105248474,107171414,109154480
MG,HESp20,Qikiqtaruk,105590840,105590881,107171447,NA
IR,KLSrE11,Kluane,105591414,105519455,107251889,109154517
IR,KLSrE14,Kluane,105249632,105249699,107251936,109140148
SAB,HE16Sa7,Qikiqtaruk,105591975,105592027,107251975,109213957
SAB,KP17Sa6,Kluane,105249767,105249832,107252021,109214034
AC,KLSrC13,Kluane,105248807,105248949,107252077,109139804
AB,HERSp29,Qikiqtaruk,105591629,105591665,107342873,NA
AB,KLSpC13,Kluane,105590946,105590986,107342839,109223041
AB,KP16Sp33,Kluane,105249881,105249951,107342805,109223069
JB,H15Sa10,Qikiqtaruk,105592131,105592169,107342774,109222848
JB,H15Sa12,Qikiqtaruk,105272749,105272799,107342742,109297417
JB,K15PSa2,Kluane,105272539,105272603,107342714,109222952
JB,K15PSa7,Kluane,105234088,105242585,107342682,109232447
JB,K15PSa9,Kluane,105249213,105249284,107342651,109297253
JB,H17Sa18,Qikiqtaruk,105591856,105591888,107342611,109222916
JB,H17Sa20,Qikiqtaruk,105272652,105272707,107342550,109297321
EW,KP16Sr58,Kluane,105591529,105591571,107252154,109223013
EW,H17Sr35,Qikiqtaruk,105272398,105272478,107252211,109222984
LB,KLSrE4,Kluane,105773699,105773750,108107463,109297512
CF,KLSpE6,Kluane,105773619,105773675,108107525,109297462
JB,K15PSa12,Kluane,108107310,NA,108107336,109297373
CF,H15Sp15,Qikiqtaruk,105342539,105342584,NA,NA
