"","Bed","SampleID","Bed_old","SampleID_old","Year_planted","Species","Site","Plant_ID_fulcrum","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Fresh_mass","Dry_mass","LA","LDMC","SLA","Notes_canopy_height_prev_cm","August_2021_notes","July_2021_notes","Sample_age","mean_stem_elong","mean_leaf_length"
"1","IMS","HESp1",NA,"HESp1",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,14,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14.6666666666667,NA
"2","CF","HESp12",NA,"HESp12",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,13,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12.3333333333333,NA
"3","MG","HESp17",NA,"HESp17",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9.66666666666667,NA
"4","MG","HESp18",NA,"HESp18",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,19,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,NA
"5","IMS","HESp2",NA,"HESp2",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10.3333333333333,NA
"6","MG","HESp20",NA,"HESp20",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,20,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,NA
"7","AB","HESp23",NA,"HESp23",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,17,25,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19.6666666666667,NA
"8","AB","HESp30",NA,"HESp30",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,16,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13.6666666666667,NA
"9","IMS","HESp4",NA,"HESp4",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9.66666666666667,NA
"10","CF","HESp6",NA,"HESp6",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,18,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,NA
"11","SW","HESr13",NA,"HESr13",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,13,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15.6666666666667,NA
"12","IR","HESr16",NA,"HESr16",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA
"13","IR","HESr17",NA,"HESr17",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,20,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17.3333333333333,NA
"14","LB","HESr2",NA,"HESr2",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,10,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA
"15","IR","HESr20",NA,"HESr20",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,11,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,NA
"16","AC","HESr21",NA,"HESr21",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,17,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15.3333333333333,NA
"17","AC","HESr23",NA,"HESr23",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,14,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,NA
"18","AC","HESr24",NA,"HESr24",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,14,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.66666666666667,NA
"19","AC","HESr26",NA,"HESr26",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,15,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16,NA
"20","AC","HESr27",NA,"HESr27",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,14,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12.3333333333333,NA
"21","AC","HESr29",NA,"HESr29",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,15,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14.6666666666667,NA
"22","LB","HESr3",NA,"HESr3",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,8,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.66666666666667,NA
"23","LB","HESr4",NA,"HESr4",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,9,14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10.6666666666667,NA
"24","SW","HESr6",NA,"HESr6",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,14,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13.3333333333333,NA
"25","SW","HESr7",NA,"HESr7",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,9,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9.66666666666667,NA
"26","SW","HESr8",NA,"HESr8",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,12,12,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15.6666666666667,NA
"27","IMS","KLSPC1",NA,"KLSpC1",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,12,17,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,NA
"28","MG","KLSPC10",NA,"KLSpC10",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,21,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19.6666666666667,NA
"29","AB","KLSPC12",NA,"KLSpC12",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,12,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,NA
"30","AB","KLSPC13",NA,"KLSpC13",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,25,18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,NA
"31","IMS","KLSPC3",NA,"KLSpC3",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,17,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,NA
"32","MG","KLSPC8",NA,"KLSpC8",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,25,27,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21.3333333333333,NA
"33","MG","KLSPC9",NA,"KLSpC9",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,13,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14.3333333333333,NA
"34","IMS","KLSpE1",NA,"KLSpE1",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,8,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9.66666666666667,NA
"35","CF","KLSpE10",NA,"KLSpE10",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,13,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14,NA
"36","MG","KLSpE11",NA,"KLSpE11",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,18,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,NA
"37","MG","KLSpE12",NA,"KLSpE12",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,15,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,NA
"38","MG","KLSpE13",NA,"KLSpE13",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,6,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA
"39","MG","KLSpE14",NA,"KLSpE14",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,15,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,NA
"40","MG","KLSpE15",NA,"KLSpE15",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,26,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,18.6666666666667,NA
"41","IMS","KLSpE2",NA,"KLSpE2",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,31,24,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.3333333333333,NA
"42","IMS","KLSpE4",NA,"KLSpE4",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"43","IMS","KLSpE5",NA,"KLSpE5",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,11,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,NA
"44","CF","KLSpE6",NA,"KLSpE6",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,17,15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14.6666666666667,NA
"45","CF","KLSpE7",NA,"KLSpE7",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,7,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA
"46","CF","KLSpE8",NA,"KLSpE8",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,12,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,NA
"47","CF","KLSpE9",NA,"KLSpE9",2013,"Salix pulchra","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,19,20,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20.6666666666667,NA
"48","IR","KLSrC10",NA,"KLSrC10",2013,"Salix richardsonii","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9.66666666666667,NA
"49","LB","KLSrC2",NA,"KLSrC2",2013,"Salix richardsonii","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,22,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,NA
"50","IR","KLSrC6",NA,"KLSrC6",2013,"Salix richardsonii","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,11,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13.6666666666667,NA
"51","SW","KLSrE10",NA,"KLSrE10",2013,"Salix richardsonii","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,15,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13.6666666666667,NA
"52","IR","KLSrE11",NA,"KLSrE11",2013,"Salix richardsonii","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,13,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12.6666666666667,NA
"53","IR","KLSrE13",NA,"KLSrE13",2013,"Salix richardsonii","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,13,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14,NA
"54","IR","KLSrE14",NA,"KLSrE14",2013,"Salix richardsonii","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,16,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13.6666666666667,NA
"55","IR","KLSrE15",NA,"KLSrE15",2013,"Salix richardsonii","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,12,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,NA
"56","LB","KLSrE4",NA,"KLSrE4",2013,"Salix richardsonii","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,10,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11.3333333333333,NA
"57","SW","KLSrE6",NA,"KLSrE6",2013,"Salix richardsonii","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,17,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16.3333333333333,NA
"58","SW","KLSrE7",NA,"KLSrE7",2013,"Salix richardsonii","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,18,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15.6666666666667,NA
"59","SW","KLSrE9",NA,"KLSrE9",2013,"Salix richardsonii","Kluane",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,15,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,NA
"60","IMS","H15Sp1",NA,"H15Sp1",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,5.5,NA,NA,NA,26,21,22,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,23,NA
"61","CF","H15Sp10",NA,"H15Sp10",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,5,NA,NA,NA,38,30,25,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,31,NA
"62","CF","H15Sp11",NA,"H15Sp11",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,1.6,NA,NA,NA,26,19,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19.6666666666667,NA
"63","CF","H15Sp12",NA,"H15Sp12",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"64","CF","H15Sp13",NA,"H15Sp13",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,13.8,NA,NA,NA,37,42,44,53,47,10,NA,NA,NA,NA,NA,NA,NA,NA,1,41,36.6666666666667
"65","CF","H15Sp14",NA,"H15Sp14",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,16.3,NA,NA,NA,48,19,18,19,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28.3333333333333,NA
"66","CF","H15Sp15",NA,"H15Sp15",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,21.3,NA,NA,NA,31,41,40,46,30,NA,NA,NA,NA,NA,NA,"Herbivory ",NA,NA,1,37.3333333333333,NA
"67","CF","H15Sp16",NA,"H15Sp16",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,17.8,NA,NA,NA,33,32,32,16,14,6,NA,NA,NA,NA,NA,NA,NA,NA,1,32.3333333333333,12
"68","CF","H15Sp17",NA,"H15Sp17",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,19,NA,NA,NA,27,24,16,18,15,8,NA,NA,NA,NA,NA,NA,NA,NA,1,22.3333333333333,13.6666666666667
"69","CF","H15Sp18",NA,"H15Sp18",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,10.6,NA,NA,NA,46,44,35,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,41.6666666666667,NA
"70","CF","H15Sp19",NA,"H15Sp19",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,5.3,NA,NA,NA,35,27,30,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30.6666666666667,NA
"71","IMS","H15Sp2",NA,"H15Sp2",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,31,NA,NA,NA,17,21,14,23,22,18,NA,NA,NA,NA,NA,NA,NA,NA,1,17.3333333333333,21
"72","CF","H15Sp20",NA,"H15Sp20",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,3.2,NA,NA,NA,33,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"73","MG","H15Sp21",NA,"H15Sp21",2015,"Salix pulchra","Qikiqtaruk",NA,"11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
