Bed,SampleID
AB,H15Sp25
AB,H15Sp27
AB,H15Sp29
AB,H15Sp30
AB,H17Sp10
AB,H17Sp11
AB,H17Sp12
AB,H17Sp13
AB,H17Sp14
AB,H17Sp15
AB,H17Sp17
AB,H17Sp18
AB,H17Sp19
AB,H17Sp20
AB,H18Sp26
AB,H18Sp27
AB,H18Sp28
AB,H18Sp29
AB,H18Sp30
AB,HE15Sp26
AB,HE16Sp1
AB,HE16Sp2
AB,HE16Sp4
AB,HERSp26
AB,HERSp29
AB,HERSp30
AB,HESp23
AB,KLSpC13
AB,KP16Sp32
AB,KP16Sp33
AB,KP16Sp34
AB,KP16Sp35
AB,KP17Sp10
AB,KP17Sp11
AB,KP17Sp12
AB,KP17Sp13
AB,KP17Sp14
AB,KP17Sp15
AB,KP17Sp16
AB,KP17Sp17
AB,KP17Sp9
AB,KPSp14
AB,KPSp15
AB,PC16CESp7
AB,PP17Sp11
AB,PP17Sp12
AB,PP17Sp13
AB,PP17Sp14
AB,PP17Sp15
AC,H15Sr25
AC,H15Sr26
AC,H15Sr29
AC,H15Sr30
AC,H17Sr20
AC,H17Sr21
AC,H17Sr21_clone
AC,H17Sr22
AC,H17Sr23
AC,H17Sr24
AC,H17Sr25
AC,H17Sr26
AC,H17Sr27
AC,H17Sr28
AC,H17Sr29
AC,H18Sr21
AC,H18Sr22
AC,H18Sr23
AC,H18Sr24
AC,H18Sr25
AC,HE16Sr10
AC,HE16Sr6
AC,HE16Sr7
AC,HE16Sr9
AC,HESr21
AC,HESr23
AC,HESr26
AC,HESr27
AC,K15PSr15
AC,KLSrC11
AC,KLSrC13
AC,KP16Sr31
AC,KP16Sr32
AC,KP16Sr33
AC,KP16Sr34
AC,KP16Sr35
AC,PC16CWSr10
AC,PC16CWSr6
AC,PC16CWSr8
AC,Pc17Sr14
AC,Pc17Sr15
AC,PP16TSr6
AC,PP16TSr7
AC,PP16TSr8
AC,PP16TSr9
CF,H15Sp10
CF,H15Sp11
CF,H15Sp12
CF,H15Sp13
CF,H15Sp14
CF,H15Sp15
CF,H15Sp16
CF,H15Sp17
CF,H15Sp18
CF,H15Sp19
CF,H15Sp20
CF,H15Sp9
CF,H17Sp9
CF,H18Sp10
CF,H18Sp7
CF,H18Sp8
CF,H18Sp9
CF,HESp12
CF,HESp6
CF,KLSpe10
CF,KLSpE6
CF,KLSpE7
CF,KLSpE8
CF,KLSpE9
CF,KP16Sp1
CF,KP16Sp2
CF,KP16Sp3
CF,KP16Sp42
CF,KP16Sp43
CF,KP16Sp44
CF,KP16Sp45
CF,KP16Sp46
CF,KP16Sp5
CF,KP16Sp51
CF,KP16Sp52
CF,KP16Sp53
CF,KP16Sp54
CF,KP16Sp55
CF,KPSr5
CF,PC17Sp5
CF,PC17Sp6
EW,H17Sr30
EW,H17Sr31
EW,H17Sr32
EW,H17Sr33
EW,H17Sr34
EW,H17Sr35
EW,H17Sr36
EW,H17Sr37
EW,H17Sr38
EW,H17Sr39
EW,H17Sr40
EW,H18Sr26
EW,H18Sr27
EW,H18Sr28
EW,H18Sr29
EW,H18Sr30
EW,HE16Sr11
EW,HE16Sr13
EW,HE16Sr15
EW,HE16Sr26
EW,HE16Sr27
EW,KP16Sr11
EW,KP16Sr12
EW,KP16Sr13
EW,KP16Sr16
EW,KP16Sr17
EW,KP16Sr18
EW,KP16Sr19
EW,KP16Sr20
EW,KP16Sr56
EW,KP16Sr57
EW,KP16Sr58
EW,KP16Sr59
EW,KP16Sr60
EW,KP18Sa10
EW,KP18Sa5
EW,KP18Sa6
EW,KP18Sa7
EW,KP18Sa8
EW,KP18Sa9
EW,Pc16pvSr1
EW,PP17Sr16
EW,PP17Sr17
EW,PP17Sr18
EW,PP17Sr19
EW,PP17Sr20
GD,H17Sr10
GD,H17Sr11
GD,H17Sr12
GD,H17Sr13
GD,H17Sr14
GD,H17Sr15
GD,H17Sr6
GD,H17Sr7
GD,H17Sr8
GD,H17Sr9
GD,H18Sr10
GD,H18Sr6
GD,H18Sr7
GD,H18Sr8
GD,H18Sr9
GD,HE16Sr17
GD,HE16Sr18
GD,HE16Sr19
GD,HE16Sr20
GD,HE16Sr21
GD,HE16Sr22
GD,HE16Sr23
GD,HE16Sr25
GD,KP16Sr36
