"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","SampleID_standard"
"1","IMS","HESp1",2013,"Salix pulchra","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,12,14,9,NA,NA,NA,"HESP1"
"2","CF","HESp12",2013,"Salix pulchra","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,12,9,13,NA,NA,NA,"HESP12"
"3","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,7,11,7,NA,NA,NA,"HESP17"
"4","MG","HESp18",2013,"Salix pulchra","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,16,14,14,NA,NA,NA,"HESP18"
"5","MG","HESp19",2013,"Salix pulchra","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"HESP19"
"6","IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,8,7,6,NA,NA,NA,"HESP2"
"7","MG","HESp20",2013,"Salix pulchra","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,13,8,12,NA,NA,NA,"HESP20"
"8","AB","HESp23",2013,"Salix pulchra","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,23,24,15,NA,NA,NA,"HESP23"
"9","AB","HESp30",2013,"Salix pulchra","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,14,11,10,NA,NA,NA,"HESP30"
"10","IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,9,12,8,NA,NA,NA,"HESP4"
"11","CF","HESp6",2013,"Salix pulchra","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,9,9,5,NA,NA,NA,"HESP6"
"12","SW","HESr13",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,8,13,11,NA,NA,NA,"HESR13"
"13","IR","HESr16",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,4,6,2,NA,NA,NA,"HESR16"
"14","IR","HESr17",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,18,13,17,NA,NA,NA,"HESR17"
"15","LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,7,7,5,NA,NA,NA,"HESR2"
"16","IR","HESr20",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,10,9,8,NA,NA,NA,"HESR20"
"17","AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,12,14,12,NA,NA,NA,"HESR21"
"18","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,10,8,7,NA,NA,NA,"HESR23"
"19","AC","HESr24",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"HESR24"
"20","AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,7,7,4,NA,NA,NA,"HESR26"
"21","AC","HESr27",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,9,10,10,NA,NA,NA,"HESR27"
"22","AC","HESr29",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,11,11,14,NA,NA,NA,"HESR29"
"23","LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,7,4,7,NA,NA,NA,"HESR3"
"24","LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,9,7,9,NA,NA,NA,"HESR4"
"25","SW","HESr6",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,9,15,11,NA,NA,NA,"HESR6"
"26","SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,12,10,9,NA,NA,NA,"HESR7"
"27","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk",2014-05-15,"5","15",2014,NA,NA,NA,NA,14,20,13,NA,NA,NA,"HESR8"
"28","IMS","KLSPC1",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,12,10,13,NA,NA,NA,"KLSPC1"
"29","MG","KLSPC10",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,13,12,11,NA,NA,NA,"KLSPC10"
"30","MG","KLSPC8",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,9,14,NA,NA,NA,NA,"KLSPC8"
"31","MG","KLSPC9",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,12,10,8,NA,NA,NA,"KLSPC9"
"32","IMS","KLSpE1",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,10,7,9,NA,NA,NA,"KLSPE1"
"33","MG","KLSpE11",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,10,16,NA,NA,NA,NA,"KLSPE11"
"34","MG","KLSpE13",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,5,5,2,NA,NA,NA,"KLSPE13"
"35","MG","KLSpE14",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,10,14,7,NA,NA,NA,"KLSPE14"
"36","MG","KLSpE15",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,12,15,10,NA,NA,NA,"KLSPE15"
"37","IMS","KLSpE2",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,20,21,22,NA,NA,NA,"KLSPE2"
"38","IMS","KLSpE5",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,10,6,NA,NA,NA,NA,"KLSPE5"
"39","CF","KLSpE6",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,4,12,7,NA,NA,NA,"KLSPE6"
"40","CF","KLSpE8",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,7,5,NA,NA,NA,NA,"KLSPE8"
"41","CF","KLSpE9",2013,"Salix pulchra","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,14,13,10,NA,NA,NA,"KLSPE9"
"42","LB","KLSrC2",2013,"Salix richardsonii","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,11,12,NA,NA,NA,NA,"KLSRC2"
"43","IR","KLSrC6",2013,"Salix richardsonii","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,9,9,9,NA,NA,NA,"KLSRC6"
"44","SW","KLSrE10",2013,"Salix richardsonii","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,11,3,12,NA,NA,NA,"KLSRE10"
"45","IR","KLSrE11",2013,"Salix richardsonii","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,13,8,12,NA,NA,NA,"KLSRE11"
"46","IR","KLSrE14",2013,"Salix richardsonii","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,11,8,12,NA,NA,NA,"KLSRE14"
"47","SW","KLSrE6",2013,"Salix richardsonii","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,9,10,11,NA,NA,NA,"KLSRE6"
"48","SW","KLSrE7",2013,"Salix richardsonii","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,10,9,NA,NA,NA,NA,"KLSRE7"
"49","SW","KLSrE9",2013,"Salix richardsonii","Kluane",2014-05-15,"5","15",2014,NA,NA,NA,NA,9,8,18,NA,NA,NA,"KLSRE9"
"50","IMS","HESp1",2013,"Salix pulchra","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,14,15,15,NA,NA,NA,"HESP1"
"51","MG","HESp11",2013,"Salix pulchra","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,25,34,19,NA,NA,NA,"HESP11"
"52","MG","HESp11",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,45,43,50,45,40,25,"HESP11"
"53","CF","HESp12",2013,"Salix pulchra","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,12.61,14.89,10.77,NA,NA,NA,"HESP12"
"54","CF","HESp12",2013,"Salix pulchra","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,25,21,22,NA,NA,NA,"HESP12"
"55","CF","HESp12",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,30,28,26,28,25,21,"HESP12"
"56","CF","HESp12",2013,"Salix pulchra","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,13,13,11,NA,NA,NA,"HESP12"
"57","MG","HESp12",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,45,36,43,30,25,25,"HESP12"
"58","MG","HESp14",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,30,14,15,10,1,NA,"HESP14"
"59","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,11.25,10.36,9.59,NA,NA,NA,"HESP17"
"60","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,17,15,15,NA,NA,NA,"HESP17"
