"","Species","plant_tag_id","sample_id","date_sampled","total_leaf_dry_mass_g","dried_leaf_sample_remarks","SLA","leaf_mass_per_area_g_m2","LDMC","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","rehydrated_leaf_sample_remarks","LA","leaf_fresh_mass_g","number_leaves","Source","month"
"1","Salix richardsonii","H17SR9","105239782","2021-06-22",0.15,NA,13.7566666666667,72.6920281075842,281.954887218045,34.0136054421769,0.0141022534528713,0.532,NA,20.635,0.441,6,"Qikiqtaruk","June 2021"
"2","Salix pulchra","KLSPE4","105240861","2021-06-22",0.097,NA,12.8886597938144,77.5875859862422,381.889763779528,40.2489626556017,0.0115181570948648,0.254,NA,12.502,0.241,6,"Kluane","June 2021"
"3","Salix richardsonii","KLSRE10","105242530","2021-06-22",0.216,NA,15.237962962963,65.6255696664034,295.485636114911,32.8267477203647,0.0134289360150696,0.731,NA,32.914,0.658,6,"Kluane","June 2021"
"4","Salix arctica","K15PSA7","105242585","2021-06-22",0.48,NA,10.0679166666667,99.3254148905351,374.123148869836,40.4040404040404,0.0146504986963539,1.283,NA,48.326,1.188,6,"Kluane","June 2021"
"5","Salix pulchra","HERSP12","105248474","2021-06-22",0.131,NA,12.8381679389313,77.8927339755024,346.560846560847,36.6946778711485,0.013437983113331,0.378,NA,16.818,0.357,10,"Qikiqtaruk","June 2021"
"6","Salix richardsonii","KLSRC13","105248949","2021-06-22",0.431,NA,9.19419953596288,108.764226411285,275.928297055058,30.5240793201133,0.02475584828526,1.562,NA,39.627,1.412,6,"Kluane","June 2021"
"7","Salix arctica","K15PSA9","105249284","2021-06-22",0.455,NA,10.5738461538462,94.5729666812164,325.697924123121,34.5220030349014,0.0179376857683274,1.397,NA,48.111,1.318,6,"Kluane","June 2021"
"8","Salix richardsonii","KLSRE14","105249699","2021-06-22",0.276,NA,13.5119565217391,74.0085270694232,304.299889746417,32.2429906542056,0.0155525165580672,0.907,NA,37.293,0.856,7,"Kluane","June 2021"
"9","Salix arctica","KP17SA6","105249832","2021-06-22",0.28,NA,12.3503571428571,80.9693184118446,326.721120186698,34.6534653465347,0.0152685000433764,0.857,NA,34.581,0.808,6,"Kluane","June 2021"
"10","Salix pulchra","KP16SP33","105249951","2021-06-22",0.173,NA,5.41150289017341,184.791548724084,371.244635193133,38.7024608501119,0.0292675632083231,0.466,NA,9.3619,0.447,10,"Kluane","June 2021"
"11","Salix richardsonii","KP17SR2","105250450","2021-06-22",0.281,NA,15.5345195729537,64.3727664253642,283.838383838384,31.8955732122588,0.0137450746815724,0.99,NA,43.652,0.881,9,"Kluane","June 2021"
"12","Salix pulchra","KP16SP59","105250566","2021-06-22",0.323,NA,12.7693498452012,78.3125227300279,346.195069667738,37.7777777777778,0.012898533155534,0.933,NA,41.245,0.855,14,"Kluane","June 2021"
"13","Salix richardsonii","H17SR35","105272478","2021-06-22",0.182,NA,15.9115384615385,62.8474740149867,259.62910128388,29.3548387096774,0.0151248316585517,0.701,NA,28.959,0.62,10,"Qikiqtaruk","June 2021"
