"","Species","plant_tag_id","sample_id","date_sampled","site_id","sample_remarks","total_leaf_dry_mass_g","dried_leaf_sample_remarks","SLA","leaf_mass_per_area_g_m2","LDMC","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","rehydrated_leaf_sample_remarks","LA","leaf_fresh_mass_g","number_leaves","Site"
"1","Salix pulchra","KP5-2021-SAPU","105500231","2021-06-25","KP_mid","",0.259,NA,19.5752895752896,51.0848126232742,262.145748987854,27.2918861959958,0.0136094674556213,0.988,NA,50.7,0.949,12,"Kluane Plateau"
"2","Salix richardsonii","KP5-2021-SARI","105500938","2021-06-25","KP_mid","",0.384,NA,18.6760416666667,53.5445367839813,246.945337620579,26.5376641326883,0.0148223548441073,1.555,NA,71.716,1.447,12,"Kluane Plateau"
"3","Salix richardsonii","KP3-2021-SARI","105501123","2021-06-25","KP_mid","",0.284,NA,23.9904929577465,41.6831784891316,215.151515151515,22.2048475371384,0.0146037896467204,1.32,NA,68.133,1.279,12,"Kluane Plateau"
"4","Salix pulchra","KP3-2021-SAPU","105501233","2021-06-25","KP_mid","",0.149,NA,20.7248322147651,48.2512953367876,242.671009771987,24.7097844112769,0.0147020725388601,0.614,NA,30.88,0.603,12,"Kluane Plateau"
"5","Salix pulchra","KP9-2021-SAPU","105501373","2021-06-25","KP_mid","",0.113,NA,22.5017699115044,44.4409485979471,248.898678414097,25.0554323725055,0.0132929563062886,0.454,NA,25.427,0.451,12,"Kluane Plateau"
"6","Salix richardsonii","KP9-2021-SARI","105501502","2021-06-25","KP_mid","",0.319,NA,20.146394984326,49.6366720089626,230.15873015873,24.0573152337858,0.0156690058661522,1.386,NA,64.267,1.326,12,"Kluane Plateau"
"7","Salix richardsonii","KP7-2021-SARI-2","105510746","2021-06-25","KP_low","",0.257,NA,23.3665369649805,42.7962432558449,202.044025157233,20.5929487179487,0.0165023646173316,1.272,NA,60.052,1.248,12,"Kluane Plateau"
"8","Salix pulchra","KP2-2021-SAPU","105510871","2021-06-25","KP_low","",0.309,NA,17.4877022653722,57.1830412495142,284.530386740332,29.4005708848716,0.0137313322353202,1.086,NA,54.037,1.051,12,"Kluane Plateau"
"9","Salix richardsonii","KP2-2021-SARI","105510983","2021-06-25","KP_low","",0.495,NA,18.5632323232323,53.8699286087411,236.051502145923,26.0526315789474,0.0152903534737942,2.097,NA,91.888,1.9,12,"Kluane Plateau"
"10","Salix pulchra","KP1-2021-SAPU-1","105516629","2021-06-25","KP_low","",0.172,NA,19.903488372093,50.2424490272828,275.2,28.1505728314239,0.0128235087924286,0.625,NA,34.234,0.611,12,"Kluane Plateau"
"11","Salix pulchra","KP1-2021-SAPU-2","105516733","2021-06-25","KP_low","",0.175,NA,20.9542857142857,47.7229342787019,227.272727272727,23.3022636484687,0.0157076629397328,0.77,NA,36.67,0.751,12,"Kluane Plateau"
"12","Salix richardsonii","KP7-2021-SARI-1","105516878","2021-06-25","KP_low","",0.374,NA,20.4673796791444,48.8582327428542,223.684210526316,23.0012300123001,0.0163557506401212,1.672,NA,76.548,1.626,12,"Kluane Plateau"
"13","Salix pulchra","KP4-2021-SAPU","105523122","2021-06-25","KP_high","",0.149,NA,21.4986577181208,46.5145318889895,227.82874617737,24.1100323624595,0.0146411513127088,0.654,NA,32.033,0.618,12,"Kluane Plateau"
"14","Salix richardsonii","KP8-2021-SARI-2","105523254","2021-06-25","KP_high","",0.191,NA,22.7507853403141,43.9545266258572,208.287895310796,21.1986681465039,0.0163391172274129,0.917,NA,43.454,0.901,12,"Kluane Plateau"
"15","Salix richardsonii","KP8-2021-SARI-1","105523386","2021-06-25","KP_high","",0.239,NA,20.5364016736402,48.6940222484821,213.583556747096,22.2325581395349,0.0170327207530256,1.119,NA,49.082,1.075,12,"Kluane Plateau"
"16","Salix richardsonii","KP4-2021-SARI","105523539","2021-06-25","KP_high","",0.236,NA,20.5741525423729,48.6046751106992,220.560747663551,22.3062381852552,0.0169292554834724,1.07,NA,48.555,1.058,12,"Kluane Plateau"
"17","Salix richardsonii","KP6-2021-SARI-2","105523668","2021-06-25","KP_high","",0.224,NA,20.8785714285714,47.8959972630859,215.384615384615,21.7898832684825,0.0171912418747862,1.04,NA,46.768,1.028,12,"Kluane Plateau"
"18","Salix richardsonii","KP6-2021-SARI-1","105523789","2021-06-25","KP_high","",0.28,NA,20.6335714285714,48.4647073077855,208.643815201192,21.3740458015267,0.0178280887596497,1.342,NA,57.774,1.31,12,"Kluane Plateau"
"19","Salix arctica","KP-ALP-SAAR1","106364431","2021-07-05","KP_alpine","",0.298,NA,16.2395973154362,61.5778815555647,255.793991416309,27.115559599636,0.0165516386328884,1.165,NA,48.394,1.099,12,"Kluane Plateau"
"20","Salix richardsonii","KP-ALP-SARI1","106364470","2021-07-05","KP_alpine","",0.155,NA,23.5374193548387,42.485541210975,223.665223665224,24.3328100470958,0.0132116328152838,0.693,NA,36.483,0.637,12,"Kluane Plateau"
"21","Salix arctica","KP-ALP-SAAR2","106364506","2021-07-05","KP_alpine","",0.189,NA,18.1751322751323,55.0202323076475,227.985524728589,23.4782608695652,0.0179325201595296,0.829,NA,34.351,0.805,12,"Kluane Plateau"
"22","Salix richardsonii","KP-ALP-SARI2","106364529","2021-07-05","KP_alpine","",0.203,NA,20.4802955665025,48.8274203247144,228.861330326945,24.7259439707674,0.0148647023451593,0.887,NA,41.575,0.821,12,"Kluane Plateau"
"23","Salix arctica","KP-ALP-SAAR3","106364556","2021-07-05","KP_alpine","",0.448,NA,19.3154017857143,51.7721562871968,239.82869379015,24.2818428184282,0.0161441299850924,1.868,NA,86.533,1.845,12,"Kluane Plateau"
"24","Salix richardsonii","KP-ALP-SARI3","106364575","2021-07-05","KP_alpine","",0.304,NA,16.0605263157895,62.2644601015894,246.553122465531,26.2295081967213,0.017511879403572,1.233,NA,48.824,1.159,12,"Kluane Plateau"
"25","Salix pulchra","KP4-2021-SAPU","106381694","2021-07-05","KP_high","",0.716,NA,14.6013966480447,68.486599200352,316.394167034909,33.489242282507,0.0136016681652096,2.263,NA,104.546,2.138,12,"Kluane Plateau"
"26","Salix richardsonii","KP6-2021-SARI-2","106381730","2021-07-05","KP_high","",0.354,NA,22.8206214689266,43.8200160920963,223.626026531901,25.2857142857143,0.0129479482577211,1.583,NA,80.785,1.4,12,"Kluane Plateau"
"27","Salix richardsonii","KP6-2021-SARI-1","106381773","2021-07-05","KP_high","",0.566,NA,20.2637809187279,49.3491320307255,225.587883618972,24.9889624724062,0.0148134585371383,2.509,NA,114.693,2.265,12,"Kluane Plateau"
"28","Salix richardsonii","KP8-2021-SARI-2","106381796","2021-07-05","KP_high","",0.561,NA,18.5508021390374,53.9060247910061,256.515775034294,28.695652173913,0.0133948304026136,2.187,NA,104.07,1.955,12,"Kluane Plateau"
"29","Salix richardsonii","KP8-2021-SARI-1","106381846","2021-07-05","KP_high","",0.787,NA,15.8306226175349,63.1687094159102,253.707285622179,28.1775868242034,0.0161011983593794,3.102,NA,124.587,2.793,12,"Kluane Plateau"
"30","Salix richardsonii","KP4-2021-SARI","106381873","2021-07-05","KP_high","",0.469,NA,16.263539445629,61.4872305836698,255.864702673213,28.7377450980392,0.0152472599507053,1.833,NA,76.276,1.632,12,"Kluane Plateau"
"31","Salix pulchra","KP3-2021-SAPU","106381902","2021-07-05","KP_mid","",0.374,NA,16.3967914438503,60.9875415824147,300.16051364366,30.7565789473684,0.0137303502706934,1.246,NA,61.324,1.216,12,"Kluane Plateau"
"32","Salix richardsonii","KP3-2021-SARI","106382017","2021-07-05","KP_mid","",0.937,NA,14.993916755603,66.6937142775797,269.562715765247,27.9284649776453,0.0172108218914821,3.476,NA,140.493,3.355,12,"Kluane Plateau"
"33","Salix pulchra","KP5-2021-SAPU","106382038","2021-07-05","KP_mid","",0.499,NA,15.572745490982,64.2147526638184,313.048933500627,32.4658425504229,0.0133576980491069,1.594,NA,77.708,1.537,12,"Kluane Plateau"
"34","Salix richardsonii","KP5-2021-SARI","106382062","2021-07-05","KP_mid","",0.71,NA,14.916338028169,67.0405831586501,280.521532990913,30.1230377598642,0.0155515268256756,2.531,NA,105.906,2.357,12,"Kluane Plateau"
"35","Salix richardsonii","KP9-2021-SARI","106382085","2021-07-05","KP_mid","",0.75,NA,13.1804,75.8702315559467,291.375291375291,30.8896210873147,0.0169746998067838,2.574,NA,98.853,2.428,12,"Kluane Plateau"
"36","Salix pulchra","KP9-2021-SAPU","106382104","2021-07-05","KP_mid","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.952,12,"Kluane Plateau"
"37","Salix pulchra","KP1-2021-SAPU-2","106382127","2021-07-05","KP_low","",0.554,NA,15.3254512635379,65.250933418136,317.29667812142,32.1718931475029,0.0137568754932099,1.746,NA,84.903,1.722,12,"Kluane Plateau"
"38","Salix richardsonii","KP2-2021-SARI","106382266","2021-07-05","KP_low","",0.678,NA,14.0203539823009,71.3248753392666,296.069868995633,32.209026128266,0.0150118874792232,2.29,NA,95.058,2.105,12,"Kluane Plateau"
"39","Salix pulchra","KP2-2021-SAPU","106382289","2021-07-05","KP_low","",0.543,NA,12.3850828729282,80.7422937948878,370.395634379263,39.2057761732852,0.0125202599217855,1.466,NA,67.251,1.385,12,"Kluane Plateau"
"40","Salix richardsonii","KP7-2021-SARI-1","106382317","2021-07-05","KP_low","",0.704,NA,16.3035511363636,61.3363304494803,280.813721579577,30.3056392595781,0.0141056134939927,2.507,NA,114.777,2.323,12,"Kluane Plateau"
"41","Salix richardsonii","KP7-2021-SARI-2","106382343","2021-07-05","KP_low","",0.595,NA,13.8803361344538,72.0443647987601,276.358569437994,31.4648334214701,0.0156923523998644,2.153,NA,82.588,1.891,12,"Kluane Plateau"
"42","Salix pulchra","KP1-2021-SAPU-1","106382373","2021-07-05","KP_low","",0.259,NA,16.9629343629344,58.9520644603269,317.791411042945,33.0779054916986,0.0119269813811627,0.815,NA,43.934,0.783,12,"Kluane Plateau"
"43","Salix pulchra","KP6-2021-SAPU","106482783","2021-07-06","KP_high","",0.368,NA,16.9619565217391,58.9554629926306,304.635761589404,33.0935251798561,0.0119192566485101,1.208,NA,62.42,1.112,12,"Kluane Plateau"
"44","Salix richardsonii","KP7-2021-SARI-1","107572254","2021-07-19","KP_low","",0.689,NA,10.588534107402,94.4417791789459,352.249488752556,35.8294331773271,0.0169145363580289,1.956,NA,72.955,1.923,6,"Kluane Plateau"
"45","Salix pulchra","KP2-2021-SAPU","107572296","2021-07-19","KP_low","",0.532,NA,10.5001879699248,95.2363903259877,392.041267501842,40.3030303030303,0.0141064427776087,1.357,NA,55.861,1.32,12,"Kluane Plateau"
"46","Salix pulchra","KP1-2021-SAPU-1","107572335","2021-07-19","KP_low","",0.484,NA,11.2892561983471,88.5797950219619,386.581469648562,39.5424836601307,0.0135431918008785,1.252,NA,54.64,1.224,12,"Kluane Plateau"
"47","Salix pulchra","KP1-2021-SAPU-2","107572361","2021-07-19","KP_low","",0.607,NA,11.8799011532125,84.1757845543676,375.386518243661,38.985228002569,0.0131741343207,1.617,NA,72.111,1.557,10,"Kluane Plateau"
"48","Salix richardsonii","KP2-2021-SARI","107572388","2021-07-19","KP_low","",0.625,NA,10.80112,92.5829913934851,341.157205240175,35.2708803611738,0.0169908305805324,1.832,NA,67.507,1.772,8,"Kluane Plateau"
"49","Salix richardsonii","KP7-2021-SARI-2","107572415","2021-07-19","KP_low","",0.739,NA,10.5035182679296,95.2061942000232,334.995466908432,34.6135831381733,0.0179848236946187,2.206,NA,77.621,2.135,10,"Kluane Plateau"
"50","Salix pulchra","KP3-2021-SAPU","107572453","2021-07-19","KP_mid","",0.579,NA,10.7559585492228,92.9717231080495,380.921052631579,39.5762132604238,0.0141946464987074,1.52,NA,62.277,1.463,10,"Kluane Plateau"
"51","Salix richardsonii","KP3-2021-SARI","107572488","2021-07-19","KP_mid","",0.991,NA,11.1458123107972,89.7197953917885,336.388323150034,35.0052984811021,0.0166583676610384,2.946,NA,110.455,2.831,6,"Kluane Plateau"
"52","Salix pulchra","KP5-2021-SAPU","107572532","2021-07-19","KP_mid","",0.686,NA,11.9189504373178,83.9000048921286,357.850808555034,36.5282215122471,0.0145785431241133,1.917,NA,81.764,1.878,10,"Kluane Plateau"
"53","Salix richardsonii","KP5-2021-SARI","107572569","2021-07-19","KP_mid","",0.754,NA,11.3749336870027,87.91260041741,336.607142857143,34.6666666666667,0.0165681439248196,2.24,NA,85.767,2.175,8,"Kluane Plateau"
"54","Salix pulchra","KP9-2021-SAPU","107572592","2021-07-19","KP_mid","",0.369,NA,13.2205962059621,75.6395539521154,374.239350912779,38.801261829653,0.0119301410298458,0.986,NA,48.784,0.951,10,"Kluane Plateau"
"55","Salix richardsonii","KP9-2021-SARI","107572621","2021-07-19","KP_mid","",0.678,NA,10.3364306784661,96.745194845964,349.304482225657,36.5301724137931,0.0168091208744167,1.941,NA,70.081,1.856,8,"Kluane Plateau"
"56","Salix richardsonii","KP4-2021-SARI","107572678","2021-07-19","KP_high","",0.668,NA,9.80134730538922,102.026789669024,314.205079962371,33.2835077229696,0.0204511783483268,2.126,NA,65.473,2.007,8,"Kluane Plateau"
"57","Salix pulchra","KP4-2021-SAPU","107572700","2021-07-19","KP_high","",0.613,NA,11.5676998368679,86.4476096460302,388.466413181242,38.8959390862944,0.0135805951205754,1.578,NA,70.91,1.576,8,"Kluane Plateau"
"58","Salix richardsonii","KP6-2021-SARI-2","107572722","2021-07-19","KP_high","",0.567,NA,13.8338624338624,72.2863917998929,303.695768612748,31.6936836221353,0.0155791835589893,1.867,NA,78.438,1.789,8,"Kluane Plateau"
"59","Salix richardsonii","KP6-2021-SARI-1","107572748","2021-07-19","KP_high","",0.502,NA,14.6262948207171,68.3700152538679,295.12051734274,30.0418910831837,0.0159212246676836,1.701,NA,73.424,1.671,8,"Kluane Plateau"
"60","Salix pulchra","KP6-2021-SAPU","107572784","2021-07-19","KP_high","",0.507,NA,12.3343195266272,81.074598224994,367.125271542361,37.5555555555556,0.0134804509474694,1.381,NA,62.535,1.35,8,"Kluane Plateau"
"61","Salix richardsonii","KP8-2021-SARI-1","107572830","2021-07-19","KP_high","",0.9,NA,10.8723333333333,91.9765766318178,315.015750787539,32.4558240173098,0.0191413475590439,2.857,NA,97.851,2.773,8,"Kluane Plateau"
"62","Salix richardsonii","KP8-2021-SARI-2","107572855","2021-07-19","KP_high","",0.667,NA,10.7296851574213,93.1993796023307,331.181727904667,35.3283898305085,0.0170609359062138,2.014,NA,71.567,1.888,6,"Kluane Plateau"
"63","Salix arctica","KP-ALP-SAAR1","107572873","2021-07-19","KP_alpine","",0.377,NA,11.7053050397878,85.4313489995241,315.217391304348,32.0851063829787,0.0180833465521539,1.196,NA,44.129,1.175,10,"Kluane Plateau"
"64","Salix richardsonii","KP-ALP-SARI1","107572895","2021-07-19","KP_alpine","",0.271,NA,16.0073800738007,62.4711848778239,282.881002087683,28.4663865546219,0.0156984785615491,0.958,NA,43.38,0.952,10,"Kluane Plateau"
"65","Salix arctica","KP-ALP-SAAR2","107572917","2021-07-19","KP_alpine","",0.389,NA,13.6334190231362,73.349172229136,278.453829634932,28.9219330855019,0.0180261718897311,1.397,NA,53.034,1.345,10,"Kluane Plateau"
"66","Salix richardsonii","KP-ALP-SARI2","107572939","2021-07-19","KP_alpine","",0.354,NA,15.1079096045198,66.1904939979806,279.400157853197,28.0729579698652,0.016958976852025,1.267,NA,53.482,1.261,10,"Kluane Plateau"
"67","Salix arctica","KP-ALP-SAAR3","107572966","2021-07-19","KP_alpine","",0.639,NA,11.7888888888889,84.8256361922714,338.453389830508,34.4846195358878,0.0161155434017868,1.888,NA,75.331,1.853,10,"Kluane Plateau"
"68","Salix richardsonii","KP-ALP-SARI3","107572986","2021-07-19","KP_alpine","",0.415,NA,11.7484337349398,85.1177291000082,301.818181818182,30.8550185873606,0.0190745754368693,1.375,NA,48.756,1.345,10,"Kluane Plateau"
"69","Salix arctica","KP-ALP-SAAR1","108867578","2021-08-04","KP_alpine","",0.302,NA,14.0774834437086,71.0354236251588,298.418972332016,29.9009900990099,0.0166533377240438,1.012,NA,42.514,1.01,12,"Kluane Plateau"
"70","Salix richardsonii","KP-ALP-SARI1","108867621","2021-08-04","KP_alpine","",0.299,NA,15.0561872909699,66.417877293527,295.162882527147,29.9899699097292,0.0155049091474521,1.013,NA,45.018,0.997,12,"Kluane Plateau"
"71","Salix arctica","KP-ALP-SAAR2","108867660","2021-08-04","KP_alpine","",0.666,NA,12.218018018018,81.8463353487686,287.316652286454,29.4559929234852,0.0196013370692622,2.318,NA,81.372,2.261,12,"Kluane Plateau"
"72","Salix richardsonii","KP-ALP-SARI2","108867698","2021-08-04","KP_alpine","",0.442,NA,14.3196832579186,69.8339468819617,282.247765006386,28.7760416666667,0.0172846918300602,1.566,NA,63.293,1.536,12,"Kluane Plateau"
"73","Salix arctica","KP-ALP-SAAR3","108867746","2021-08-04","KP_alpine","",0.735,NA,12.4586394557823,80.2655862663944,327.978580990629,33.3787465940054,0.0160203557894967,2.241,NA,91.571,2.202,12,"Kluane Plateau"
"74","Salix richardsonii","KP-ALP-SARI3","108867787","2021-08-04","KP_alpine","",0.434,NA,12.5504608294931,79.6783491527291,304.98945888967,32.5581395348837,0.0165048008959224,1.423,NA,54.469,1.333,12,"Kluane Plateau"
