"","Species","Site","Canopy_Height_cm"
"1","Salix arctica","Kluane",2.3
"2","Salix arctica","Kluane",3
"3","Salix arctica","Kluane",4
"4","Salix arctica","Kluane",1.9
"5","Salix arctica","Kluane",2.6
"6","Salix arctica","Kluane",4.5
"7","Salix arctica","Kluane",2.9
"8","Salix arctica","Kluane",4.1
"9","Salix arctica","Kluane",5.8
"10","Salix arctica","Kluane",6.4
"77","Salix arctica","Qikiqtaruk",8
"78","Salix arctica","Qikiqtaruk",9.8
"79","Salix arctica","Qikiqtaruk",6.1
"80","Salix arctica","Qikiqtaruk",4.4
"81","Salix arctica","Qikiqtaruk",16.2
"82","Salix arctica","Qikiqtaruk",8.1
"83","Salix arctica","Qikiqtaruk",16.4
"84","Salix arctica","Qikiqtaruk",9.2
"85","Salix arctica","Qikiqtaruk",11.6
"86","Salix arctica","Qikiqtaruk",18.8
"87","Salix arctica","Qikiqtaruk",14
"88","Salix arctica","Qikiqtaruk",18.3
"89","Salix arctica","Qikiqtaruk",15.2
"90","Salix arctica","Qikiqtaruk",17.6
"91","Salix arctica","Qikiqtaruk",19.8
"92","Salix arctica","Qikiqtaruk",6
"93","Salix arctica","Qikiqtaruk",10.3
"94","Salix arctica","Qikiqtaruk",7.4
"95","Salix arctica","Qikiqtaruk",2.5
"96","Salix arctica","Qikiqtaruk",5.8
"117","Salix arctica","Qikiqtaruk",5.6
"118","Salix arctica","Qikiqtaruk",3.2
"119","Salix arctica","Qikiqtaruk",7.2
"120","Salix arctica","Qikiqtaruk",5
"121","Salix arctica","Qikiqtaruk",4.6
"122","Salix arctica","Qikiqtaruk",11.6
"123","Salix arctica","Qikiqtaruk",14.1
"124","Salix arctica","Qikiqtaruk",14.3
"125","Salix arctica","Qikiqtaruk",18
"126","Salix arctica","Qikiqtaruk",13.9
"127","Salix arctica","Kluane",8.5
"128","Salix arctica","Kluane",6.7
"129","Salix arctica","Kluane",2.8
"130","Salix arctica","Kluane",5.9
"131","Salix arctica","Kluane",4.1
"132","Salix arctica","Kluane",6.7
"133","Salix arctica","Kluane",6.5
"134","Salix arctica","Kluane",12.8
"135","Salix arctica","Kluane",4.9
"136","Salix arctica","Kluane",5.7
"137","Salix arctica","Kluane",3.8
"138","Salix arctica","Kluane",7
"139","Salix arctica","Kluane",5
"140","Salix arctica","Kluane",5.4
"141","Salix arctica","Kluane",6
"142","Salix arctica","Kluane",4.8
"143","Salix arctica","Kluane",5
"144","Salix arctica","Kluane",3
"145","Salix arctica","Kluane",5
"146","Salix arctica","Kluane",5
"147","Salix arctica","Kluane",9.8
"148","Salix arctica","Kluane",2.8
"149","Salix arctica","Kluane",3.5
"150","Salix arctica","Kluane",6.6
"151","Salix arctica","Kluane",5.5
"157","Salix pulchra","Kluane",54.8
"158","Salix pulchra","Kluane",37.4
"159","Salix pulchra","Kluane",53
"160","Salix pulchra","Kluane",66.3
"161","Salix pulchra","Kluane",32.5
"162","Salix pulchra","Kluane",50.5
"163","Salix pulchra","Kluane",37.3
"164","Salix pulchra","Kluane",21.1
"165","Salix pulchra","Kluane",44.5
"166","Salix pulchra","Kluane",67.6
"227","Salix pulchra","Qikiqtaruk",21.1
"228","Salix pulchra","Qikiqtaruk",21.5
"229","Salix pulchra","Qikiqtaruk",30.1
"230","Salix pulchra","Qikiqtaruk",24.5
"231","Salix pulchra","Qikiqtaruk",21.1
"232","Salix pulchra","Qikiqtaruk",41.3
"233","Salix pulchra","Qikiqtaruk",32.1
"234","Salix pulchra","Qikiqtaruk",25.3
"235","Salix pulchra","Qikiqtaruk",50.6
"236","Salix pulchra","Qikiqtaruk",47.8
"237","Salix pulchra","Qikiqtaruk",21.3
"238","Salix pulchra","Qikiqtaruk",23.3
"239","Salix pulchra","Qikiqtaruk",21.4
"240","Salix pulchra","Qikiqtaruk",12
"241","Salix pulchra","Qikiqtaruk",33.6
"242","Salix pulchra","Qikiqtaruk",27.5
"243","Salix pulchra","Qikiqtaruk",22.1
"244","Salix pulchra","Qikiqtaruk",29.4
"245","Salix pulchra","Qikiqtaruk",20.1
"246","Salix pulchra","Qikiqtaruk",28.5
"267","Salix pulchra","Qikiqtaruk",20.1
