"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","max_biovol","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"1",2657,1990,1990,"JB","H15Sa10",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.6,26.2,28.2,10,22,29,30,7,10,14,"H15SA10",3398.664,6,10.3333333333333,27,27.2,"Northern"
"2",2658,1991,1991,"JB","H15Sa11",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,3.5,3.1,3.2,10,20,17,13,6,7,8,"H15SA11",34.72,6,7,16.6666666666667,3.15,"Northern"
"3",3139,3139,3139,"JB","H15Sa12",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,19,17,7,34,32,28,37,14,12,"H15SA12",1292,7,21,31.3333333333333,18,"Northern"
"4",3140,3140,3140,"JB","H15Sa14",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2.5,11,10,7,21,22,25,20,9,9,"H15SA14",275,7,12.6666666666667,22.6666666666667,10.5,"Northern"
"5",3160,3160,3160,"JB","H15Sa15",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2,9.5,6,9,23,24,16,19,22,8,"H15SA15",114,7,16.3333333333333,21,7.75,"Northern"
"6",2662,1995,1995,"JB","H15Sa18",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,5.2,7.1,5.6,6,16,14,8,11,4,11,"H15SA18",206.752,6,8.66666666666667,12.6666666666667,6.35,"Northern"
"7",3153,3153,3153,"JB","H15Sa19",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4.5,19,17,11,26,30,24,27,31,39,"H15SA19",1453.5,7,32.3333333333333,26.6666666666667,18,"Northern"
"8",3152,3152,3152,"JB","H15Sa20",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2.9,7,6,5,24,26,16,9,3,NA,"H15SA20",121.8,7,NA,22,6.5,"Northern"
"9",3141,3141,3141,"JB","H15Sa3",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4.5,16,19,8,25,19,52,12,5,25,"H15SA3",1368,7,14,32,17.5,"Northern"
"10",3142,3142,3142,"JB","H15Sa7",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,19,13,10,20,21,36,22,19,7,"H15SA7",988,7,16,25.6666666666667,16,"Northern"
"11",2667,2000,2000,"JB","H15Sa9",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,2.2,14.1,7.2,10,33,NA,NA,11,24,22,"H15SA9",223.344,6,19,NA,10.65,"Northern"
"12",2668,2001,2001,"IMS","H15Sp1",2015,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,5.4,4.5,4.8,8,27,22,20,12,3,17,"H15SP1",116.64,6,10.6666666666667,23,4.65,"Northern"
"13",2669,2002,2002,"CF","H15Sp10",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,6.5,15,7.5,16,17,16,16,10,9,4,"H15SP10",731.25,6,7.66666666666667,16.3333333333333,11.25,"Northern"
"14",2014,2272,2272,"CF","H15Sp13",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,10.4,18.1,8.6,15,21,21,22,11,11,9,"H15SP13",1618.864,5,10.3333333333333,21.3333333333333,13.35,"Northern"
"15",2015,2273,2273,"CF","H15Sp14",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,12.1,6.9,3.2,NA,6,0,NA,2,1,2,"H15SP14",267.168,5,1.66666666666667,NA,5.05,"Northern"
"16",2671,2004,2004,"CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,14.5,23,21,12,25,23,24,11,13,14,"H15SP15",7003.5,6,12.6666666666667,24,22,"Northern"
"17",2018,2276,2276,"CF","H15Sp17",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,1.7,1.2,1,7,NA,NA,NA,3,2,2,"H15SP17",2.04,5,2.33333333333333,NA,1.1,"Northern"
"18",2019,2277,2277,"CF","H15Sp18",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,16.7,8.1,6.3,11,27,24,24,18,15,18,"H15SP18",852.201,5,17,25,7.2,"Northern"
"19",2674,2007,2007,"CF","H15Sp19",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,7.8,7.9,10.2,11,NA,NA,NA,6,7,NA,"H15SP19",628.524,6,NA,NA,9.05,"Northern"
"20",2916,2916,2916,"IMS","H15Sp2",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,4,7,7.5,7,13,10,15,4,5,3,"H15SP2",210,7,4,12.6666666666667,7.25,"Northern"
"21",2676,2009,2009,"CF","H15Sp20",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,8.7,9,5.5,10,21,NA,NA,7,6,11,"H15SP20",430.65,6,8,NA,7.25,"Northern"
"22",3061,3061,3061,"MG","H15Sp23",2015,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,3.5,7.5,5.3,6,17,19,20,23,10,9,"H15SP23",139.125,7,14,18.6666666666667,6.4,"Northern"
"23",2678,2011,2011,"MG","H15Sp24",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,11.1,9.9,4.8,6,21,17,15,4,5,5,"H15SP24",527.472,6,4.66666666666667,17.6666666666667,7.35,"Northern"
"24",3118,3118,3118,"AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,9,14,10,15,19,18,23,14,13,19,"H15SP25",1260,7,15.3333333333333,20,12,"Northern"
"25",2028,2286,2286,"AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,12.8,14,13.1,14.51,18.89,18.11,18.03,20.98,22.74,31.28,"H15SP27",2347.52,5,25,18.3433333333333,13.55,"Northern"
"26",2029,2287,2287,"AB","H15Sp29",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,8.6,11.5,6,7.82,16.51,13.41,17.76,31.2,15.25,16.23,"H15SP29",593.4,5,20.8933333333333,15.8933333333333,8.75,"Northern"
"27",2917,2917,2917,"IMS","H15Sp5",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,7,18,14,12,21,19,26,11,12,12,"H15SP5",1764,7,11.6666666666667,22,16,"Northern"
"28",2683,2016,2016,"IMS","H15Sp6",2015,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,6.8,6,3.2,10,17,18,NA,6,10,8,"H15SP6",130.56,6,8,NA,4.6,"Northern"
"29",2919,2919,2919,"IMS","H15Sp8",2015,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,7.9,14.5,12,9,21,15,19,13,14,12,"H15SP8",1374.6,7,13,18.3333333333333,13.25,"Northern"
"30",3008,3008,3008,"CF","H15Sp9",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,10,14,12,9,21,17,13,5,6,13,"H15SP9",1680,7,8,17,13,"Northern"
"31",2686,2019,2019,"SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,7.5,12,9.4,9,18,21,19,17,21,10,"H15SR19",846,6,16,19.3333333333333,10.7,"Northern"
"32",2687,2020,2020,"SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,5,6.6,4,12,18,16,NA,10,9,NA,"H15SR20",132,6,NA,NA,5.3,"Northern"
"33",3111,3111,3111,"AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,6.4,9,6.5,5,26,20,21,11,16,20,"H15SR29",374.4,7,15.6666666666667,22.3333333333333,7.75,"Northern"
"34",2951,2951,2951,"LB","H15Sr5",2015,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,18,17,14,12,30,22,15,17,10,NA,"H15SR5",4284,7,NA,22.3333333333333,15.5,"Northern"
"35",3042,3042,3042,"JA","H17Sa10",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,6,17.5,17,12,36,41,33,22,10,27,"H17SA10",1785,5,19.6666666666667,36.6666666666667,17.25,"Northern"
