"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","max_stem_diam","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"1",3137,3137,3137,"JB","H15Sa10",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,3,30.5,34,13,37,21,24,45,50,26,"H15SA10",3111,7,40.3333333333333,27.3333333333333,32.25,"Northern"
"2",2658,1991,1991,"JB","H15Sa11",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,3.5,3.1,3.2,10,20,17,13,6,7,8,"H15SA11",34.72,6,7,16.6666666666667,3.15,"Northern"
"3",2659,1992,1992,"JB","H15Sa12",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.5,15.4,13.9,12,22,27,28,27,10,16,"H15SA12",963.27,6,17.6666666666667,25.6666666666667,14.65,"Northern"
"4",2660,1993,1993,"JB","H15Sa14",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,2.6,6.1,8.5,9,26,19,20,20,21,7,"H15SA14",134.81,6,16,21.6666666666667,7.3,"Northern"
"5",3160,3160,3160,"JB","H15Sa15",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2,9.5,6,9,23,24,16,19,22,8,"H15SA15",114,7,16.3333333333333,21,7.75,"Northern"
"6",2662,1995,1995,"JB","H15Sa18",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,5.2,7.1,5.6,6,16,14,8,11,4,11,"H15SA18",206.752,6,8.66666666666667,12.6666666666667,6.35,"Northern"
"7",3153,3153,3153,"JB","H15Sa19",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4.5,19,17,11,26,30,24,27,31,39,"H15SA19",1453.5,7,32.3333333333333,26.6666666666667,18,"Northern"
"8",2664,1997,1997,"JB","H15Sa20",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,2.8,5.7,4.5,6,21,24,26,9,11,13,"H15SA20",71.82,6,11,23.6666666666667,5.1,"Northern"
"9",2665,1998,1998,"JB","H15Sa3",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,3.1,13.2,10.9,15,NA,NA,NA,14,21,31,"H15SA3",446.028,6,22,NA,12.05,"Northern"
"10",2666,1999,1999,"JB","H15Sa7",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.8,16,8.5,10,31,31,39,21,23,8,"H15SA7",652.8,6,17.3333333333333,33.6666666666667,12.25,"Northern"
"11",2667,2000,2000,"JB","H15Sa9",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,2.2,14.1,7.2,10,33,NA,NA,11,24,22,"H15SA9",223.344,6,19,NA,10.65,"Northern"
"12",2668,2001,2001,"IMS","H15Sp1",2015,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,5.4,4.5,4.8,8,27,22,20,12,3,17,"H15SP1",116.64,6,10.6666666666667,23,4.65,"Northern"
"13",2669,2002,2002,"CF","H15Sp10",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,6.5,15,7.5,16,17,16,16,10,9,4,"H15SP10",731.25,6,7.66666666666667,16.3333333333333,11.25,"Northern"
"14",2014,2272,2272,"CF","H15Sp13",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,10.4,18.1,8.6,15,21,21,22,11,11,9,"H15SP13",1618.864,5,10.3333333333333,21.3333333333333,13.35,"Northern"
"15",2671,2004,2004,"CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,14.5,23,21,12,25,23,24,11,13,14,"H15SP15",7003.5,6,12.6666666666667,24,22,"Northern"
"16",2018,2276,2276,"CF","H15Sp17",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,1.7,1.2,1,7,NA,NA,NA,3,2,2,"H15SP17",2.04,5,2.33333333333333,NA,1.1,"Northern"
"17",2019,2277,2277,"CF","H15Sp18",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,16.7,8.1,6.3,11,27,24,24,18,15,18,"H15SP18",852.201,5,17,25,7.2,"Northern"
"18",2674,2007,2007,"CF","H15Sp19",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,7.8,7.9,10.2,11,NA,NA,NA,6,7,NA,"H15SP19",628.524,6,NA,NA,9.05,"Northern"
"19",2675,2008,2008,"IMS","H15Sp2",2015,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,4.8,5.6,3.9,8,NA,NA,NA,10,7,6,"H15SP2",104.832,6,7.66666666666667,NA,4.75,"Northern"
"20",2676,2009,2009,"CF","H15Sp20",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,8.7,9,5.5,10,21,NA,NA,7,6,11,"H15SP20",430.65,6,8,NA,7.25,"Northern"
"21",3061,3061,3061,"MG","H15Sp23",2015,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,3.5,7.5,5.3,6,17,19,20,23,10,9,"H15SP23",139.125,7,14,18.6666666666667,6.4,"Northern"
"22",3062,3062,3062,"MG","H15Sp24",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,9.2,7.8,6.5,7,19,17,12,8,3,NA,"H15SP24",466.44,7,NA,16,7.15,"Northern"
"23",3118,3118,3118,"AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,9,14,10,15,19,18,23,14,13,19,"H15SP25",1260,7,15.3333333333333,20,12,"Northern"
"24",2680,2013,2013,"AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,7.9,18.4,15.7,16,23,21,20,9,13,12,"H15SP27",2282.152,6,11.3333333333333,21.3333333333333,17.05,"Northern"
"25",2681,2014,2014,"AB","H15Sp29",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,5.6,4.3,4.3,8,24,22,NA,6,3,NA,"H15SP29",103.544,6,NA,NA,4.3,"Northern"
"26",2917,2917,2917,"IMS","H15Sp5",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,7,18,14,12,21,19,26,11,12,12,"H15SP5",1764,7,11.6666666666667,22,16,"Northern"
"27",2683,2016,2016,"IMS","H15Sp6",2015,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,6.8,6,3.2,10,17,18,NA,6,10,8,"H15SP6",130.56,6,8,NA,4.6,"Northern"
"28",2919,2919,2919,"IMS","H15Sp8",2015,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,7.9,14.5,12,9,21,15,19,13,14,12,"H15SP8",1374.6,7,13,18.3333333333333,13.25,"Northern"
"29",2037,2295,2295,"CF","H15Sp9",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,14.1,8.2,7.8,11,21,21,21,32,26,25,"H15SP9",901.836,5,27.6666666666667,21,8,"Northern"
"30",2046,2304,2304,"SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,6.4,12.7,8.9,10,NA,NA,NA,11,12,13,"H15SR19",723.392,5,12,NA,10.8,"Northern"
"31",2991,2991,2991,"SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,3,9,4,13,19,24,17,8,5,NA,"H15SR20",108,7,NA,20,6.5,"Northern"
"32",3111,3111,3111,"AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,6.4,9,6.5,5,26,20,21,11,16,20,"H15SR29",374.4,7,15.6666666666667,22.3333333333333,7.75,"Northern"
"33",2951,2951,2951,"LB","H15Sr5",2015,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,18,17,14,12,30,22,15,17,10,NA,"H15SR5",4284,7,NA,22.3333333333333,15.5,"Northern"
"34",3042,3042,3042,"JA","H17Sa10",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,6,17.5,17,12,36,41,33,22,10,27,"H17SA10",1785,5,19.6666666666667,36.6666666666667,17.25,"Northern"
"35",3102,3102,3102,"SAB","H17Sa12",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2,9,10,7,35,32,23,9,12,NA,"H17SA12",180,5,NA,30,9.5,"Northern"
"36",3104,3104,3104,"SAB","H17Sa15",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,7,18.5,14,9,38,31,34,13,27,25,"H17SA15",1813,5,21.6666666666667,34.3333333333333,16.25,"Northern"
"37",3156,3156,3156,"JB","H17Sa17",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,3,18,11.5,10,23,30,30,9,35,24,"H17SA17",621,5,22.6666666666667,27.6666666666667,14.75,"Northern"
"38",3158,3158,3158,"JB","H17Sa18",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,10,47,25,16,49,32,36,40,28,26,"H17SA18",11750,5,31.3333333333333,39,36,"Northern"
"39",2695,2028,2028,"JB","H17Sa20",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.1,35,30.5,14,39,36,34,22,14,12,"H17SA20",4376.75,4,16,36.3333333333333,32.75,"Northern"
"40",3039,3039,3039,"JA","H17Sa6",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,5,26,23,9,49,64,66,93,33,25,"H17SA6",2990,5,50.3333333333333,59.6666666666667,24.5,"Northern"
"41",2697,2030,2030,"JA","H17Sa8",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.4,16.5,12.5,9,24,23,24,6,5,10,"H17SA8",907.5,4,7,23.6666666666667,14.5,"Northern"
"42",3041,3041,3041,"JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,27,22,10,29,34,34,73,38,45,"H17SA9",2376,5,52,32.3333333333333,24.5,"Northern"
"43",2699,2032,2032,"AB","H17Sp10",2017,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,8.2,11.9,11.9,10,14,16,17,24,19,14,"H17SP10",1161.202,4,19,15.6666666666667,11.9,"Northern"
"44",2084,2342,2342,"AB","H17Sp12",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,4.1,8.6,10.2,7.13,NA,NA,NA,20.39,20.4,33.51,"H17SP12",359.652,3,24.7666666666667,NA,9.4,"Northern"
"45",2085,2343,2343,"AB","H17Sp13",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,21.1,5.5,3.2,8.05,20.21,24.38,20.12,12.51,21.78,15.17,"H17SP13",371.36,3,16.4866666666667,21.57,4.35,"Northern"
"46",2086,2344,2344,"AB","H17Sp14",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,15.5,10.85,6,9.09,14.44,17.49,19.7,36.21,29.02,27.91,"H17SP14",1009.05,3,31.0466666666667,17.21,8.425,"Northern"
"47",2087,2345,2345,"AB","H17Sp15",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,9,4.5,3.4,10.17,16.15,9.11,7.98,11.14,12.28,18.24,"H17SP15",137.7,3,13.8866666666667,11.08,3.95,"Northern"
"48",3125,3125,3125,"AB","H17Sp18",2017,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,4.5,11,9.9,9,20,19,23,11,18,18,"H17SP18",490.05,5,15.6666666666667,20.6666666666667,10.45,"Northern"
"49",2935,2935,2935,"IMS","H17Sp3",2017,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,6.5,5,6.5,11,20,16,21,11,5,4,"H17SP3",211.25,5,6.66666666666667,19,5.75,"Northern"
"50",2936,2936,2936,"IMS","H17Sp6",2017,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,4,4.5,9,9,19,21,15,12,3,NA,"H17SP6",162,5,NA,18.3333333333333,6.75,"Northern"
"51",2100,2358,2358,"IMS","H17Sp7",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,1.8,3.2,2.5,8,NA,NA,NA,8,8,NA,"H17SP7",14.4,3,NA,NA,2.85,"Northern"
"52",3021,3021,3021,"CF","H17Sp9",2017,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,10.5,14,9,9.5,25,19,22,12,11,25,"H17SP9",1323,5,16,22,11.5,"Northern"
"53",2709,2042,2042,"LB","H17Sr1",2017,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,10.6,11.5,8.5,11,25,26,28,7,10,4,"H17SR1",1036.15,4,7,26.3333333333333,10,"Northern"
"54",2978,2978,2978,"GD","H17Sr10",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,10,24,25,13,22,20,20,30,24,20,"H17SR10",6000,5,24.6666666666667,20.6666666666667,24.5,"Northern"
"55",2982,2982,2982,"GD","H17Sr12",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,6,11,9,12,21,26,16,37,41,19,"H17SR12",594,5,32.3333333333333,21,10,"Northern"
