Bed,Name,Date (dd/mm/yyyy),Height_Aug2022 (cm) ,Height (cm),Width (cm),Width 2 (cm),Stem Elongation 1 (mm),Stem Elongation 2 (mm),Stem Elongation 3 (mm),Length 1 (mm),Length 2 (mm),Length 3 (mm),Stem diameter ,11 July 2023 notes
IMS,H15Sp1,2018-07-23,Fully sen,3.7,4.9,5.5,12,15,4,28,18,19,9,100% browning or yellowing
IMS,H15Sp2,2018-07-23,4,5.2,7.3,5.2,4,5,6,19,14,12,5,"80% yellow, 20% yellowing"
IMS,H15Sp5,2018-07-23,7,9.4,15.7,15.4,22,12,15,22,27,30,12,"40% yellow, 20% yellowing, rest green"
IMS,H15Sp6,2018-07-23,,Dead,,,,,,,,,,Looks dead
IMS,H15Sp8,2018-07-23,Fully sen,9.8,17.5,10.8,3,2,12,25,20,19,10,"30% yellowing, 40% yellowing"
IMS,HER_Sp_24,2018-07-23,8.5,10.6,30,21.9,12,20,15,29,32,27,19,"30% yellowing, 10% rust"
IMS,HER_Sp_3,2018-07-23,14,16.8,46.4,28.6,12,49,21,29,31,34,20,"50% yellow, 20% yellowing"
IMS,HER_Sp_4,2018-07-23,7,7.7,9.7,8,20,15,12,17,22,18,7,90% yellowing
IMS,HeSp2,2018-07-23,2.5,Dead,,,,,,,,,,
IMS,HeSp4,2018-07-23,Fully sen,14.3,15.6,9.9,22,7,8,30,24,24,11,"70% yellowing, cobweb"
IMS,KLSpC1,2018-07-23,9.8,10.2,5.5,5.9,5,4,4,25,21,18,27,Just starting to yellow
IMS,KLSpC2,2018-07-23,9,9.6,10.5,4.9,3,2,4,22,21,23,4,"Tip of one stem looking dead, rest green"
IMS,KLSpC3,2018-07-23,20,20.9,46.5,24.6,6,11,12,23,29,26,13,"30% yellowing, rest bright green"
IMS,KLSPE1,2018-07-23,25.1,27.1,18.2,13.6,14,19,12,23,22,27,23,"20% brown and deadish, rest is green"
IMS,KLSPE2,2018-07-23,31.5,24,102.3,87.5,40,122,15,44,48,40,49,"20% dead, 2 branches removed, rest green"
IMS,KLSPE3,2018-07-23,10,12.9,10,9.4,18,15,12,27,32,33,12,"5% yellowing, brown tips"
IMS,KLSPE4,2018-07-23,45,32.5,84.9,58.4,55,275,234,53,44,42,55,"One yellow dead branch 8%, 30% yellowing with rust, rest alive and green"
IMS,KLSpE5,2018-07-23,21.5,21.2,41.7,33.2,30,15,32,30,34,24,25,"30% rust, one branch with 15% of the plant dying without leaves"
IMS,H17Sp3,2018-07-23,6.5,6.3,5.7,4.2,4,2,10,24,20,16,12,80% yellow or brown 
IMS,H17Sp6,2018-07-23,4,Dead,,,,,,,,,,Looks fully dead
IMS,H17Sp7,2018-07-23,,"Dead, removed",,,,,,,,,,Looks fully dead
IMS,KP17SP1,2018-07-23,16,25.8,24.2,13.4,71,8,17,36,35,38,9,Green with a couple of brown tips
IMS,KP17SP2,2018-07-23,16,19.8,19.2,128,24,31,45,41,27,32,16,Couple of rusty leaves 5% brown
IMS,H18sp5,2018-07-23,4.5,2.8,2.6,4.2,7,10,NA,19,20,10,6,60% yellowing
IMS,H18sp4,2018-07-23,Fully sen,4.3,2.9,2.5,2,3,NA,25,24,8,4,"100% yellowing, down to two leaves"
IMS,H18sp2,2018-07-23,,3.3,3.6,1.3,4,NA,NA,15,16,16,6,Very small willow but might be a weed? Leaves 100% yellowing
IMS,KP16SP41,2018-07-23,,"Dead, removed",,,,,,,,,,Dead and root falling off
IMS,H18sp1,2018-07-23,4.5,3.6,5.4,4.9,23,24,NA,25,28,30,4,Very green small willow here but is it a weed? Leaves all green
LB,KP16SR41,2019-07-23,29,26.1,16.8,12.5,11,14,22,24,29,28,22,"62% dead, two branches removed, 97% Redding and browning, 3% yellow"
LB,KLSRE4,2019-07-23,113,102.6,273,239.5,128,110,116,54,55,59,115,"Green, happy and huge"
LB,KLSRC2,2019-07-23,127,115.7,126.1,112.5,104,83,86,56,67,54,95,"Green, happy and huge, 6% dead stems, spider webs"
LB,HeSR3,2019-07-23,15,15.6,26.7,21,11,14,20,25,27,28,12,20% yellowing
LB,HeSR2,2019-07-23,Fully sen,12.3,25.8,14.1,12,23,15,25,23,22,16,75% yellowing
LB,HER_SR_4,2019-07-23,Fully sen,7.5,8.5,10.6,65,NA,NA,47,55,34,13,"68% dead, removed 3 branches, big round leaves, 40% yellowing"
LB,H15Sr5,2019-07-23,Fully sen,20.6,22.8,13.5,24,18,35,37,34,30,12,60% yellowing
LB,KP17Sr1,2019-07-23,27,29.8,38.2,32.5,96,136,61,39,42,47,35,"All green, 5% curled leaves"
LB,KP17Sr2,2019-07-23,34.5,25.7,14,7.8,11,5,3,24,26,22,16,"70% dead, 3 branches removed, green looking good"
LB,KP17Sr3,2019-07-23,34.5,25.2,36.5,33.7,30,39,42,35,32,37,22,100% green
LB,KP17Sr4,2019-07-23,27,26.6,36.7,26.2,6,22,18,25,30,31,23,"Green, with 5% brown patches"
LB,K17Sr6,2019-07-23,13,17.6,35.7,13.9,29,20,12,40,44,40,13,100% green
LB,H17Sr1,2019-07-23,4,8.3,16.9,13.3,5,6,11,30,23,26,7,"30% redding and browning, needs new tag"
LB,H17Sr4,2019-07-23,Fully sen,6.8,18.2,9.3,23,15,27,25,26,24,11,80% yellowing
LB,H17Sr5,2019-07-23,7,8.9,15.7,14.5,27,30,47,54,55,43,10,80% browning at the tips
LB,PC17Sr1,2019-07-23,40,31.6,41.8,22.9,71,54,98,35,32,39,8,"30% dead one branch removed, the rest, 100% is dry and crunchy"
LB,PC17Sr2,2019-07-23,35,37.1,21.5,24.2,45,37,24,39,40,37,14,All green
LB,H18sr2,2019-07-23,Fully sen,8.5,11.8,6.1,20,11,17,26,24,24,9,"50% yellowing, 20% yellow"
SL,HE16SP15,2019-07-23,6,6.2,20.7,14.9,15,12,19,26,22,27,5,"100% leaves with brown tips, tag needs replacing"
SL,KP16Sp24,2019-07-23,,Dead,,,,,,,,,,Looks dead
SL,PC16CWSp9,2019-07-23,12,14.7,47.3,36.7,16,24,19,35,36,40,13,"40% brown tips on leaves, 20% orange rust"
SL,PC16CWSp7,2019-07-23,60,58.8,38.2,31.1,32,131,44,49,52,45,18,100% green
SL,PC17SP1,2019-07-23,25,23.8,28.9,16.9,205,94,30,48,54,49,15,"Removed four dead branches, 47% of biomass, 40% orange rust, rest is green "
SL,PC17SP3,2019-07-23,4,4.1,17.2,9.5,7,4,18,31,29,19,9,40% brown yellow leaves with rust 
SL,KP17SP5,2019-07-23,35.5,36.2,88.2,43.5,104,451,198,52,62,67,20,"24% dead, one branch removed by lady NATURE"
SL,H18sp15,2019-07-23,,Dead,,,,,,,,,,Dead
SL,H18sp11,2019-07-23,Fully sen,7.2,14.6,13.5,4,3,6,21,21,19,9,"60% brown tips on leaves, 20% yellowing"
SL,PC17SP4,2019-07-23,,Dead,,,,,,,,,,Dead
GD,KP16Sr36,2019-07-23,40,47.4,43.9,39.4,78,42,102,50,52,48,35,100% green
GD,KP16Sr37,2019-07-23,83,76.2,66.2,63,427,385,149,45,47,60,48,"10% yellow, cobwebs"
GD,KP16SR51,2019-07-23,38,27.4,27.9,14.5,13,39,15,35,32,31,18,"34% dead, two branches removed, 50% leaves have brown tips, cobwebs"
GD,KP16SR52,2019-07-23,45,39.4,52.5,53.3,95,109,92,46,53,49,25,20% leaves browning
GD,KP16SR53,2019-07-23,17,21.6,45.2,37.6,54,41,57,39,40,42,22,30% have brown patches
GD,H17SR10,2019-07-23,10,10.2,27.1,26.2,29,35,25,24,30,26,16,"100% brown patches, 40% yellowing"
GD,H17SR9,2019-07-23,18.5,17.4,30.8,37.5,33,52,18,35,39,29,14,"10% crunchy yellow leaves, 40% yellowing, nothing removed but one branch sketchy"
GD,H17SR7,2019-07-23,9,12.3,18.2,14.2,22,16,13,26,27,30,9,"100% browning at edges, 40% yellowing"
GD,H17SR13,2019-07-23,Fully sen,12.4,19,18.2,29,48,9,39,40,37,12,"Two branches removed, 39% dead, 20% brown patches, rest green"
GD,H17SR12,2019-07-23,6,6.7,12.9,10.5,7,11,5,24,22,26,7,80% brown and purple patches
GD,H17SR15,2019-07-23,Fully sen,10.5,22.8,19.3,39,36,45,23,26,33,11,"100% brown tips on leaves, 20% yellowing"
GD,PC17SR6,2019-07-23,41,39.6,62.3,53.2,45,32,81,42,45,49,45,"35% have purple and brown patches, cobwebs"
GD,PC17SR5,2019-07-23,121,110,89.5,56.8,432,405,270,49,52,56,48,100% green
GD,PC17SR4,2019-07-23,74,68.1,44.5,44.3,361,192,175,42,49,50,34,"20% small brown patches, rest green"
GD,H18sr6,2019-07-23,2.5,4.3,5.9,3.4,8,4,3,19,22,19,8,"40% brown tips on leaves, quite small"
GD,H18sr10,2019-07-23,Fully sen,6.2,12.4,12.8,10,7,8,21,20,30,9,"40% yellowing, leaves round"
