"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","X","Bed","Year_planted","Sample_Date","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","biovolume","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"1","Sal arc 1",52,51,47,7,10,2023,"Kluane","source_south","Salix arctica",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Sal arc 2 ",62,56,73,7,10,2023,"Kluane","source_south","Salix arctica",63.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Sal arc 3 ",45,49,50,7,10,2023,"Kluane","source_south","Salix arctica",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Sal arc 4",51,49,47,7,10,2023,"Kluane","source_south","Salix arctica",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Sal arc 5",47,49,51,7,10,2023,"Kluane","source_south","Salix arctica",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Sal arc 6",53,44,45,7,10,2023,"Kluane","source_south","Salix arctica",47.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Sal arc 7",68,62,55,7,10,2023,"Kluane","source_south","Salix arctica",61.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Sal arc 8",37,40,44,7,10,2023,"Kluane","source_south","Salix arctica",40.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Sal arc 8",60,68,65,7,10,2023,"Kluane","source_south","Salix arctica",64.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","HESP1",14,15,15,8,15,2015,"Common_garden","Northern","Salix pulchra",14.6666666666667,1,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"11","HESP12",13,13,11,8,15,2015,"Common_garden","Northern","Salix pulchra",12.3333333333333,2,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"12","HESP17",10,10,9,8,15,2015,"Common_garden","Northern","Salix pulchra",9.66666666666667,3,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"13","HESP18",19,15,17,8,15,2015,"Common_garden","Northern","Salix pulchra",17,4,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"14","HESP2",11,10,10,8,15,2015,"Common_garden","Northern","Salix pulchra",10.3333333333333,5,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"15","HESP20",20,24,19,8,15,2015,"Common_garden","Northern","Salix pulchra",21,6,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"16","HESP23",17,25,17,8,15,2015,"Common_garden","Northern","Salix pulchra",19.6666666666667,7,"AB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"17","HESP30",16,15,10,8,15,2015,"Common_garden","Northern","Salix pulchra",13.6666666666667,8,"AB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"18","HESP4",10,10,9,8,15,2015,"Common_garden","Northern","Salix pulchra",9.66666666666667,9,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"19","HESP6",18,18,15,8,15,2015,"Common_garden","Northern","Salix pulchra",17,10,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
