"","max_biovol","SampleID_standard","Year","Site","population","Species"
"1",7934.472,"H15SA10",2023,"Common_garden","Northern","Salix arctica"
"2",34.72,"H15SA11",2021,"Common_garden","Northern","Salix arctica"
"3",2668.05,"H15SA12",2023,"Common_garden","Northern","Salix arctica"
"4",614.376,"H15SA14",2023,"Common_garden","Northern","Salix arctica"
"5",410.652,"H15SA15",2023,"Common_garden","Northern","Salix arctica"
"6",206.752,"H15SA18",2021,"Common_garden","Northern","Salix arctica"
"7",3410.568,"H15SA19",2023,"Common_garden","Northern","Salix arctica"
"8",369.096,"H15SA20",2023,"Common_garden","Northern","Salix arctica"
"9",1368,"H15SA3",2022,"Common_garden","Northern","Salix arctica"
"10",988,"H15SA7",2022,"Common_garden","Northern","Salix arctica"
"11",223.344,"H15SA9",2021,"Common_garden","Northern","Salix arctica"
"12",116.64,"H15SP1",2021,"Common_garden","Northern","Salix pulchra"
"13",731.25,"H15SP10",2021,"Common_garden","Northern","Salix pulchra"
"14",1566.4,"H15SP13",2021,"Common_garden","Northern","Salix pulchra"
"15",7003.5,"H15SP15",2021,"Common_garden","Northern","Salix pulchra"
"16",628.524,"H15SP19",2021,"Common_garden","Northern","Salix pulchra"
"17",210,"H15SP2",2022,"Common_garden","Northern","Salix pulchra"
"18",543.312,"H15SP20",2023,"Common_garden","Northern","Salix pulchra"
"19",484.092,"H15SP23",2023,"Common_garden","Northern","Salix pulchra"
"20",527.472,"H15SP24",2021,"Common_garden","Northern","Salix pulchra"
"21",2519.88,"H15SP25",2023,"Common_garden","Northern","Salix pulchra"
"22",5161.66,"H15SP27",2023,"Common_garden","Northern","Salix pulchra"
"23",103.544,"H15SP29",2021,"Common_garden","Northern","Salix pulchra"
"24",2272.732,"H15SP5",2023,"Common_garden","Northern","Salix pulchra"
"25",130.56,"H15SP6",2021,"Common_garden","Northern","Salix pulchra"
"26",1852.2,"H15SP8",2023,"Common_garden","Northern","Salix pulchra"
"27",2696.322,"H15SP9",2023,"Common_garden","Northern","Salix pulchra"
"28",901.212,"H15SR19",2023,"Common_garden","Northern","Salix richardsonii"
"29",132,"H15SR20",2021,"Common_garden","Northern","Salix richardsonii"
"30",402.752,"H15SR29",2023,"Common_garden","Northern","Salix richardsonii"
"31",6340.68,"H15SR5",2023,"Common_garden","Northern","Salix richardsonii"
"32",3943.944,"H17SA10",2023,"Common_garden","Northern","Salix arctica"
"33",445.5,"H17SA12",2023,"Common_garden","Northern","Salix arctica"
"34",1813,"H17SA15",2022,"Common_garden","Northern","Salix arctica"
"35",1600.176,"H17SA17",2023,"Common_garden","Northern","Salix arctica"
"36",11750,"H17SA18",2022,"Common_garden","Northern","Salix arctica"
"37",4376.75,"H17SA20",2021,"Common_garden","Northern","Salix arctica"
"38",4275.579,"H17SA6",2023,"Common_garden","Northern","Salix arctica"
