"","max_mean_width_cm","SampleID_standard","Year","Site","population","Species"
"1",35.5,"H15SA10",2023,"Common_garden","Northern","Salix arctica"
"2",3.7,"H15SA11",2023,"Common_garden","Northern","Salix arctica"
"3",23.65,"H15SA12",2023,"Common_garden","Northern","Salix arctica"
"4",13.35,"H15SA14",2023,"Common_garden","Northern","Salix arctica"
"5",11.05,"H15SA15",2023,"Common_garden","Northern","Salix arctica"
"6",6.35,"H15SA18",2021,"Common_garden","Northern","Salix arctica"
"7",22.7,"H15SA19",2023,"Common_garden","Northern","Salix arctica"
"8",9.75,"H15SA20",2023,"Common_garden","Northern","Salix arctica"
"9",17.5,"H15SA3",2022,"Common_garden","Northern","Salix arctica"
"10",16,"H15SA7",2022,"Common_garden","Northern","Salix arctica"
"11",10.65,"H15SA9",2021,"Common_garden","Northern","Salix arctica"
"12",5.2,"H15SP1",2023,"Common_garden","Northern","Salix pulchra"
"13",11.25,"H15SP10",2021,"Common_garden","Northern","Salix pulchra"
"14",12.45,"H15SP13",2021,"Common_garden","Northern","Salix pulchra"
"15",22,"H15SP15",2021,"Common_garden","Northern","Salix pulchra"
"16",9.05,"H15SP19",2021,"Common_garden","Northern","Salix pulchra"
"17",7.25,"H15SP2",2022,"Common_garden","Northern","Salix pulchra"
"18",9.85,"H15SP20",2023,"Common_garden","Northern","Salix pulchra"
"19",9.85,"H15SP23",2023,"Common_garden","Northern","Salix pulchra"
"20",7.35,"H15SP24",2021,"Common_garden","Northern","Salix pulchra"
"21",17.45,"H15SP25",2023,"Common_garden","Northern","Salix pulchra"
"22",22.95,"H15SP27",2023,"Common_garden","Northern","Salix pulchra"
"23",4.3,"H15SP29",2021,"Common_garden","Northern","Salix pulchra"
"24",16,"H15SP5",2022,"Common_garden","Northern","Salix pulchra"
"25",4.6,"H15SP6",2021,"Common_garden","Northern","Salix pulchra"
"26",14.15,"H15SP8",2023,"Common_garden","Northern","Salix pulchra"
"27",14.45,"H15SP9",2023,"Common_garden","Northern","Salix pulchra"
"28",13.25,"H15SR19",2023,"Common_garden","Northern","Salix richardsonii"
"29",6.5,"H15SR20",2022,"Common_garden","Northern","Salix richardsonii"
"30",8.5,"H15SR29",2023,"Common_garden","Northern","Salix richardsonii"
"31",18.15,"H15SR5",2023,"Common_garden","Northern","Salix richardsonii"
"32",23.25,"H17SA10",2023,"Common_garden","Northern","Salix arctica"
"33",9.5,"H17SA12",2022,"Common_garden","Northern","Salix arctica"
"34",16.25,"H17SA15",2022,"Common_garden","Northern","Salix arctica"
"35",18,"H17SA17",2023,"Common_garden","Northern","Salix arctica"
"36",36,"H17SA18",2022,"Common_garden","Northern","Salix arctica"
"37",39.5,"H17SA20",2022,"Common_garden","Northern","Salix arctica"
"38",24.5,"H17SA6",2022,"Common_garden","Northern","Salix arctica"
"39",17.5,"H17SA8",2022,"Common_garden","Northern","Salix arctica"
"40",31.95,"H17SA9",2023,"Common_garden","Northern","Salix arctica"
"41",13,"H17SP10",2023,"Common_garden","Northern","Salix pulchra"
"42",19.75,"H17SP12",2023,"Common_garden","Northern","Salix pulchra"
"43",12.35,"H17SP13",2023,"Common_garden","Northern","Salix pulchra"
"44",11.05,"H17SP14",2023,"Common_garden","Northern","Salix pulchra"
"45",8.7,"H17SP15",2023,"Common_garden","Northern","Salix pulchra"
"46",10.45,"H17SP18",2022,"Common_garden","Northern","Salix pulchra"
"47",5.75,"H17SP3",2022,"Common_garden","Northern","Salix pulchra"
"48",6.75,"H17SP6",2022,"Common_garden","Northern","Salix pulchra"
"49",2.75,"H17SP7",2021,"Common_garden","Northern","Salix pulchra"
"50",18.15,"H17SP9",2023,"Common_garden","Northern","Salix pulchra"
"51",15.1,"H17SR1",2023,"Common_garden","Northern","Salix richardsonii"
"52",26.65,"H17SR10",2023,"Common_garden","Northern","Salix richardsonii"
"53",11.7,"H17SR12",2023,"Common_garden","Northern","Salix richardsonii"
"54",18.6,"H17SR13",2023,"Common_garden","Northern","Salix richardsonii"
"55",21.05,"H17SR15",2023,"Common_garden","Northern","Salix richardsonii"
"56",16.75,"H17SR18",2023,"Common_garden","Northern","Salix richardsonii"
"57",11.15,"H17SR19",2023,"Common_garden","Northern","Salix richardsonii"
"58",12.5,"H17SR24",2022,"Common_garden","Northern","Salix richardsonii"
"59",2.55,"H17SR25",2021,"Common_garden","Northern","Salix richardsonii"
"60",32.85,"H17SR30",2023,"Common_garden","Northern","Salix richardsonii"
"61",32.1,"H17SR35",2023,"Common_garden","Northern","Salix richardsonii"
"62",11.65,"H17SR37",2023,"Common_garden","Northern","Salix richardsonii"
"63",13.75,"H17SR4",2023,"Common_garden","Northern","Salix richardsonii"
"64",15.1,"H17SR5",2023,"Common_garden","Northern","Salix richardsonii"
"65",16.2,"H17SR7",2023,"Common_garden","Northern","Salix richardsonii"
"66",34.15,"H17SR9",2023,"Common_garden","Northern","Salix richardsonii"
"67",9.6,"H18SA1",2023,"Common_garden","Northern","Salix arctica"
"68",12.35,"H18SA29",2023,"Common_garden","Northern",NA
