Plotcode,Latitude,Longitude,Elevation,GPS_accuracy,Sensor_used,Sensor_accuracy,Sensor_notes,Sensor_depth,Start_date_year,Start_date_month,Start_date_day,End_date_year,End_date_month,End_date_day,Temporal_resolution,UTC_Local,Species_composition,Species_trait,Plot_size,Forest_canopy_cover,Total_vegetation_cover,Moss_layer_depth,Leaf_area_index,Vegetation_height,Habitat_type,Slope,Aspect,Disturbance_types,Disturbance_estimates,Soil_type,Soil_moisture,Data_open_access,Meta_data_open_access
Kluane_Plateau_1,60.96195,-138.4127,1734,5m,iButton,,2 sensors palced together,5cm,2015,7,1,2017,6,10,4 hours,UTC-9.00,Alpine tundra,,1m,0,95,,,,,,,,,,,,
Kluane_Plateau_2,60.96195,-138.4127,1734,5m,iButton,,2 sensors palced together,5cm,2015,7,1,2017,6,10,4 hours,UTC-9.00,Alpine tundra,,1m,0,95,,,,,,,,,,,,
PC16_1,61.21414,-138.27815,1651,5m,iButton,,2 sensors palced together,5cm,2015,6,23,2016,5,29,4 hours,UTC-9.00,Alpine tundra,,1m,0,95,,,,,,,,,,,,
PC16_2,61.21414,-138.27815,1651,5m,iButton,,2 sensors palced together,5cm,2015,6,23,2016,5,29,4 hours,UTC-9.00,Alpine tundra,,1m,0,95,,,,,,,,,,,,
PP16_1,61.18908,-138.34446,1420,5m,iButton,,2 sensors palced together,5cm,2015,6,23,2016,5,29,4 hours,UTC-9.00,Alpine tundra,,1m,0,95,,,,,,,,,,,,
PP16_2,61.18908,-138.34446,1420,5m,iButton,,2 sensors palced together,5cm,2015,6,23,2016,5,29,4 hours,UTC-9.00,Alpine tundra,,1m,0,95,,,,,,,,,,,,
HH_1,69.57528,-138.86233,72,5m,iButton,,2 sensors palced together,5cm,2015,8,19,2016,7,25,4 hours,UTC-9.00,Arctic tundra,,1m,0,90,,,,,,,,,,,,
HH_2,69.57528,-138.86233,72,5m,iButton,,2 sensors palced together,5cm,2015,8,19,2016,7,25,4 hours,UTC-9.00,Arctic tundra,,1m,0,90,,,,,,,,,,,,
HK_1,69.57662,-138.86856,69,5m,iButton,,2 sensors palced together,5cm,2015,8,19,2016,7,25,4 hours,UTC-9.00,Arctic tundra,,1m,0,90,,,,,,,,,,,,
HK_2,69.57662,-138.86856,69,5m,iButton,,2 sensors palced together,5cm,2015,8,19,2016,7,25,4 hours,UTC-9.00,Arctic tundra,,1m,0,90,,,,,,,,,,,,
HR_1,69.57675,-138.90987,27,5m,iButton,,2 sensors palced together,5cm,2015,8,19,2016,7,25,4 hours,UTC-9.00,Arctic tundra,,1m,0,90,,,,,,,,,,,,
HR_2,69.57675,-138.90987,27,5m,iButton,,2 sensors palced together,5cm,2015,8,19,2016,7,25,4 hours,UTC-9.00,Arctic tundra,,1m,0,90,,,,,,,,,,,,
HS_1,69.58284,-138.88944,41,5m,iButton,,2 sensors palced together,5cm,2015,8,19,2016,7,25,4 hours,UTC-9.00,Arctic tundra,,1m,0,90,,,,,,,,,,,,
HS_2,69.58284,-138.88944,41,5m,iButton,,2 sensors palced together,5cm,2015,8,19,2016,7,25,4 hours,UTC-9.00,Arctic tundra,,1m,0,90,,,,,,,,,,,,
HV_1,69.5764,-138.90054,10,5m,iButton,,2 sensors palced together,5cm,2015,8,19,2016,7,25,4 hours,UTC-9.00,Arctic tundra,,1m,0,90,,,,,,,,,,,,
HV_2,69.5764,-138.90054,10,5m,iButton,,2 sensors palced together,5cm,2015,8,19,2016,7,25,4 hours,UTC-9.00,Arctic tundra,,1m,0,90,,,,,,,,,,,,
Kluane_10,60.95241,-138.42418,1926,5m,iButton,,,5cm,2016,6,23,2016,8,18,1 hour,UTC-9.00,Alpine tundra,,1m,0,70,,,,,,,,,,,,
Kluane_1,61.00889,-138.42467,794,5m,iButton,,,5cm,2016,6,23,2016,8,18,1 hour,UTC-9.00,Alpine tundra,,1m,80,95,,,,,,,,,,,,
Kluane_2,61.00323,-138.41573,922,5m,iButton,,,5cm,2016,6,23,2016,8,18,1 hour,UTC-9.00,Boreal forest,,1m,70,95,,,,,,,,,,,,
Kluane_3,60.99925,-138.41131,1049,5m,iButton,,,5cm,2016,6,23,2016,8,18,1 hour,UTC-9.00,Boreal forest,,1m,50,95,,,,,,,,,,,,
Kluane_4,60.99343,-138.41123,1175,5m,iButton,,,5cm,2016,6,23,2016,8,18,1 hour,UTC-9.00,Boreal forest,,1m,50,95,,,,,,,,,,,,
Kluane_5,60.98505,-138.412,1299,5m,iButton,,,5cm,2016,6,23,2016,8,18,1 hour,UTC-9.00,Boreal forest,,1m,25,95,,,,,,,,,,,,
Kluane_6,60.97888,-138.41052,1425,5m,iButton,,,5cm,2016,6,23,2016,8,18,1 hour,UTC-9.00,Alpine tundra,,1m,0,95,,,,,,,,,,,,
Kluane_7,0.97134,-138.41157,1551,5m,iButton,,,5cm,2016,6,23,2016,8,18,1 hour,UTC-9.00,Alpine tundra,,1m,0,95,,,,,,,,,,,,
Kluane_8,60.96417,-138.41731,1684,5m,iButton,,,5cm,2016,6,23,2016,8,18,1 hour,UTC-9.00,Alpine tundra,,1m,0,90,,,,,,,,,,,,
QHI_phenology_plot,69.57754,-138.91147,53,5m,HOBO,,,5cm,2015,7,22,2016,8,11,1 hour,UTC-9.00,Arctic tundra,,1m,0,95,,,,,,,,,,,,
Kluane_Lake_CG,61.03248,-138.40834,792,5m,HOBO,,,5cm,2015,8,17,2017,8,10,30 minutes,UTC-9.00,Boreal forest,,10m,20,50,,,,,,,,,,,,
