"SerialID","Index","Datetime_UTC","Button Down","Button Up","Host Connected","End of File","Variable","Value"
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","1",2022-07-18 12:06:20,NA,NA,NA,NA,"Temperature",24.06
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","1",2022-07-18 12:06:20,NA,NA,NA,NA,"Lux",610.88
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","2",2022-07-18 12:06:34,"Logged",NA,NA,NA,"Temperature",NA
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","2",2022-07-18 12:06:34,"Logged",NA,NA,NA,"Lux",NA
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","3",2022-07-18 13:06:20,NA,NA,NA,NA,"Temperature",23.46
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","3",2022-07-18 13:06:20,NA,NA,NA,NA,"Lux",0
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","4",2022-07-18 14:06:20,NA,NA,NA,NA,"Temperature",23.64
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","4",2022-07-18 14:06:20,NA,NA,NA,NA,"Lux",0
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","5",2022-07-18 15:06:20,NA,NA,NA,NA,"Temperature",22.39
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","5",2022-07-18 15:06:20,NA,NA,NA,NA,"Lux",0
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","6",2022-07-18 16:06:20,NA,NA,NA,NA,"Temperature",27.58
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","6",2022-07-18 16:06:20,NA,NA,NA,NA,"Lux",38717.44
