"Plot Title: QHI_HOBO_2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21419290, SEN S/N: 21414492)","Water Content, m³/m³ (LGR S/N: 21419290, SEN S/N: 21420676)","Temp, °C (LGR S/N: 21419290, SEN S/N: 21420851)","RH, % (LGR S/N: 21419290, SEN S/N: 21420851)","Temp, °C (LGR S/N: 21419290, SEN S/N: 21420922)","Temp, °C (LGR S/N: 21419290, SEN S/N: 21420924)"
1,07/19/22 12:29:14 PM,19.770,-0.2520,19.885,24.598,19.841,20.317
2,07/19/22 12:59:14 PM,18.747,0.5282,19.596,53.452,19.698,19.960
3,07/19/22 01:29:14 PM,18.200,0.5300,19.081,55.433,19.127,19.651
4,07/19/22 01:59:14 PM,18.247,0.5308,19.017,55.579,19.032,19.651
5,07/19/22 02:29:14 PM,18.247,0.5259,18.995,53.695,19.032,19.294
6,07/19/22 02:59:14 PM,21.700,-0.0717,20.518,52.018,20.388,20.627
7,07/19/22 03:29:14 PM,22.034,-0.0923,21.633,51.997,21.557,21.676
8,07/19/22 03:59:14 PM,21.819,-0.0805,21.419,45.069,21.795,21.819
9,07/19/22 04:29:14 PM,22.202,-0.0805,20.689,46.081,21.413,21.557
10,07/19/22 04:59:14 PM,17.629,-0.0830,19.059,37.957,19.222,18.818
11,07/19/22 05:29:14 PM,15.127,-0.0864,16.486,39.521,16.820,15.915
12,07/19/22 05:59:14 PM,15.557,-0.0950,15.092,48.864,15.151,15.008
13,07/19/22 06:29:14 PM,12.292,-0.0958,12.904,45.815,13.040,12.558
14,07/19/22 06:59:14 PM,11.005,-0.0994,11.638,48.855,11.662,11.443
15,07/19/22 07:29:14 PM,10.418,-0.0976,10.652,53.677,10.590,10.492
16,07/19/22 07:59:14 PM,8.990,-0.0958,10.008,52.844,9.928,9.435
17,07/19/22 08:29:14 PM,5.693,0.3087,5.976,94.781,5.975,3.274
18,07/19/22 08:59:14 PM,5.539,0.3087,6.448,94.734,6.788,3.274
19,07/19/22 09:29:14 PM,5.437,0.3087,6.083,95.290,6.408,3.274
20,07/19/22 09:59:14 PM,5.360,0.3080,5.719,97.380,5.821,3.301
