"Plot Title: QHI_HOBO_1"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 21419291, SEN S/N: 21404543, LBL: soil_moisture)","Temp, °C (LGR S/N: 21419291, SEN S/N: 21414491, LBL: air_temperature)","Temp, °C (LGR S/N: 21419291, SEN S/N: 21414493, LBL: 10cm_soil_temperature)"
1,07/04/23 06:00:01 PM,0.0509,24.171,24.388
2,07/04/23 06:30:01 PM,-0.2610,16.106,16.987
3,07/04/23 07:00:01 PM,0.2810,4.402,20.436
4,07/04/23 07:30:01 PM,0.2830,4.402,20.913
5,07/04/23 08:00:01 PM,0.2844,4.454,21.772
6,07/04/23 08:30:01 PM,0.2850,4.454,22.441
7,07/04/23 09:00:01 PM,0.2864,4.532,23.881
8,07/04/23 09:30:01 PM,0.2868,4.558,20.388
9,07/04/23 10:00:01 PM,0.2871,4.610,18.295
10,07/04/23 10:30:01 PM,0.2874,4.636,17.486
11,07/04/23 11:00:01 PM,0.2877,4.662,16.749
12,07/04/23 11:30:01 PM,0.2881,4.688,17.058
13,07/05/23 12:00:01 AM,0.2881,4.688,16.153
14,07/05/23 12:30:01 AM,0.2884,4.688,14.792
15,07/05/23 01:00:01 AM,0.2881,4.714,14.385
16,07/05/23 01:30:01 AM,0.2884,4.714,14.337
17,07/05/23 02:00:01 AM,0.2887,4.688,13.473
18,07/05/23 02:30:01 AM,0.2887,4.662,14.146
19,07/05/23 03:00:01 AM,0.2890,4.610,14.433
20,07/05/23 03:30:01 AM,0.2890,4.558,14.529
21,07/05/23 04:00:01 AM,0.2890,4.506,14.074
22,07/05/23 04:30:01 AM,0.2887,4.454,13.570
23,07/05/23 05:00:01 AM,0.2895,4.376,13.570
24,07/05/23 05:30:01 AM,0.2890,4.324,13.209
25,07/05/23 06:00:01 AM,0.2895,4.246,12.703
26,07/05/23 06:30:01 AM,0.2895,4.194,15.366
27,07/05/23 07:00:01 AM,0.2895,4.115,16.296
28,07/05/23 07:30:01 AM,0.2895,4.037,15.103
29,07/05/23 08:00:01 AM,0.2895,4.011,15.676
30,07/05/23 08:30:01 AM,0.2895,3.958,15.175
31,07/05/23 09:00:01 AM,0.2895,3.932,15.963
32,07/05/23 09:30:01 AM,0.2895,3.932,16.106
33,07/05/23 10:00:01 AM,0.2898,3.932,17.534
34,07/05/23 10:30:01 AM,0.2895,3.932,17.415
35,07/05/23 11:00:01 AM,0.2898,3.932,17.058
36,07/05/23 11:30:01 AM,0.2895,3.932,17.130
37,07/05/23 12:00:01 PM,0.2895,3.985,17.034
38,07/05/23 12:30:01 PM,0.2898,4.037,18.961
