"Plot Title: Common_Garden_Hobo_21419292"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21419292, SEN S/N: 21274749, LBL: Soil 10cm)","Temp, °C (LGR S/N: 21419292, SEN S/N: 21414490, LBL: Soil 2cm)","Temp, °C (LGR S/N: 21419292, SEN S/N: 21414494, LBL: Air 1m)","Temp, °C (LGR S/N: 21419292, SEN S/N: 21420853, LBL: Air 1m)","RH, % (LGR S/N: 21419292, SEN S/N: 21420853, LBL: Air 1m)"
1,08/20/22 12:00:01 PM,17.629,18.699,18.247,17.054,26.375
2,08/20/22 12:30:01 PM,18.295,19.222,18.889,18.588,53.393
3,08/20/22 01:00:01 PM,19.222,20.126,20.126,19.553,52.363
4,08/20/22 01:30:01 PM,20.770,22.800,22.753,23.006,50.225
5,08/20/22 02:00:01 PM,11.880,18.414,21.294,23.113,39.512
6,08/20/22 02:30:01 PM,12.268,18.652,19.579,21.269,39.930
7,08/20/22 03:00:01 PM,12.630,20.913,22.800,25.858,27.842
8,08/20/22 03:30:01 PM,12.992,21.318,23.737,25.622,29.331
9,08/20/22 04:00:01 PM,13.377,21.008,21.127,22.791,35.180
10,08/20/22 04:30:01 PM,13.786,20.793,19.103,20.947,39.747
11,08/20/22 05:00:01 PM,14.146,21.175,22.298,23.885,35.529
12,08/20/22 05:30:01 PM,14.433,21.294,23.737,25.751,27.578
13,08/20/22 06:00:01 PM,14.721,21.127,22.417,24.164,35.093
14,08/20/22 06:30:01 PM,14.960,20.603,20.055,20.904,41.115
15,08/20/22 07:00:01 PM,15.151,20.007,19.484,20.561,41.363
16,08/20/22 07:30:01 PM,15.270,18.675,19.436,19.295,42.789
17,08/20/22 08:00:01 PM,15.318,17.653,18.129,18.566,42.849
18,08/20/22 08:30:01 PM,15.294,16.630,15.963,16.250,50.948
19,08/20/22 09:00:01 PM,15.175,15.605,15.318,15.349,50.581
20,08/20/22 09:30:01 PM,15.055,14.721,14.098,14.255,57.049
21,08/20/22 10:00:01 PM,14.864,14.026,13.618,13.805,59.330
22,08/20/22 10:30:01 PM,14.649,13.401,12.823,13.011,59.150
23,08/20/22 11:00:01 PM,14.433,12.896,10.785,10.995,64.787
24,08/20/22 11:30:01 PM,14.218,12.195,8.817,8.893,73.384
25,08/21/22 12:00:01 AM,13.978,11.662,7.419,7.542,78.956
26,08/21/22 12:30:01 AM,13.762,11.175,6.839,7.070,79.312
27,08/21/22 01:00:01 AM,13.522,10.834,7.192,7.349,78.314
28,08/21/22 01:30:01 AM,13.305,10.418,6.077,6.255,82.356
29,08/21/22 02:00:01 AM,13.088,10.051,5.975,6.062,82.829
30,08/21/22 02:30:01 AM,12.847,9.829,6.484,6.641,81.231
31,08/21/22 03:00:01 AM,12.654,9.583,5.462,5.590,85.510
32,08/21/22 03:30:01 AM,12.437,9.410,6.102,6.276,83.011
33,08/21/22 04:00:01 AM,12.243,9.312,5.872,5.998,85.556
34,08/21/22 04:30:01 AM,12.074,9.188,6.026,6.191,85.025
35,08/21/22 05:00:01 AM,11.880,8.990,6.077,6.276,84.582
36,08/21/22 05:30:01 AM,11.734,8.817,4.792,4.968,91.650
37,08/21/22 06:00:01 AM,11.589,8.618,4.895,5.032,91.051
38,08/21/22 06:30:01 AM,11.419,8.469,4.610,4.797,92.259
39,08/21/22 07:00:01 AM,11.297,8.270,4.532,4.668,93.642
40,08/21/22 07:30:01 AM,11.127,8.394,5.949,6.062,89.512
41,08/21/22 08:00:01 AM,11.005,8.767,7.419,7.520,86.285
42,08/21/22 08:30:01 AM,10.883,9.213,8.866,9.022,82.875
43,08/21/22 09:00:01 AM,10.810,9.608,11.710,12.411,67.259
44,08/21/22 09:30:01 AM,10.761,10.687,13.522,13.783,61.047
45,08/21/22 10:00:01 AM,10.761,11.394,16.106,17.858,48.028
46,08/21/22 10:30:01 AM,10.810,12.485,16.415,18.287,49.928
47,08/21/22 11:00:01 AM,10.883,14.050,16.392,18.695,48.476
48,08/21/22 11:30:01 AM,11.053,15.031,17.368,19.510,44.698
49,08/21/22 12:00:01 PM,11.273,16.082,18.723,21.054,43.705
50,08/21/22 12:30:01 PM,11.516,17.558,19.389,21.483,41.788
51,08/21/22 01:00:01 PM,11.832,17.986,18.771,20.904,43.609
52,08/21/22 01:30:01 PM,12.171,19.460,20.865,22.963,38.538
53,08/21/22 02:00:01 PM,12.534,19.936,20.555,22.191,42.603
54,08/21/22 02:30:01 PM,12.920,18.818,18.485,19.553,45.312
55,08/21/22 03:00:01 PM,13.257,18.366,18.771,20.218,47.536
56,08/21/22 03:30:01 PM,13.522,18.985,20.031,21.612,43.056
57,08/21/22 04:00:01 PM,13.738,18.842,19.674,20.582,48.270
58,08/21/22 04:30:01 PM,13.978,20.174,22.441,24.507,36.672
59,08/21/22 05:00:01 PM,14.194,20.031,20.698,22.362,41.747
60,08/21/22 05:30:01 PM,14.433,18.652,20.174,20.454,42.640
61,08/21/22 06:00:01 PM,14.625,19.246,24.291,24.486,36.320
62,08/21/22 06:30:01 PM,14.721,19.841,23.208,24.486,37.377
63,08/21/22 07:00:01 PM,14.888,20.079,22.178,23.156,39.477
64,08/21/22 07:30:01 PM,15.055,19.318,19.888,20.732,47.863
65,08/21/22 08:00:01 PM,15.175,18.414,18.675,19.252,52.569
66,08/21/22 08:30:01 PM,15.247,17.368,17.415,17.837,54.450
67,08/21/22 09:00:01 PM,15.223,15.843,15.103,15.220,63.386
68,08/21/22 09:30:01 PM,15.127,15.008,15.031,14.963,61.920
69,08/21/22 10:00:01 PM,14.984,14.314,14.314,14.427,62.350
70,08/21/22 10:30:01 PM,14.792,13.666,13.209,13.354,66.287
71,08/21/22 11:00:01 PM,14.601,13.088,12.340,12.475,68.818
72,08/21/22 11:30:01 PM,14.385,12.678,12.171,12.368,68.261
73,08/22/22 12:00:01 AM,14.194,12.243,11.005,11.124,72.596
74,08/22/22 12:30:01 AM,13.978,12.001,11.346,11.488,69.575
75,08/22/22 01:00:01 AM,13.762,11.807,10.418,10.545,72.779
76,08/22/22 01:30:01 AM,13.570,11.565,10.051,10.201,72.879
77,08/22/22 02:00:01 AM,13.401,11.127,8.394,8.378,79.939
78,08/22/22 02:30:01 AM,13.233,10.663,7.041,7.134,81.422
79,08/22/22 03:00:01 AM,13.040,10.296,7.116,7.263,82.678
80,08/22/22 03:30:01 AM,12.847,10.026,6.737,6.813,84.402
81,08/22/22 04:00:01 AM,12.654,9.805,6.230,6.469,83.511
82,08/22/22 04:30:01 AM,12.485,9.706,6.560,6.684,83.954
83,08/22/22 05:00:01 AM,12.292,9.657,7.066,7.242,80.696
84,08/22/22 05:30:01 AM,12.147,9.386,6.433,6.534,82.155
85,08/22/22 06:00:01 AM,12.001,9.015,6.357,6.448,81.688
86,08/22/22 06:30:01 AM,11.832,8.866,7.041,7.177,79.174
87,08/22/22 07:00:01 AM,11.686,8.742,6.813,6.984,79.257
88,08/22/22 07:30:01 AM,11.516,8.618,6.788,6.920,79.944
89,08/22/22 08:00:01 AM,11.370,8.668,7.142,7.263,79.454
90,08/22/22 08:30:01 AM,11.248,8.817,9.040,9.129,72.395
91,08/22/22 09:00:01 AM,11.127,9.238,12.437,12.604,62.506
92,08/22/22 09:30:01 AM,11.029,9.854,12.582,12.711,63.716
93,08/22/22 10:00:01 AM,10.980,10.785,13.858,13.955,60.610
94,08/22/22 10:30:01 AM,10.956,11.953,15.175,16.078,53.996
95,08/22/22 11:00:01 AM,11.005,12.461,15.772,16.357,49.638
96,08/22/22 11:30:01 AM,11.127,12.871,15.676,16.271,47.985
97,08/22/22 12:00:01 PM,11.248,13.594,17.177,18.116,42.777
98,08/22/22 12:30:01 PM,11.394,15.223,18.152,19.295,39.324
99,08/22/22 01:00:01 PM,11.589,15.533,20.126,21.311,36.445
100,08/22/22 01:30:01 PM,11.832,18.842,23.352,24.507,33.606
101,08/22/22 02:00:01 PM,12.098,17.843,23.978,24.293,36.692
102,08/22/22 02:30:01 PM,12.437,20.246,23.256,25.944,30.764
103,08/22/22 03:00:01 PM,12.799,21.987,22.729,25.279,33.733
104,08/22/22 03:30:01 PM,13.257,19.579,20.388,21.419,39.530
105,08/22/22 04:00:01 PM,13.642,19.865,23.641,25.236,32.155
106,08/22/22 04:30:01 PM,13.906,18.771,19.817,20.625,40.887
