ID,lat,lon,ele,name,cmt,desc,src
59,69.57075957,-138.892139,8.777587891,CG15HESR1,18-JUL-15 12:54:47PM,18-JUL-15 12:54:47PM,
60,69.57049915,-138.8946931,10.21960449,CG15HESR10,18-JUL-15 1:52:34PM,18-JUL-15 1:52:34PM,
61,69.57045648,-138.8948934,10.45996094,CG15HESR11,18-JUL-15 1:56:32PM,18-JUL-15 1:56:32PM,
62,69.57039823,-138.8949852,12.38269043,CG15HESR12,18-JUL-15 2:01:40PM,18-JUL-15 2:01:40PM,
63,69.57032153,-138.8951539,10.21960449,CG15HESR13,18-JUL-15 2:05:57PM,18-JUL-15 2:05:57PM,
64,69.57030494,-138.8953824,9.739013672,CG15HESR14,18-JUL-15 2:10:10PM,18-JUL-15 2:10:10PM,
65,69.57018499,-138.895526,10.70019531,CG15HESR15,18-JUL-15 2:14:09PM,18-JUL-15 2:14:09PM,
66,69.57016328,-138.8957881,5.653442383,CG15HESR16,18-JUL-15 2:23:24PM,18-JUL-15 2:23:24PM,
67,69.57014694,-138.896057,8.29699707,CG15HESR17,18-JUL-15 2:27:15PM,18-JUL-15 2:27:15PM,
68,69.57008986,-138.8962512,6.134033203,CG15HESR18,18-JUL-15 2:33:54PM,18-JUL-15 2:33:54PM,
69,69.5700632,-138.8964874,7.335693359,CG15HESR19,18-JUL-15 2:48:07PM,18-JUL-15 2:48:07PM,
70,69.57075287,-138.8924143,6.614746094,CG15HESR2,18-JUL-15 1:15:06PM,18-JUL-15 1:15:06PM,
71,69.57001241,-138.8967005,7.095336914,CG15HESR20,18-JUL-15 2:52:26PM,18-JUL-15 2:52:26PM,
72,69.56996572,-138.8969506,6.614746094,CG15HESR21,18-JUL-15 2:57:31PM,18-JUL-15 2:57:31PM,
73,69.56993764,-138.8974338,7.576049805,CG15HESR22,18-JUL-15 3:02:34PM,18-JUL-15 3:02:34PM,
74,69.56984217,-138.8976234,7.576049805,CG15HESR23,18-JUL-15 3:06:55PM,18-JUL-15 3:06:55PM,
75,69.56981929,-138.897886,5.172729492,CG15HESR24,18-JUL-15 3:11:31PM,18-JUL-15 3:11:31PM,
76,69.56978551,-138.8982202,7.335693359,CG15HESR25,18-JUL-15 3:16:38PM,18-JUL-15 3:16:38PM,
77,69.56976858,-138.8985247,6.854980469,CG15HESR26,18-JUL-15 3:20:15PM,18-JUL-15 3:20:15PM,
78,69.56974762,-138.8989443,7.576049805,CG15HESR27,18-JUL-15 3:24:29PM,18-JUL-15 3:24:29PM,
79,69.56969197,-138.8991811,8.777587891,CG15HESR28,18-JUL-15 3:28:42PM,18-JUL-15 3:28:42PM,
80,69.56966138,-138.8993671,7.81640625,CG15HESR29,18-JUL-15 3:32:57PM,18-JUL-15 3:32:57PM,
81,69.57073526,-138.8926219,8.777587891,CG15HESR3,18-JUL-15 1:20:56PM,18-JUL-15 1:20:56PM,
82,69.56966364,-138.8999001,10.94055176,CG15HESR30,18-JUL-15 3:39:35PM,18-JUL-15 3:39:35PM,
83,69.57074474,-138.8928764,9.739013672,CG15HESR4,18-JUL-15 1:25:27PM,18-JUL-15 1:25:27PM,
84,69.5707221,-138.8930748,12.38269043,CG15HESR5,18-JUL-15 1:30:22PM,18-JUL-15 1:30:22PM,
85,69.57062328,-138.8933359,12.6229248,CG15HESR6,18-JUL-15 1:34:51PM,18-JUL-15 1:34:51PM,
86,69.57058263,-138.8936445,10.21960449,CG15HESR7,18-JUL-15 1:39:48PM,18-JUL-15 1:39:48PM,
87,69.57051055,-138.8938656,6.374389648,CG15HESR8,18-JUL-15 1:45:03PM,18-JUL-15 1:45:03PM,
88,69.57054801,-138.8945961,8.777587891,CG15HESR9,18-JUL-15 1:49:07PM,18-JUL-15 1:49:07PM,
90,69.57500501,-138.865447,63.833344,CG2013 SP1,,,
91,69.57098429,-138.898009,4.692138672,CG2013 SR1,15-AUG-09 12:49:31PM,15-AUG-09 12:49:31PM,
92,69.57110516,-138.898086,4.211425781,CG2013 SR2,15-AUG-09 12:51:04PM,15-AUG-09 12:51:04PM,
93,69.57126517,-138.8980741,4.692138672,CG2013 SR3,15-AUG-09 12:52:46PM,15-AUG-09 12:52:46PM,
94,69.57139358,-138.8981428,8.056640625,CG2013 SR4,15-AUG-09 12:54:02PM,15-AUG-09 12:54:02PM,
95,69.57153356,-138.8982118,7.095336914,CG2013 SR5,15-AUG-09 12:55:09PM,15-AUG-09 12:55:09PM,
96,69.5716613,-138.8982837,5.413085938,CG2013 SR6,15-AUG-09 12:56:28PM,15-AUG-09 12:56:28PM,
97,69.57179348,-138.8984073,3.971191406,CG2013 SR7,15-AUG-09 12:57:38PM,15-AUG-09 12:57:38PM,
98,69.57190588,-138.8985598,4.932373047,CG2013 SR8,15-AUG-09 12:58:52PM,15-AUG-09 12:58:52PM,
99,69.57204058,-138.8986174,4.932373047,CG2013 SR9,15-AUG-09 1:00:02PM,15-AUG-09 1:00:02PM,
126,69.57971924,-138.8719114,84.24060059,HE1 SPUL 2013,18-JUL-13 3:42:33PM,18-JUL-13 3:42:33PM,
127,69.57499604,-138.897532,5.297211,HEFSR11,,,
128,69.57509704,-138.897632,1.70348,HEFSR12,,,
129,69.57511196,-138.897337,3.738739,HEFSR14,,,
130,69.57522503,-138.897237,3.916809,HEFSR141,,,
131,69.57485899,-138.897879,2.675378,HEFSR16,,,
132,69.57483896,-138.897303,1.376575,HEFSR17,,,
133,69.57474198,-138.896896,2.626486,HEFSR18,,,
134,69.57538202,-138.897453,36.274929,HEFSR2,,,
135,69.57437703,-138.897418,2.289047,HEFSR21,,,
136,69.57416799,-138.897654,3.545086,HEFSR23,,,
137,69.57405902,-138.897549,2.103409,HEFSR24,,,
138,69.57404302,-138.897338,8.08268,HEFSR25,,,
139,69.57400303,-138.897129,1.576263,HEFSR26,,,
140,69.57395802,-138.897052,5.937634,HEFSR27,,,
141,69.57403304,-138.898146,3.274143,HEFSR28,,,
142,69.57406296,-138.898291,8.620024,HEFSR29,,,
143,69.57531103,-138.8976,35.231087,HEFSR3,,,
144,69.57403597,-138.898734,3.349129,HEFSR30,,,
145,69.57529603,-138.897512,30.70149,HEFSR4,,,
146,69.57526099,-138.897389,22.319386,HEFSR5,,,
147,69.57522503,-138.897381,23.186375,HEFSR6,,,
148,69.57520299,-138.89773,19.26955,HEFSR7,,,
149,69.57526702,-138.898003,21.960047,HEFSR8,,,
150,69.575263,-138.898141,18.761822,HEFSR9,,,
175,69.57745504,-138.913299,60.886555,HERSP1,,,
176,69.57729402,-138.915598,51.306438,HERSP10,,,
177,69.57728304,-138.915637,50.346783,HERSP11,,,
178,69.57727298,-138.915626,49.87291,HERSP12,,,
179,69.57732302,-138.915812,54.340496,HERSP13,,,
180,69.57738203,-138.916089,52.76598,HERSP14,,,
181,69.57733802,-138.916429,51.595467,HERSP15,,,
182,69.57732302,-138.916462,51.011284,HERSP16,,,
183,69.57736703,-138.916489,51.621761,HERSP17,,,
184,69.57740097,-138.916771,51.037079,HERSP18,,,
185,69.577233,-138.916808,48.485348,HERSP19,,,
186,69.57746702,-138.913489,53.040382,HERSP2,,,
