Plot,Shrub,Year,Observer,Notes,Plants_first_visible_through_snow,Snow_Free_Melt_Date,First_snow_free_day,First_snow_return_day_end_of_season,snow_coverge_end_of_season_50,snow_coverage_end_of_season_100,First_leaf_bud_burst,First_yellowing_leaves,Last_leaf_starts_turning_yellow
CG1-2021,PC17Sa1,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,15/08/2021,31/08/2021
CG1-2021,PC16CESa2,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,12/08/2021,26/08/2021
CG1-2021,KP18Sa2,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,11/08/2021,17/08/2021
CG1-2021,H17sa8,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,NA,NA
CG1-2021,HE16SA3,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,14/07/2021,31/07/2021
CG1-2021,H17sa6,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,22/07/2021,08/09/2021
CG1-2021,H17sa10,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,05/08/2021,19/08/2021
CG1-2021,H17SA9,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,25/07/2021,10/08/2021
CG1-2021,PC17Sa1,2022,JS,Camera knocked downwards at some point during winter; no plants visible in viewshed during spring. No more data from April 2022 onwards... why?,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1-2021,PC16CESa2,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1-2021,KP18Sa2,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1-2021,H17sa8,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1-2021,HE16SA3,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1-2021,H17sa6,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1-2021,H17sa10,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1-2021,H17SA9,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1-2021,"PC17Sa1",2023,JS,"JS: Others from 2021 not visible, camera too upwards",29/04/2023,30/04/2023,01/05/2023,NA,NA,NA,11/05/2023,03/08/2023,19/08/2023
CG1-2021,"KP18Sa2",2023,JS,"JS: Others from 2021 not visible, camera too upwards",30/04/2023,30/04/2023,01/05/2023,NA,NA,NA,17/05/2023,26/07/2023,19/08/2023
CG1-2021,PC16CESa2,2023,JS,"JS: Others from 2021 not visible, camera too upwards",30/04/2023,30/04/2023,01/05/2023,NA,NA,NA,NA,23/07/2023,20/08/2023
CG1-2021,H17sa8,2023,JS,"JS: Others from 2021 not visible, camera too upwards",29/04/2023,30/04/2023,01/05/2023,NA,NA,NA,13/05/2023,01/07/2021,29/07/2023
CG2-2021,H17Sr9,2021,JS,,NA,NA,NA,03/10/2021,NA,03/10/2021,NA,29/06/2021,27/07/2021
CG2-2021,H17Sr9,2022,JS,,23/04/2022,24/04/2022,24/04/2022,27/09/2022,NA,13/10/2022,06/05/2022,19/06/2022,12/08/2022
CG2-2021,H17Sr9,2023,MA,,01/05/2023,01/05/2023,01/05/2023,NA,NA,NA,NA,05/07/2023,28/07/2023
CG3-2021,H15Sa14,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,18/07/2021,NA
CG3-2021,H17Sa20,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,11/07/2021,15/8/221
CG3-2021,K15PSa8,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,31/07/2021,30/08/2021
CG3-2021,H15Sa7,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,05/07/2021,28/07/2021
CG3-2021,K15PSa7,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,27/06/2021,11/08/2021
CG3-2021,K15PSa2,2021,JS,Hard to distinguish as there is a weed in front,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,NA
CG3-2021,H17sa17,2021,JS,"Hard to distinguish, too far and too small",NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,NA
CG3-2021,KP17SA9,2021,JS,"Hard to distinguish, too far and too small",NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,NA
CG3-2021,K15PSa6,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,30/07/2021,NA
CG3-2021,H15Sa12,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,07/07/2021,05/08/2021
CG3-2021,K15PSa12,2021,JS,"Plant only partly in the focus, not possible to identify",NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,NA
CG3-2021,H15Sa14,2022,JS,,07/04/2022,24/04/2022,25/04/2022,26/09/2022,26/09/2022,26/09/2022,09/05/2022,15/07/2022,NA
CG3-2021,H17Sa20,2022,JS,,07/04/2022,24/04/2022,25/04/2022,26/09/2022,26/09/2022,26/09/2022,12/05/2022,01/07/2022,10/08/2022
CG3-2021,K15PSa8,2022,JS,,07/04/2022,24/04/2022,25/04/2022,26/09/2022,26/09/2022,26/09/2022,18/05/2022,01/08/2022,23/08/2022
CG3-2021,H15Sa7,2022,JS,,07/04/2022,24/04/2022,25/04/2022,26/09/2022,26/09/2022,26/09/2022,09/05/2022,17/07/2022,18/08/2022
CG3-2021,K15PSa7,2022,JS,,07/04/2022,24/04/2022,25/04/2022,26/09/2022,26/09/2022,26/09/2022,13/05/2022,16/07/2022,20/08/2023
CG3-2021,K15PSa2,2022,JS,,07/04/2022,24/04/2022,25/04/2022,26/09/2022,26/09/2022,26/09/2022,19/05/2022,14/08/2022,NA
CG3-2021,H17sa17,2022,JS,"Hard to distinguish, too far and too small",07/04/2022,24/04/2022,25/04/2022,26/09/2022,26/09/2022,26/09/2022,NA,NA,NA
CG3-2021,KP17SA9,2022,JS,,07/04/2022,24/04/2022,25/04/2022,26/09/2022,26/09/2022,26/09/2022,20/05/2022,06/08/2022,NA
CG3-2021,K15PSa6,2022,JS,,07/04/2022,24/04/2022,25/04/2022,26/09/2022,26/09/2022,26/09/2022,18/05/2022,30/07/2022,24/08/2022
CG3-2021,H15Sa12,2022,JS,,07/04/2022,24/04/2022,25/04/2022,26/09/2022,26/09/2022,26/09/2022,09/05/2022,21/06/2022,11/08/2022
