"","Species","PhenocamID","Year","All_snow_free_DOY","First_bud_burst_DOY","First_leaf_yellow_DOY","All_leaves_yellow_DOY","population","Site","Snow_Free_Melt_Date","First_snow_free_day","First_snow_return_day_end_of_season","First_bud_burst","First_leaf_yellow","All_leaves_yellow","Snow_melt_DOY","Snow_return_EoS_DOY","growing_season","snow_free_days"
"1","Salix arctica","F1",2023,153,165,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Salix arctica","M1",2023,153,159,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Salix arctica","F2",2023,153,165,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Salix arctica","M2",2023,153,165,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Salix arctica","F3",2023,153,180,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Salix arctica","M3",2023,153,165,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Salix arctica","F4",2023,156,165,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Salix arctica","M4",2023,153,163,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Salix arctica","F5",2023,156,165,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Salix arctica","M5",2023,156,163,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Salix arctica","F6",2023,153,163,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Salix arctica","M6",2023,156,165,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Salix arctica","F7",2023,156,165,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Salix arctica","M7",2023,156,165,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Salix arctica","F8",2023,156,163,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Salix arctica","M8",2023,153,163,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Salix arctica","F9",2023,153,163,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Salix arctica","M9",2023,153,163,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Salix arctica","F10",2023,153,165,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Salix arctica","M10",2023,153,165,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Salix arctica","F1",2022,131,162,197,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
"22","Salix arctica","M1",2022,131,162,194,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
"23","Salix arctica","F2",2022,146,162,194,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
