"","PhenocamID","Year","Snow_Free_Melt_Date","First_snow_free_day","First_snow_return_day_end_of_season","snow_coverage_end_of_season_100","First_bud_burst","First_leaf_yellow","All_leaves_yellow","SampleID_standard","Species","population","Snow_melt_DOY","All_snow_free_DOY","Snow_return_EoS_DOY","First_bud_burst_DOY","First_leaf_yellow_DOY","All_leaves_yellow_DOY","growing_season","snow_free_days"
"1","CG1-2021",2021,NA,NA,2021-09-27,"10/10/2021",NA,2021-08-15,2021-08-31,"PC17SA1","Salix arctica","Southern Garden",NA,NA,270,NA,227,243,NA,NA
"2","CG1-2021",2021,NA,NA,2021-09-27,"10/10/2021",NA,2021-08-12,2021-08-26,"PC16CESA2","Salix arctica","Southern Garden",NA,NA,270,NA,224,238,NA,NA
"3","CG1-2021",2021,NA,NA,2021-09-27,"10/10/2021",NA,2021-08-11,2021-08-17,"KP18SA2","Salix arctica","Southern Garden",NA,NA,270,NA,223,229,NA,NA
"4","CG1-2021",2021,NA,NA,2021-09-27,"10/10/2021",NA,NA,NA,"H17SA8","Salix arctica","Northern Garden",NA,NA,270,NA,NA,NA,NA,NA
"5","CG1-2021",2021,NA,NA,2021-09-27,"10/10/2021",NA,2021-07-14,2021-07-31,"HE16SA3","Salix arctica","Northern Garden",NA,NA,270,NA,195,212,NA,NA
"6","CG1-2021",2021,NA,NA,2021-09-27,"10/10/2021",NA,2021-07-22,2021-09-08,"H17SA6","Salix arctica","Northern Garden",NA,NA,270,NA,203,251,NA,NA
"7","CG1-2021",2021,NA,NA,2021-09-27,"10/10/2021",NA,2021-08-05,2021-08-19,"H17SA10","Salix arctica","Northern Garden",NA,NA,270,NA,217,231,NA,NA
"8","CG1-2021",2021,NA,NA,2021-09-27,"10/10/2021",NA,2021-07-25,2021-08-10,"H17SA9","Salix arctica","Northern Garden",NA,NA,270,NA,206,222,NA,NA
"9","CG1-2021",2022,NA,NA,NA,NA,NA,NA,NA,"PC17SA1","Salix arctica","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"10","CG1-2021",2022,NA,NA,NA,NA,NA,NA,NA,"PC16CESA2","Salix arctica","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"11","CG1-2021",2022,NA,NA,NA,NA,NA,NA,NA,"KP18SA2","Salix arctica","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"12","CG1-2021",2022,NA,NA,NA,NA,NA,NA,NA,"H17SA8","Salix arctica","Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"13","CG1-2021",2022,NA,NA,NA,NA,NA,NA,NA,"HE16SA3","Salix arctica","Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"14","CG1-2021",2022,NA,NA,NA,NA,NA,NA,NA,"H17SA6","Salix arctica","Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"15","CG1-2021",2022,NA,NA,NA,NA,NA,NA,NA,"H17SA10","Salix arctica","Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"16","CG1-2021",2022,NA,NA,NA,NA,NA,NA,NA,"H17SA9","Salix arctica","Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"17","CG1-2021",2023,2023-04-30,2023-05-01,NA,NA,2023-05-11,2023-08-03,2023-08-19,"PC17SA1
","Salix arctica","Southern Garden",120,121,NA,131,215,231,84,NA
"18","CG1-2021",2023,2023-04-30,2023-05-01,NA,NA,2023-05-17,2023-07-26,2023-08-19,"KP18SA2
","Salix arctica","Southern Garden",120,121,NA,137,207,231,70,NA
"19","CG1-2021",2023,2023-04-30,2023-05-01,NA,NA,NA,2023-07-23,2023-08-20,"PC16CESA2","Salix arctica","Southern Garden",120,121,NA,NA,204,232,NA,NA
"20","CG1-2021",2023,2023-04-30,2023-05-01,NA,NA,2023-05-13,2021-07-01,2023-07-29,"H17SA8","Salix arctica","Northern Garden",120,121,NA,133,182,210,49,NA
"21","CG2-2021",2021,NA,NA,2021-10-03,"03/10/2021",NA,2021-06-29,2021-07-27,"H17SR9","Salix richardsonii","Northern Garden",NA,NA,276,NA,180,208,NA,NA
