"","PhenocamID","Year","plant_first_vis","Snow_melt","All_snow_free","Snow_return_EoS","Half_snow_cover_EoS","Full_snow_cover_EoS","First_leaf_bud_burst","Half_leaves_green","All_leaves_green","First_leaf_yellow","Half_leaves_yellow","All_leaves_yellow","Species","Salix_bud_burst","Salix_first_yellow","Salix_last_yellow","Snow_melt_DOY","All_snow_free_DOY","Snow_return_EoS_DOY","First_leaf_bud_burst_DOY","Half_leaves_green_DOY","All_leaves_green_DOY","First_leaf_yellow_DOY","Half_leaves_yellow_DOY","All_leaves_yellow_DOY","Salix_first_bud_burst_DOY","Salix_first_yellow_DOY","Half_snow_cover_EoS_DOY","Full_snow_cover_EoS_DOY","Salix_last_yellow_DOY","growing_season","population","...1","...2","Plot","Viewshed","NOTES","First_greening","Greening_notes","Salixbud_burst_DOY","First_greening_DOY","ShrubID_Standard","Plants_first_visible_through_snow","Last_leaves_yellow","Plants_first_visible_through_snow_DOY","Last_leaves_yellow_DOY"
"1","QHI_1",2019,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-04,2019-07-16,NA,NA,"Salix arctica",NA,2019-07-25,NA,NA,NA,NA,NA,NA,185,197,NA,NA,NA,206,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","QHI_2",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-24,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,NA,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","QHI_14",2019,NA,NA,NA,NA,NA,NA,2019-06-14,NA,2019-07-03,2019-07-27,NA,NA,"Salix richardsonii",NA,NA,NA,NA,NA,NA,165,NA,184,208,NA,NA,NA,NA,NA,NA,NA,43,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","QHI_1",2018,2018-06-03,2018-06-07,2018-06-11,NA,NA,NA,NA,2018-06-29,2018-07-12,NA,NA,NA,"Salix arctica",2018-06-24,NA,NA,158,162,NA,NA,180,193,NA,NA,NA,175,NA,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","QHI_2",2018,NA,NA,NA,NA,NA,NA,2018-06-16,2018-06-28,2018-07-08,2018-08-03,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,NA,167,179,189,215,NA,NA,NA,NA,NA,NA,NA,48,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","QHI_3",2018,2018-06-04,2018-06-12,2018-06-14,NA,NA,NA,2018-06-17,2018-07-02,2019-07-19,2018-08-01,NA,NA,"Salix pulchra",2018-06-25,NA,NA,163,165,NA,168,183,200,213,NA,NA,176,NA,NA,NA,NA,45,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","QHI_14",2018,NA,2018-07-02,NA,2018-08-30,2018-10-07,NA,2018-06-24,2018-07-01,NA,NA,2018-08-24,2018-09-18,"Salix richardsonii",2018-06-26,NA,NA,183,NA,242,175,182,NA,NA,236,261,177,NA,280,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","QHI_5",2018,NA,NA,NA,NA,NA,NA,2018-06-16,2018-07-02,2018-07-12,NA,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,NA,167,183,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","QHI_6",2018,2018-06-02,2018-06-12,2018-06-14,2018-09-02,2018-10-04,2018-10-11,2018-06-15,2018-07-18,2018-07-09,NA,2018-09-02,2018-09-22,"Salix pulchra",2018-06-24,2018-08-16,2018-09-11,163,165,245,166,199,190,NA,245,265,175,228,277,284,254,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","QHI_1",2017,NA,2017-05-27,2017-05-30,NA,NA,NA,2017-06-13,2017-06-21,2017-07-05,2017-08-01,2017-08-20,NA,"Salix arctica",2017-06-17,2017-07-30,2017-09-04,147,150,NA,164,172,186,213,232,NA,168,211,NA,NA,247,49,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
