"","PhenocamID","Year","Species","First_bud_burst","First_leaf_yellow","All_leaves_yellow","First_bud_burst_DOY","First_leaf_yellow_DOY","All_leaves_yellow_DOY","population"
"1","QHI_1",2019,"Salix arctica",NA,2019-07-25,NA,NA,206,NA,"Northern Source"
"2","QHI_2",2019,"Salix arctica",NA,NA,NA,NA,NA,NA,"Northern Source"
"3","QHI_14",2019,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Northern Source"
"4","QHI_1",2018,"Salix arctica",2018-06-24,NA,NA,175,NA,NA,"Northern Source"
"5","QHI_2",2018,"Salix arctica",NA,NA,NA,NA,NA,NA,"Northern Source"
"6","QHI_3",2018,"Salix pulchra",2018-06-25,NA,NA,176,NA,NA,"Northern Source"
"7","QHI_14",2018,"Salix richardsonii",2018-06-26,NA,NA,177,NA,NA,"Northern Source"
"8","QHI_5",2018,"Salix arctica",NA,NA,NA,NA,NA,NA,"Northern Source"
"9","QHI_6",2018,"Salix pulchra",2018-06-24,2018-08-16,2018-09-11,175,228,254,"Northern Source"
"10","QHI_1",2017,"Salix arctica",2017-06-17,2017-07-30,2017-09-04,168,211,247,"Northern Source"
"11","QHI_2",2017,"Salix arctica",2017-06-11,2017-08-09,NA,162,221,NA,"Northern Source"
"12","QHI_3",2017,"Salix pulchra",2017-06-18,2017-08-09,2017-09-03,169,221,246,"Northern Source"
"13","QHI_14",2017,"Salix richardsonii",NA,2017-08-05,NA,NA,217,NA,"Northern Source"
"14","QHI_5",2017,"Salix arctica",2017-06-16,2017-08-09,NA,167,221,NA,"Northern Source"
"15","QHI_6",2017,"Salix pulchra",2017-06-10,2017-07-26,2017-08-24,161,207,236,"Northern Source"
"16","QHI_1",2016,"Salix arctica",NA,2016-07-29,NA,NA,211,NA,"Northern Source"
"17","QHI_2",2016,"Salix arctica",NA,2016-07-29,NA,NA,211,NA,"Northern Source"
"18","QHI_3",2016,"Salix pulchra",NA,NA,NA,NA,NA,NA,"Northern Source"
"19","QHI_14",2016,"Salix richardsonii",NA,NA,2016-08-28,NA,NA,241,"Northern Source"
"20","QHI_5",2016,"Salix arctica",NA,2016-07-29,2016-08-26,NA,211,239,"Northern Source"
"21","QHI_6",2016,"Salix pulchra",NA,NA,2022-08-27,NA,NA,239,"Northern Source"
"22","QHI_1",2022,"Salix arctica",NA,2022-07-01,NA,NA,182,NA,"Northern Source"
"23","QHI_2",2022,"Salix arctica",NA,2022-07-01,NA,NA,182,NA,"Northern Source"
"24","QHI_3",2022,"Salix pulchra",NA,2022-07-01,NA,NA,182,NA,"Northern Source"
"25","QHI_4",2022,"Salix richardsonii",NA,2022-07-01,NA,NA,182,NA,"Northern Source"
"26","QHI_5",2022,"Salix arctica",NA,2022-07-31,NA,NA,212,NA,"Northern Source"
"27","QHI_6",2022,"Salix pulchra",NA,2022-07-20,NA,NA,201,NA,"Northern Source"
"28","QHI_7",2022,"Salix richardsonii",NA,2022-07-28,NA,NA,209,NA,"Northern Source"
"29","QHI_9",2022,"Salix richardsonii",NA,2022-07-22,NA,NA,203,NA,"Northern Source"
"30","QHI_10",2022,"Salix arctica",NA,2022-07-26,NA,NA,207,NA,"Northern Source"
"31","QHI_11",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Northern Source"
"32","QHI_12",2022,"Salix pulchra",NA,2022-07-27,NA,NA,208,NA,"Northern Source"
"33","QHI_13",2022,"Salix arctica",NA,2022-08-03,NA,NA,215,NA,"Northern Source"
"34","QHI_14",2022,"Salix richardsonii",NA,2022-07-29,NA,NA,210,NA,"Northern Source"
"35","QHI_15",2022,"Salix pulchra",NA,2022-08-03,NA,NA,215,NA,"Northern Source"
"36","QHI_18",2022,"Salix arctica",NA,2022-07-27,NA,NA,208,NA,"Northern Source"
"37","QHI_19",2022,"Salix arctica",NA,2022-07-31,NA,NA,212,NA,"Northern Source"
"38","QHI_20",2022,"Salix arctica",NA,NA,NA,NA,NA,NA,"Northern Source"
"39","CG1-2021",2021,"Salix arctica",NA,2021-08-15,2021-08-31,NA,227,243,"Southern Garden"
"40","CG1-2021",2021,"Salix arctica",NA,2021-08-12,2021-08-26,NA,224,238,"Southern Garden"
"41","CG1-2021",2021,"Salix arctica",NA,2021-08-11,2021-08-17,NA,223,229,"Southern Garden"
"42","CG1-2021",2021,"Salix arctica",NA,NA,NA,NA,NA,NA,"Northern Garden"
"43","CG1-2021",2021,"Salix arctica",NA,2021-07-14,2021-07-31,NA,195,212,"Northern Garden"
"44","CG1-2021",2021,"Salix arctica",NA,2021-07-22,2021-08-09,NA,203,221,"Northern Garden"
"45","CG1-2021",2021,"Salix arctica",NA,2021-08-05,2021-08-19,NA,217,231,"Northern Garden"
"46","CG1-2021",2021,"Salix arctica",NA,2021-07-25,2021-08-10,NA,206,222,"Northern Garden"
"47","CG1-2021",2022,"Salix arctica",NA,NA,NA,NA,NA,NA,"Southern Garden"
"48","CG1-2021",2022,"Salix arctica",NA,NA,NA,NA,NA,NA,"Southern Garden"
"49","CG1-2021",2022,"Salix arctica",NA,NA,NA,NA,NA,NA,"Southern Garden"
"50","CG1-2021",2022,"Salix arctica",NA,NA,NA,NA,NA,NA,"Northern Garden"
"51","CG1-2021",2022,"Salix arctica",NA,NA,NA,NA,NA,NA,"Northern Garden"
"52","CG1-2021",2022,"Salix arctica",NA,NA,NA,NA,NA,NA,"Northern Garden"
"53","CG1-2021",2022,"Salix arctica",NA,NA,NA,NA,NA,NA,"Northern Garden"
"54","CG1-2021",2022,"Salix arctica",NA,NA,NA,NA,NA,NA,"Northern Garden"
"55","CG2-2021",2021,"Salix richardsonii",NA,2021-06-29,2021-07-27,NA,180,208,"Northern Garden"
"56","CG2-2021",2022,"Salix richardsonii",2022-05-06,2022-06-19,2022-08-12,126,170,224,"Northern Garden"
"57","CG3-2021",2021,"Salix arctica",NA,2021-07-18,NA,NA,199,NA,"Northern Garden"
