PLOT,Year,Site,Observer,NOTES,plant_first_vis,spring_90snowfree,first_100snowfree,first_snowreturn,autumn_50snow,autumn_100snow,bud_burst,green50,green100,first_yellow,yellow50,yellow100
QHI_1,2019,QHI,Elise Gallois,Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1,NA,NA,NA,NA,NA,NA,NA,NA,04/07/2019,16/07/2019,NA,NA
QHI_2,2019,QHI,Elise Gallois,Limited selection (4th-12th August)- no phenophases can be noted,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/07/2019,NA,NA
QHI_3,2019,QHI,Elise Gallois,,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/07/2019,NA,NA
QHI_6,2019,QHI,,,NA,NA,NA,NA,NA,NA,NA,NA,02/07/2019,28/07/2019,NA,NA
QHI_14,2019,QHI,Elise Gallois,"Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug - no phenophases can be noted",NA,NA,NA,NA,NA,NA,14/06/2019,NA,03/07/2019,27/07/2019,NA,NA
QHI_1,2018,QHI,Elise Gallois,,03/06/2018,07/06/2018,11/06/2018,NA,NA,NA,18/16/2018,29/06/2018,12/07/2018,NA,NA,NA
QHI_2,2018,QHI,Elise Gallois,"Gap 15th-21st July, ends 9th August",NA,NA,NA,NA,NA,NA,16/06/2018,28/06/2018,08/07/2018,03/08/2018,NA,NA
QHI_3,2018,QHI,Elise Gallois,Ends 8th Aug - lots of senescence phenophases hadn't happened yet,04/06/2018,12/06/2018,14/06/2018,NA,NA,NA,17/06/2018,02/07/2018,19/07/2019,01/08/2018,NA,NA
QHI_14,2018,QHI,Elise Gallois,Very limited selection - 12 Jun to 11 July,NA,02/07/2018,NA,30/08/2018,07/10/2018,NA,24/06/2018,01/07/2018,NA,NA,24/08/2018,18/09/2018
QHI_5,2018,QHI,Elise Gallois,,NA,NA,NA,NA,NA,NA,16/06/2018,02/07/2018,12/07/2018,NA,NA,NA
QHI_6,2018,QHI,Elise Gallois,Big gap between 5th July and 12th August,02/06/2018,12/06/2018,14/06/2018,02/09/2018,04/10/2018,11/10/2018,15/06/2018,18/07/2018,09/07/2018,NA,02/09/2018,22/09/2018
