Year,PhenocamID,Species,Snow_melt,All_snow_free,Snow_return_EoS,Half_snow_cover_EoS,Full_snow_cover_EoS,Salix_bud_burst,Salix_first_yellow,Salix_last_yellow
2022,1,Salix arctica,NA,NA,NA,NA,NA,NA,22/07/2022,NA
2022,2,Salix arctica,NA,NA,NA,NA,NA,NA,26/07/2022,NA
2022,3,Salix pulchra,NA,NA,NA,NA,NA,NA,23/07/2022,NA
2022,4,Salix richardsonii,NA,NA,NA,NA,NA,NA,26/07/2022,NA
2022,5,Salix arctica,NA,NA,NA,NA,NA,NA,31/07/2022,NA
2022,6,Salix pulchra,NA,NA,NA,NA,NA,NA,20/07/2022,NA
2022,7,Salix richardsonii,NA,NA,NA,NA,NA,NA,28/07/2022,NA
2022,9,Salix richardsonii,NA,NA,NA,NA,NA,NA,22/07/2022,NA
2022,10,Salix arctica,NA,NA,NA,NA,NA,NA,26/07/2022,NA
2022,12,Salix pulchra,NA,NA,NA,NA,NA,NA,27/07/2022,NA
2022,13,Salix arctica,NA,NA,NA,NA,NA,NA,03/08/2022,NA
2022,14,Salix richardsonii,NA,NA,NA,NA,NA,NA,29/07/2022,NA
2022,15,Salix pulchra,NA,NA,NA,NA,NA,NA,03/08/2022,NA
2022,18,Salix arctica,NA,NA,NA,NA,NA,NA,27/07/2022,NA
2022,19,Salix arctica,NA,NA,NA,NA,NA,NA,31/07/2022,NA
2022,20,Salix arctica,NA,NA,NA,NA,NA,NA,NA,NA
2019,1,Salix arctica,NA,NA,NA,NA,NA,NA,25/07/2019,NA
2019,2,Salix arctica,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,Salix arctica,07/06/2018,11/06/2018,NA,NA,NA,24/06/2018,NA,NA
2018,2,Salix arctica,NA,NA,NA,NA,NA,NA,NA,NA
2018,3,Salix pulchra,NA,NA,NA,NA,NA,25/06/2018,NA,NA
2018,5,Salix arctica,NA,NA,NA,NA,NA,NA,NA,NA
2018,6,Salix pulchra,12/06/2018,14/06/2018,02/09/2018,04/10/2018,11/10/2018,24/06/2018,16/08/2018,11/09/2018
2017,1,Salix arctica,27/05/2017,30/05/2017,NA,NA,NA,17/06/2017,30/07/2017,04/09/2017
2017,2,Salix arctica,NA,NA,NA,NA,NA,11/06/2017,09/08/2017,NA
2017,3,Salix pulchra,16/05/2017,19/05/2017,NA,NA,NA,18/06/2017,09/08/2017,03/09/2017
2017,5,Salix arctica,15/05/2017,28/05/2017,NA,NA,NA,16/06/2017,09/08/2017,NA
2017,6,Salix pulchra,17/05/2017,19/05/2017,NA,NA,NA,10/06/2017,26/07/2017,24/08/2017
2016,1,Salix arctica,NA,NA,NA,NA,NA,NA,29/07/2016,NA
2016,2,Salix arctica,NA,NA,NA,NA,NA,NA,29/07/2016,NA
2016,3,Salix pulchra,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,Salix arctica,NA,NA,NA,NA,NA,NA,29/07/2016,26/08/2016
2016,6,Salix pulchra,NA,NA,NA,NA,NA,NA,NA,27/08/2016
