"","Species","plant_tag_id","sample_id","date_sampled","site_id","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","number_leaves","Site","year","DOY","total_leaf_dry_mass_mg","LDMC_g_g","Plant_height_veg_m","Plant_height_repro_m","Seed_mass_dry_mg","Wood_density_mg_mm3","Species_sex","Lat","Lon","Elevation_m","date","Data_contributor","Data_coPIs","ValueKindName","MONTH"
"1","Salix pulchra","KP5-2021-SAPU",105500231,"2021-06-25","KP_mid",19.5752895752896,51.0848126232742,27.2918861959958,0.0136094674556213,0.988,5070,0.949,12,"Kluane","2021","176",259,0.262145748987854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Salix richardsonii","KP5-2021-SARI",105500938,"2021-06-25","KP_mid",18.6760416666667,53.5445367839813,26.5376641326883,0.0148223548441073,1.555,7171.6,1.447,12,"Kluane","2021","176",384,0.246945337620579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Salix richardsonii","KP3-2021-SARI",105501123,"2021-06-25","KP_mid",23.9904929577465,41.6831784891316,22.2048475371384,0.0146037896467204,1.32,6813.3,1.279,12,"Kluane","2021","176",284,0.215151515151515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Salix pulchra","KP3-2021-SAPU",105501233,"2021-06-25","KP_mid",20.7248322147651,48.2512953367876,24.7097844112769,0.0147020725388601,0.614,3088,0.603,12,"Kluane","2021","176",149,0.242671009771987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Salix pulchra","KP9-2021-SAPU",105501373,"2021-06-25","KP_mid",22.5017699115044,44.4409485979471,25.0554323725055,0.0132929563062886,0.454,2542.7,0.451,12,"Kluane","2021","176",113,0.248898678414097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Salix richardsonii","KP9-2021-SARI",105501502,"2021-06-25","KP_mid",20.146394984326,49.6366720089626,24.0573152337858,0.0156690058661522,1.386,6426.7,1.326,12,"Kluane","2021","176",319,0.23015873015873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Salix richardsonii","KP7-2021-SARI-2",105510746,"2021-06-25","KP_low",23.3665369649805,42.7962432558449,20.5929487179487,0.0165023646173316,1.272,6005.2,1.248,12,"Kluane","2021","176",257,0.202044025157233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Salix pulchra","KP2-2021-SAPU",105510871,"2021-06-25","KP_low",17.4877022653722,57.1830412495142,29.4005708848716,0.0137313322353202,1.086,5403.7,1.051,12,"Kluane","2021","176",309,0.284530386740332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Salix richardsonii","KP2-2021-SARI",105510983,"2021-06-25","KP_low",18.5632323232323,53.8699286087411,26.0526315789474,0.0152903534737942,2.097,9188.8,1.9,12,"Kluane","2021","176",495,0.236051502145923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Salix pulchra","KP1-2021-SAPU-1",105516629,"2021-06-25","KP_low",19.903488372093,50.2424490272828,28.1505728314239,0.0128235087924286,0.625,3423.4,0.611,12,"Kluane","2021","176",172,0.2752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Salix pulchra","KP1-2021-SAPU-2",105516733,"2021-06-25","KP_low",20.9542857142857,47.7229342787019,23.3022636484687,0.0157076629397328,0.77,3667,0.751,12,"Kluane","2021","176",175,0.227272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Salix richardsonii","KP7-2021-SARI-1",105516878,"2021-06-25","KP_low",20.4673796791444,48.8582327428542,23.0012300123001,0.0163557506401212,1.672,7654.8,1.626,12,"Kluane","2021","176",374,0.223684210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Salix pulchra","KP4-2021-SAPU",105523122,"2021-06-25","KP_high",21.4986577181208,46.5145318889895,24.1100323624595,0.0146411513127088,0.654,3203.3,0.618,12,"Kluane","2021","176",149,0.22782874617737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Salix richardsonii","KP8-2021-SARI-2",105523254,"2021-06-25","KP_high",22.7507853403141,43.9545266258572,21.1986681465039,0.0163391172274129,0.917,4345.4,0.901,12,"Kluane","2021","176",191,0.208287895310796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Salix richardsonii","KP8-2021-SARI-1",105523386,"2021-06-25","KP_high",20.5364016736402,48.6940222484821,22.2325581395349,0.0170327207530256,1.119,4908.2,1.075,12,"Kluane","2021","176",239,0.213583556747096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Salix richardsonii","KP4-2021-SARI",105523539,"2021-06-25","KP_high",20.5741525423729,48.6046751106992,22.3062381852552,0.0169292554834724,1.07,4855.5,1.058,12,"Kluane","2021","176",236,0.220560747663551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Salix richardsonii","KP6-2021-SARI-2",105523668,"2021-06-25","KP_high",20.8785714285714,47.8959972630859,21.7898832684825,0.0171912418747862,1.04,4676.8,1.028,12,"Kluane","2021","176",224,0.215384615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Salix richardsonii","KP6-2021-SARI-1",105523789,"2021-06-25","KP_high",20.6335714285714,48.4647073077855,21.3740458015267,0.0178280887596497,1.342,5777.4,1.31,12,"Kluane","2021","176",280,0.208643815201192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Salix arctica","KP-ALP-SAAR1",106364431,"2021-07-05","KP_alpine",16.2395973154362,61.5778815555647,27.115559599636,0.0165516386328884,1.165,4839.4,1.099,12,"Kluane","2021","186",298,0.255793991416309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Salix richardsonii","KP-ALP-SARI1",106364470,"2021-07-05","KP_alpine",23.5374193548387,42.485541210975,24.3328100470958,0.0132116328152838,0.693,3648.3,0.637,12,"Kluane","2021","186",155,0.223665223665224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Salix arctica","KP-ALP-SAAR2",106364506,"2021-07-05","KP_alpine",18.1751322751323,55.0202323076475,23.4782608695652,0.0179325201595296,0.829,3435.1,0.805,12,"Kluane","2021","186",189,0.227985524728589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Salix richardsonii","KP-ALP-SARI2",106364529,"2021-07-05","KP_alpine",20.4802955665025,48.8274203247144,24.7259439707674,0.0148647023451593,0.887,4157.5,0.821,12,"Kluane","2021","186",203,0.228861330326945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
