"","SampleID","Match","SampleSite","SampleDate","Date_propagated","Date_planted","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Mother_LS","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","biovolume","Site","SampleYear","mean_stem_elong","mean_leaf_length","mean_width","SampleID_standard"
"1","KP17SP1","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,84,113,123,33,59,62,61,51,97,86,37.8,9.9,1167516,"Kluane",2017,78,60.6666666666667,118,"KP17SP1"
"2","KP17SP3","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,49,55,42,12,53,59,55,59,59,45,38.9,10.15,113190,"Kluane",2017,54.3333333333333,55.6666666666667,48.5,"KP17SP3"
"3","KP17SP4","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,54,184,202,15,56,61,55,48,22,45,42.7,15.18,2007072,"Kluane",2017,38.3333333333333,57.3333333333333,193,"KP17SP4"
"4","KP17SP5","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,68,115,84,20,56,56,56,90,58,102,32.7,10.6,656880,"Kluane",2017,83.3333333333333,56,99.5,"KP17SP5"
"5","KP17SR1","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,108,233,182,55,61,55,55,68,52,66,36.3,22.49,4579848,"Kluane",2017,62,57,207.5,"KP17SR1"
"6","KP17SR3","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,44,113,115,21,52,44,44,51,62,89,34.1,13.24,571780,"Kluane",2017,67.3333333333333,46.6666666666667,114,"KP17SR3"
"7","KP17SR5","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,106,182,154,45,45,47,51,57,71,82,39.7,12.87,2970968,"Kluane",2017,70,47.6666666666667,168,"KP17SR5"
"8","KP17SA1","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,4.8,16,16,4,NA,NA,NA,NA,NA,NA,19,7.67,1228.8,"Kluane",2017,NA,NA,16,"KP17SA1"
"9","KP17SA2","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,5,35,41,3,NA,NA,NA,NA,NA,NA,17.6,6.85,7175,"Kluane",2017,NA,NA,38,"KP17SA2"
"10","KP17SA3","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,3,28,19,10,NA,NA,NA,NA,NA,NA,12.1,7.66,1596,"Kluane",2017,NA,NA,23.5,"KP17SA3"
"11","KP17SA4","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,5,57,42,11,NA,NA,NA,NA,NA,NA,14.9,8.47,11970,"Kluane",2017,NA,NA,49.5,"KP17SA4"
"12","KP17SA5","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,5,29,25,8,NA,NA,NA,NA,NA,NA,16.4,12,3625,"Kluane",2017,NA,NA,27,"KP17SA5"
"13","KP17SA6","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,10,23,11,10,NA,NA,NA,NA,NA,NA,9.7,16.45,2530,"Kluane",2017,NA,NA,17,"KP17SA6"
"14","KP17SA7","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,4,45,32,45,NA,NA,NA,NA,NA,NA,14.8,7.71,5760,"Kluane",2017,NA,NA,38.5,"KP17SA7"
"15","KP17SA8","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,6,61,27,9,NA,NA,NA,NA,NA,NA,17.4,6.42,9882,"Kluane",2017,NA,NA,44,"KP17SA8"
"16","KP17SA9","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,4,45,43,8,NA,NA,NA,NA,NA,NA,13,9.07,7740,"Kluane",2017,NA,NA,44,"KP17SA9"
"17","KP17SA10","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,5,44,47,10,NA,NA,NA,NA,NA,NA,12.7,9.9,10340,"Kluane",2017,NA,NA,45.5,"KP17SA10"
"18","PC17SR1","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,38.8,47,24,20.3,49,40,41,75,70,60,32.4,12.2,43766.4,"Kluane",2017,68.3333333333333,43.3333333333333,35.5,"PC17SR1"
"19","PC17SR3","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,55,68,69,10.7,45,44,51,45,38,61,38.2,8.4,258060,"Kluane",2017,48,46.6666666666667,68.5,"PC17SR3"
"20","PC17SR4","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,31,45,36,9.4,42,38,41,48,32,33,35.5,11.1,50220,"Kluane",2017,37.6666666666667,40.3333333333333,40.5,"PC17SR4"
"21","PC17SR5","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,66,112,96,47.5,54,46,56,37,39,50,33.8,11.8,709632,"Kluane",2017,42,52,104,"PC17SR5"
"22","PC17SR6","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,56,128,52,25.6,52,52,46,65,60,70,28.3,12.1,372736,"Kluane",2017,65,50,90,"PC17SR6"
"23","PC17SR7","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,64,157,137,21.2,56,50,51,135,84,113,34.7,10.2,1376576,"Kluane",2017,110.666666666667,52.3333333333333,147,"PC17SR7"
"24","PC17SR8","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,64,102,157,22.1,40,46,45,64,71,98,41.4,14.2,1024896,"Kluane",2017,77.6666666666667,43.6666666666667,129.5,"PC17SR8"
"25","PC17SR9","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,63,110,72,15.5,41,42,38,41,30,18,33.4,13.7,498960,"Kluane",2017,29.6666666666667,40.3333333333333,91,"PC17SR9"
"26","PC17SR10","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,78,109,89,51.7,62,53,51,82,65,46,35.3,11.7,756678,"Kluane",2017,64.3333333333333,55.3333333333333,99,"PC17SR10"
"27","PC17SR11","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,80,120,171,33.4,63,47,54,73,83,87,38.6,12.1,1641600,"Kluane",2017,81,54.6666666666667,145.5,"PC17SR11"
"28","PC17SR12","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,41,45,60,8.9,54,53,51,36,90,51,38,8.4,110700,"Kluane",2017,59,52.6666666666667,52.5,"PC17SR12"
"29","PC17SR13","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,77,136,65,17.7,58,54,54,52,45,71,29.3,11.3,680680,"Kluane",2017,56,55.3333333333333,100.5,"PC17SR13"
"30","PC17SR14","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,97,145,109,23.8,60,54,58,156,100,85,41.3,11.6,1533085,"Kluane",2017,113.666666666667,57.3333333333333,127,"PC17SR14"
"31","PC17SR15","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,109,242,224,74.4,61,65,56,84,57,66,36.2,14.8,5908672,"Kluane",2017,69,60.6666666666667,233,"PC17SR15"
"32","PP17SR16","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,81,137,121,31,38,44,41,45,59,57,35.6,11.3,1342737,"Kluane",2017,53.6666666666667,41,129,"PP17SR16"
"33","PP17SR17","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,78.5,154,150,25,53,50,59,55,50,35,37.7,14.3,1813350,"Kluane",2017,46.6666666666667,54,152,"PP17SR17"
"34","PP17SR18","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,52,102,43,11,46,50,48,57,51,65,36.5,8.4,228072,"Kluane",2017,57.6666666666667,48,72.5,"PP17SR18"
"35","PP17SR19","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,45,66,46,16,41,42,45,30,37,34,24.2,10,136620,"Kluane",2017,33.6666666666667,42.6666666666667,56,"PP17SR19"
"36","PP17SR20","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,37,32,30,11,42,44,39,40,31,22,23.6,10.9,35520,"Kluane",2017,31,41.6666666666667,31,"PP17SR20"
"37","PC17SP2","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,28,226,191,14.5,45,44,39,26,26,24,26.9,10.4,1208648,"Kluane",2017,25.3333333333333,42.6666666666667,208.5,"PC17SP2"
"38","PC17SP4","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,81,256,191,49.2,54,61,49,62,75,107,33.6,16.1,3960576,"Kluane",2017,81.3333333333333,54.6666666666667,223.5,"PC17SP4"
"39","PC17SP5","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,33,190,137,18,38,37,35,45,43,25,26.9,14.8,858990,"Kluane",2017,37.6666666666667,36.6666666666667,163.5,"PC17SP5"
"40","PC17SP6","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,49,149,91,14.9,45,35,39,46,74,40,35.6,12.7,664391,"Kluane",2017,53.3333333333333,39.6666666666667,120,"PC17SP6"
"41","PC17SP7","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,122,211,209,53.4,66,70,61,144,128,163,36.1,9.2,5380078,"Kluane",2017,145,65.6666666666667,210,"PC17SP7"
"42","PC17SP9","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,83,222,131,25,50,47,50,56,64,51,34.5,11.9,2413806,"Kluane",2017,57,49,176.5,"PC17SP9"
"43","PC17SP10","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,22,62,51,11,54,53,55,57,50,50,26.6,14.5,69564,"Kluane",2017,52.3333333333333,54,56.5,"PC17SP10"
"44","PP17SP11","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,90,107,128,30,52,52,50,98,106,86,41.7,9.6,1232640,"Kluane",2017,96.6666666666667,51.3333333333333,117.5,"PP17SP11"
