"","Species","population","SLA","LA","LDMC_percent","group_color","group_shape"
"1","Salix richardsonii","N. Source",19.5018237082067,6416.1,22.7053140096618,"north","source"
"2","Salix richardsonii","N. Source",22.6,4339.2,20.8017334777898,"north","source"
"3","Salix richardsonii","N. Source",22.6955882352941,4629.9,20.2380952380952,"north","source"
"4","Salix richardsonii","N. Source",19.9024752475248,4020.3,22.271223814774,"north","source"
"5","Salix richardsonii","N. Source",16.2426506024096,6740.7,20.843797086891,"north","source"
"6","Salix richardsonii","N. Source",15.685878962536,5443,24.9640287769784,"north","source"
"7","Salix richardsonii","S. Source",11.6395833333333,5587,30.188679245283,"south","source"
"8","Salix richardsonii","S. Source",12.7951672862454,6883.8,32.1194029850746,"south","source"
"9","Salix richardsonii","S. Source",13.6317073170732,5030.1,27.9122541603631,"south","source"
"10","Salix richardsonii","S. Source",12.101867219917,5833.1,30.2763819095477,"south","source"
"11","Salix richardsonii","S. Source",11.9125,3907.3,30.5400372439479,"south","source"
"12","Salix richardsonii","S. Source",12.090866873065,7810.7,31.0427679000481,"south","source"
"13","Salix richardsonii","S. Source",11.8755952380952,5985.3,29.3193717277487,"south","source"
"14","Salix richardsonii","S. Source",9.98956276445698,7082.6,33.2395686826067,"south","source"
"15","Salix richardsonii","S. Source",11.2709090909091,4959.2,31.496062992126,"south","source"
"16","Salix richardsonii","S. Source",10.0218574859888,12517.3,34.3887665198238,"south","source"
"17","Salix richardsonii","S. Source",10.1386,5069.3,35.0385423966363,"south","source"
"18","Salix richardsonii","N. Source",11.4384353741497,3362.9,29.4884653961886,"north","source"
"19","Salix richardsonii","N. Source",12.7886503067485,4169.1,30.5243445692884,"north","source"
"20","Salix richardsonii","N. Source",12.9534946236559,4818.7,29.4770206022187,"north","source"
"21","Salix richardsonii","N. Source",13.1546875,4209.5,30.8285163776493,"north","source"
"22","Salix richardsonii","N. Source",11.8367403314917,4284.9,31.0463121783877,"north","source"
"23","Salix richardsonii","N. Source",13.340108401084,4922.5,30.0733496332518,"north","source"
"24","Salix richardsonii","N. Garden",13.7566666666667,2063.5,28.1954887218045,"north","garden"
"25","Salix richardsonii","S. Garden",15.237962962963,3291.4,29.5485636114911,"south","garden"
"26","Salix richardsonii","S. Garden",9.19419953596288,3962.7,27.5928297055058,"south","garden"
"27","Salix richardsonii","S. Garden",13.5119565217391,3729.3,30.4299889746417,"south","garden"
"28","Salix richardsonii","S. Garden",15.5345195729537,4365.2,28.3838383838384,"south","garden"
"29","Salix richardsonii","N. Garden",15.9115384615385,2895.9,25.962910128388,"north","garden"
"30","Salix richardsonii","N. Garden",13.0256983240223,2331.6,30.5460750853242,"north","garden"
"31","Salix richardsonii","N. Garden",14.5462765957447,2734.7,27.8518518518518,"north","garden"
"32","Salix richardsonii","S. Garden",13.02457002457,5301,28.90625,"south","garden"
"33","Salix richardsonii","N. Garden",16.7546052631579,2546.7,28.3054003724395,"north","garden"
"34","Salix richardsonii","S. Garden",13.8621414913958,7249.9,32.8930817610063,"south","garden"
"35","Salix richardsonii","N. Garden",14.2026515151515,3749.5,23.9347234814143,"north","garden"
"36","Salix richardsonii","S. Garden",12.0296195652174,4426.9,29.6774193548387,"south","garden"
"37","Salix richardsonii","N. Garden",12.3825,1981.2,26.2295081967213,"north","garden"
"38","Salix richardsonii","N. Garden",16.5671532846715,2269.7,26.3461538461538,"north","garden"
"39","Salix richardsonii","N. Garden",10.5784688995215,2210.9,29.4366197183099,"north","garden"
"40","Salix richardsonii","N. Garden",14.3161073825503,2133.1,27.5925925925926,"north","garden"
"41","Salix richardsonii","S. Garden",13.242735042735,4648.2,29.4957983193277,"south","garden"
"42","Salix richardsonii","S. Garden",13.8600907029478,6112.3,29.4786096256684,"south","garden"
"43","Salix richardsonii","S. Garden",11.4419700214133,5343.4,31.1333333333333,"south","garden"
"44","Salix richardsonii","S. Garden",14.1427884615385,8825.1,27.0833333333333,"south","garden"
"45","Salix richardsonii","S. Garden",12.3265560165975,5941.4,26.9123394751535,"south","garden"
"46","Salix richardsonii","N. Garden",12.1461187214612,2660,26.5133171912833,"north","garden"
"47","Salix richardsonii","S. Garden",12.6310231023102,7654.4,31.7277486910995,"south","garden"
"48","Salix richardsonii","N. Garden",17.927083335,392.3,29.64285715,"north","garden"
"49","Salix richardsonii","N. Garden",19.965,264.6,29.16666665,"north","garden"
"50","Salix richardsonii","N. Garden",15.72104072,231.95,33.25,"north","garden"
"51","Salix richardsonii","N. Garden",13.579843305,359.4,38.54166665,"north","garden"
"52","Salix richardsonii","N. Garden",14.14191919,208.1,42.5,"north","garden"
"53","Salix richardsonii","N. Garden",15.017741935,493.95,31.4090909,"north","garden"
"54","Salix richardsonii","N. Garden",16.565196075,715.2,32.30113635,"north","garden"
"55","Salix richardsonii","N. Garden",21.63784585,485.8,32.14285715,"north","garden"
"56","Salix richardsonii","N. Garden",18.02381579,351.9,30.11904765,"north","garden"
"57","Salix richardsonii","S. Garden",14.420548655,1273.3,37.5,"south","garden"
"58","Salix richardsonii","S. Garden",9.3103944795,894.35,37.3787879,"south","garden"
"59","Salix richardsonii","S. Garden",10.5203363395,1159.15,33.4742647,"south","garden"
"60","Salix richardsonii","S. Garden",12.764132145,1639.4,34.2745377,"south","garden"
"61","Salix richardsonii","S. Garden",13.56046366,766.4,34.2647059,"south","garden"
"62","Salix richardsonii","S. Garden",14.63009317,585.55,35.1923077,"south","garden"
"63","Salix richardsonii","S. Garden",14.82359845,1625.05,31.95689655,"south","garden"
"64","Salix richardsonii","S. Garden",14.464576925,1262.8,32.37903225,"south","garden"
"65","Salix richardsonii","S. Garden",16.4075,1243.65,32.03703705,"south","garden"
"66","Salix richardsonii","S. Garden",15.15678348,2218.7,31.260771,"south","garden"
"67","Salix richardsonii","S. Garden",14.83643411,1776.9,32.6401515,"south","garden"
"68","Salix richardsonii","S. Garden",15.324401535,1772.35,35.51136365,"south","garden"
"69","Salix richardsonii","S. Garden",12.703147165,1063.7,35.4074074,"south","garden"
"70","Salix richardsonii","S. Garden",18.580267295,1049.3,27.58373205,"south","garden"
"71","Salix richardsonii","S. Garden",15.05516204,2097.85,34.50734395,"south","garden"
"72","Salix richardsonii","S. Garden",19.44534759,822.25,34.1875,"south","garden"
"73","Salix richardsonii","S. Source",18.6760416666667,7171.6,24.6945337620579,"south","source"
"74","Salix richardsonii","S. Source",23.9904929577465,6813.3,21.5151515151515,"south","source"
"75","Salix richardsonii","S. Source",20.146394984326,6426.7,23.015873015873,"south","source"
