"","population","trait","type","value","Species","group_color","group_shape"
"1","N. Garden","SLA","fit",13.7296180524381,"Salix richardsonii","north","garden"
"2","N. Source","SLA","fit",13.7002780193542,"Salix richardsonii","north","source"
"3","S. Source","SLA","fit",13.9963565525764,"Salix richardsonii","south","source"
"4","S. Garden","SLA","fit",12.3085967408087,"Salix richardsonii","south","garden"
"5","N. Garden","SLA","error",0.0989632169894518,"Salix richardsonii","north","garden"
"6","N. Source","SLA","error",0.0860679148489778,"Salix richardsonii","north","source"
"7","S. Source","SLA","error",0.0780262343382394,"Salix richardsonii","south","source"
"8","S. Garden","SLA","error",0.0941609573605673,"Salix richardsonii","south","garden"
"9","N. Garden","SLA","lwr",10.9436955331127,"Salix richardsonii","north","garden"
"10","N. Source","SLA","lwr",11.5398640898724,"Salix richardsonii","north","source"
"11","S. Source","SLA","lwr",11.5985111711603,"Salix richardsonii","south","source"
"12","S. Garden","SLA","lwr",9.79012639108218,"Salix richardsonii","south","garden"
"13","N. Garden","SLA","upr",16.6809037547369,"Salix richardsonii","north","garden"
"14","N. Source","SLA","upr",17.1215593796701,"Salix richardsonii","north","source"
"15","S. Source","SLA","upr",16.9376202157308,"Salix richardsonii","south","source"
"16","S. Garden","SLA","upr",14.8231167647858,"Salix richardsonii","south","garden"
"17","N. Garden","LDMC","fit",29.5739947164899,"Salix richardsonii","north","garden"
"18","N. Source","LDMC","fit",34.1763417097965,"Salix richardsonii","north","source"
"19","S. Source","LDMC","fit",28.7120957247035,"Salix richardsonii","south","source"
"20","S. Garden","LDMC","fit",32.2547292290301,"Salix richardsonii","south","garden"
"21","N. Garden","LDMC","error",1.98433284295794,"Salix richardsonii","north","garden"
"22","N. Source","LDMC","error",3.32822385220851,"Salix richardsonii","north","source"
"23","S. Source","LDMC","error",2.29098217546292,"Salix richardsonii","south","source"
"24","S. Garden","LDMC","error",1.89753802624326,"Salix richardsonii","south","garden"
"25","N. Garden","LDMC","lwr",25.451211289086,"Salix richardsonii","north","garden"
"26","N. Source","LDMC","lwr",26.7213690308493,"Salix richardsonii","north","source"
"27","S. Source","LDMC","lwr",24.1692442558819,"Salix richardsonii","south","source"
"28","S. Garden","LDMC","lwr",28.0717877406351,"Salix richardsonii","south","garden"
"29","N. Garden","LDMC","upr",34.1406788298354,"Salix richardsonii","north","garden"
"30","N. Source","LDMC","upr",39.8654944648523,"Salix richardsonii","north","source"
"31","S. Source","LDMC","upr",33.7244121464461,"Salix richardsonii","south","source"
"32","S. Garden","LDMC","upr",36.781507883718,"Salix richardsonii","south","garden"
"33","N. Garden","LA","fit",23.7071141162328,"Salix richardsonii","north","garden"
"34","N. Source","LA","fit",48.931259203178,"Salix richardsonii","north","source"
"35","S. Source","LA","fit",71.7316611668014,"Salix richardsonii","south","source"
"36","S. Garden","LA","fit",53.1632371647659,"Salix richardsonii","south","garden"
"37","N. Garden","LA","error",7.37569783291621,"Salix richardsonii","north","garden"
"38","N. Source","LA","error",6.67531631751617,"Salix richardsonii","north","source"
"39","S. Source","LA","error",4.73129527170821,"Salix richardsonii","south","source"
"40","S. Garden","LA","error",6.91086180990436,"Salix richardsonii","south","garden"
"41","N. Garden","LA","lwr",6.62594367858151,"Salix richardsonii","north","garden"
"42","N. Source","LA","lwr",34.8204996263417,"Salix richardsonii","north","source"
