"","Species","Estimate","Est.Error","l_95_CI_log","u_95_CI_log","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","CI_low_trans","CI_high_trans","Estimate_trans","Est.Error_trans"
"Intercept","Salix richardsonii",5.80437458779974,1.00013867614725,3.72826426379386,7.92891908097407,1.00112918691219,3197.23028440209,2511.79233909245,152,"fixed",5348.89735379747,75942503.837767,637345.006898608,10.0031936461542
"Sample age","Salix richardsonii",0.169902236709904,0.092200570252801,-0.00770890549754222,0.350227669811369,1.00026214613552,5501.33980495785,6690.54116916119,152,"fixed",0.982406199658432,2.22593961624552,1.47877546607486,1.23651836296547
"Southern Garden","Salix richardsonii",-0.36771803736613,0.767721429201451,-1.87930521384081,1.1187912920545,1.00027316536836,4905.77899854263,6107.10576115276,152,"fixed",0.01320367379149,13.9273708249089,0.428826842845936,5.85762316724927
"Sample age*Southern Garden","Salix richardsonii",0.818611179247546,0.126998952946172,0.566997468254631,1.06812411852302,1.00055755634595,4713.32999817688,5530.0844168405,152,"fixed",3.68975447599686,11.7550610841562,6.58584005658214,1.3396734575624
"Year","Salix richardsonii",0.966501708815686,1.26289049587656,0.0144250864860105,4.55374240243469,1.00054115300276,2238.973968932,3888.35459904357,152,"random",1.03377276523687,82.9045432845246,9.25767027723189,18.3185247615848
"sigma","Salix richardsonii",1.44115117251948,0.0848614053864558,1.28475929327619,1.61972266284118,1.00047903323103,7510.57987690046,7152.41480945029,152,"residual",19.2645688291806,39.5861304759341,27.6153894637493,1.21579794612756
"Intercept1","Salix pulchra",3.17156864189467,0.994529106808373,1.16585461868931,5.15836525311189,1.00126384149949,2989.08149483908,1481.3805419496,197,"fixed",14.6505732676086,150412.062018897,1484.46048614974,9.8748181545216
"Sample age1","Salix pulchra",0.481811393462121,0.0963385786836097,0.293866580762644,0.667717161900874,1.00123035574887,4811.92304676492,6705.74993580351,197,"fixed",1.96728182989083,4.67472649014772,3.03257390409153,1.24835636137102
"Southern Garden1","Salix pulchra",3.54378480238566,0.842987627481837,1.89013905646719,5.17872409374271,1.00090080931731,4052.00096131429,5109.60650142527,197,"fixed",77.6495702482339,157554.404405142,3497.71808366193,6.96606668356825
"Sample age*Southern Garden1","Salix pulchra",-0.013780265873483,0.132091710081518,-0.269645712859337,0.243529727901045,1.00093026109219,3894.73269014836,5025.28507618088,197,"fixed",0.537470072919528,1.74616460640309,0.968767886716404,1.35547561827854
"Year1","Salix pulchra",0.878648989384839,1.13072349790849,0.0159484000822115,3.95021964542082,1.00146858514231,2066.08350475684,1744.82383900781,197,"random",1.03740515106817,55.1251239106772,7.56221445730069,13.512120136762
"sigma1","Salix pulchra",1.8204245014567,0.0926984281082534,1.65066171811266,2.00963572264871,1.00144266404448,7732.1077409797,7145.19913468583,197,"residual",44.7364705845212,97.7658734823852,66.133955901751,1.23793667104105
"Intercept2","Salix arctica",7.56107193505197,1.3170870756522,5.00308452652209,10.1945678950805,1.00024845292819,4120.99438748287,4655.01859494003,105,"fixed",100712.766654169,13154045615.8899,36397531.8760959,20.7532957745353
"Sample age2","Salix arctica",-0.24590572586358,0.185630744849103,-0.607820917164313,0.112623160273099,0.999915144487803,5103.20370152571,6275.89938206343,105,"fixed",0.246705642679273,1.30619935640326,0.567667818084413,1.53331274243637
"Southern Garden2","Salix arctica",-4.062880428537,1.29497727984246,-6.63407137457009,-1.5304016429856,1.00008020168618,4600.55619135373,5554.04517544409,105,"fixed",2.32235509517293e-07,0.0322337265631066,8.6520609752961e-05,19.7231955132902
"Sample age*Southern Garden2","Salix arctica",0.87704125632752,0.239471661963598,0.40883816428087,1.34816508208449,1.00002209617988,4587.26295727545,5757.23028837754,105,"fixed",2.56352858389846,22.1434021990258,7.53427133052445,1.73568800424938
"Year2","Salix arctica",1.02839385744344,1.11782298453836,0.031162926474708,4.02705069114426,1.00141958754196,2870.68726699376,3644.17853341381,105,"random",1.07439239728009,106.077869442733,10.6756384562678,13.1166516429613
"sigma2","Salix arctica",1.43917824246907,0.102254610908213,1.25350414452219,1.65246644630409,1.00035878324677,7438.99394768832,6351.62480154463,105,"residual",17.9268566008933,42.1553151512671,27.4902217103142,1.26547803334314
