"","Species","Estimate","Est.Error","l_95_CI_log","u_95_CI_log","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","CI_low_trans","CI_high_trans","Estimate_trans","Est.Error_trans"
"Intercept","Salix richardsonii",7.50704092410427,0.823980617907782,5.85877870555798,9.22425253763206,1.00202543146438,3127.5467616636,4139.52053586092,78,"fixed",722401.610580924,1429891691.45529,32139633.8010187,6.66777011013965
"Southern Garden","Salix richardsonii",4.18545283748268,0.384521696939749,3.42903153381269,4.94113896916211,1.00018653185862,7869.6868170795,7274.72330083866,78,"fixed",2685.53943368302,87473.0241050887,15326.8475433705,2.42393905922245
"Sample age","Salix richardsonii",1.9606217167433,0.798740737900835,0.836533774515374,3.88764303029448,1.00134781615368,2393.29466694571,3592.71710688333,78,"random",6.86331251422261,1215.37320954982,91.3317368637769,6.29130496782938
"Sigma","Salix richardsonii",1.61693059753854,0.14115651226465,1.36555328512229,1.91794056227205,1.00020180576973,6890.63445173212,7148.79272634251,78,"residual",23.2034885989385,73.8427581520007,41.393352085741,1.3840650823644
"Intercept1","Salix pulchra",6.47517349950222,0.497049355521755,5.46434169613005,7.45084551386132,1.00091926016575,3500.95800090323,4940.3857764686,109,"fixed",291300.812607921,30620008.2147083,2986575.50967755,3.14086561817424
"Southern Garden1","Salix pulchra",3.52641750773082,0.363539938267023,2.80881868104333,4.23699078854177,1.00009680017411,9010.08503435203,7939.21729669162,109,"fixed",643.900379482215,17539.4646896253,3360.60529809209,2.30961684442468
"Sample age1","Salix pulchra",1.1498289493511,0.47489724712422,0.464279170590153,2.3080863251253,1.0011560333444,3070.21660844005,5115.32528802716,109,"random",2.91258876939192,68.4508315092788,14.1198131400336,2.98467636918154
"Sigma1","Salix pulchra",1.80888749788293,0.129923380818748,1.57422444382266,2.08541452229495,1.00038358950793,8543.61920121211,7847.43793290454,109,"residual",37.5166838751251,110.547913983272,64.4002417849883,1.34872491660484
"Intercept2","Salix arctica",7.20093518168504,0.39986504674885,6.42886973019959,8.00160750541897,1.00063158181191,4934.21008478685,4810.62965253767,53,"fixed",2684539.07778171,93972468.0615435,15883096.7618663,2.51110600580454
"Southern Garden2","Salix arctica",0.362738647508883,0.399124747880157,-0.420490375511623,1.1376453951652,1.00045929048774,9902.34699939781,7424.38039234727,53,"fixed",0.379760354824571,13.9948313927078,2.30535943735565,2.5068292177903
"Sample age2","Salix arctica",0.495774803287893,0.43584141158333,0.0206049853507318,1.59994971061532,1.00035528003991,2809.10966945307,4463.17122475037,53,"random",1.04858824625988,9.35286404113312,3.1316614284432,2.72798144213396
"Sigma2","Salix arctica",1.45312070300921,0.149154904481843,1.19832146673492,1.78051342228087,1.00032268155757,10035.7203395778,7818.05815513123,53,"residual",15.7877945697435,51.0410898781947,28.3870787791338,1.40979155426483
