"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","Species"
"Intercept",4.82255614209068,1.62747417042686,1.62262330656423,7.97518100142047,"1.00",3356.30873949838,3713.47972894574,"fixed",62,"Salix richardsonii"
"log(Mother Canopy Height)",-0.305412960886209,0.3801879481766,-1.04966226352133,0.444359020974612,"1.00",3338.82712018699,3539.71409471916,"fixed",62,"Salix richardsonii"
"Site:Qikiqtaruk",-5.23736997983422,3.40964226949776,-11.742496545313,1.59216321029913,"1.00",1997.59243937352,2462.78887950375,"fixed",62,"Salix richardsonii"
"log(Mother Canopy Height)*Site",0.978711372876841,0.88388397434723,-0.775870895043311,2.67132266988323,"1.00",2015.72923834955,2469.9428382686,"fixed",62,"Salix richardsonii"
"Sigma",1.04886554171981,0.0970682224866525,0.879272235454098,1.26092249425164,"1.00",3562.15617862388,3445.32013275037,"residual",62,"Salix richardsonii"
" Intercept",3.68279180492034,0.858171173264774,2.00478096315187,5.37055186265798,"1.00",3131.65122695745,3322.29019799061,"fixed",101,"Salix pulchra"
" log(Mother Canopy Height)",-0.096279876804625,0.204642236541434,-0.499599585979683,0.30355838915623,"1.00",3105.31064863967,3586.67523810878,"fixed",101,"Salix pulchra"
" Site:Qikiqtaruk",-2.53775778954507,1.39716839018793,-5.34029854035736,0.159083866423734,"1.00",2103.88127540268,2588.79306622007,"fixed",101,"Salix pulchra"
" log(Mother Canopy Height)*Site",0.451527712734958,0.389371210380031,-0.287820667038849,1.23810592536091,"1.00",2144.57870776696,2495.97444844897,"fixed",101,"Salix pulchra"
" Sigma",0.730005480868396,0.0545305848575513,0.633544036213032,0.846461959381015,"1.00",4048.9017337942,3477.35490241366,"residual",101,"Salix pulchra"
"Intercept ",0.607717669871824,0.59374324901603,-0.564881356749998,1.77740946587397,"1.00",4261.40434167978,4031.96918763903,"fixed",32,"Salix arctica"
"log(Mother Canopy Height) ",0.480070885503606,0.250696270174293,-0.0144212883730894,0.975988233118557,"1.00",4227.9479032596,3701.26910843587,"fixed",32,"Salix arctica"
"Site:Qikiqtaruk ",-1.74250636016955,1.70009539230209,-5.07157091366976,1.62179266976116,"1.00",2517.85940874983,3417.37205334452,"fixed",32,"Salix arctica"
"log(Mother Canopy Height)*Site ",0.645492991072139,0.80255498836742,-0.977000209640075,2.20844454697497,"1.00",2514.51261927701,3165.06420829137,"fixed",32,"Salix arctica"
"Sigma ",0.822083786081934,0.116799803742251,0.628963414276668,1.09086728090375,"1.00",3802.82473400715,3068.0866635457,"residual",32,"Salix arctica"
