"","Species","Estimate (scale og)","l_95_CI_scale_og","u_95_CI_scale_og","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","Estimate_scale_sum","Est.Error","l_95_CI_scale_sum","u_95_CI_scale_sum"
"Intercept","Salix richardsonii",-16.4323162363565,-25.5734153344533,-7.16401141467736,1.00119678922709,3894.36906048679,3990.43922723526,34,"fixed",47.2735661165847,4.64517349691353,38.1324670184879,56.5418709382638
"Northern Source","Salix richardsonii",-6.71742256395185,-27.5354799985564,14.6198970894472,1.00018765609594,4347.58460823878,3640.79612772422,34,"fixed",40.5561435526328,10.8929000103717,10.5969870199315,71.161768027711
"Southern Garden","Salix richardsonii",33.2868028162629,21.6058193119453,45.0934402871917,1.00103423874315,4177.29697123748,4331.59382834528,34,"fixed",80.5603689328476,5.84383480397302,59.7382863304332,101.635311225455
"Southern Source","Salix richardsonii",6.30685239871826,-8.16223465988313,20.5067069826112,1.00150572624358,4291.23267392432,4062.50141033458,34,"fixed",53.5804185153029,7.20575797025777,29.9702323586048,77.0485779208751
"Sigma","Salix richardsonii",14.0308077859509,10.85943918185,18.3551212977598,1.00030368147174,4531.55991790435,3664.19523752202,34,"residual",77.736690138892,1.91580106356247,74.5653215347911,82.061003650701
" Intercept","Salix pulchra",-8.03108571755403,-19.7396312345013,3.50226994988256,1.00144609380897,3089.3695884289,3001.94118741077,28,"fixed",55.3974857110174,5.77871137552731,43.6889401940701,66.930841378454
" Northern Source","Salix pulchra",-5.36979552528471,-26.6575074143402,15.3748513826834,1.00035529002761,3625.33907413932,3608.86611893689,28,"fixed",50.0276901857327,10.5826625133582,17.0314327797299,82.3056927611374
" Southern Garden","Salix pulchra",20.6899037424484,8.91371364265025,32.5227161500176,1.00018719112813,4416.823588124,4172.88676414221,28,"fixed",76.0873894534658,6.032509051315,52.6026538367204,99.4535575284716
" Southern Source","Salix pulchra",-3.42680004942611,-20.8814153565566,14.1743942312845,1.00078831076704,4254.66750803842,3543.82673335925,28,"fixed",51.9706856615913,8.69621001441144,22.8075248375135,81.1052356097385
" Year","Salix pulchra",5.01313369862761,0.133651355351088,17.6661365447968,1.00150792322879,1826.09697134726,2288.78480456073,28,"random",68.441705127199,4.83276654698898,63.5622227839225,81.0947079733683
" Sigma","Salix pulchra",13.3427438986759,10.0123169328023,18.0319991288364,1.0004575150018,5117.35576299753,4007.57055697655,28,"residual",76.7713153272473,2.07457159995904,73.4408883613737,81.4605705574078
"Intercept ","Salix arctica",15.7879082987974,1.60050139669816,30.0555988348597,1.00051589838104,2331.88232773722,3066.68550239129,120,"fixed",66.8962416321308,7.29032330742809,52.7088347300315,81.163932168193
"Northern Source ","Salix arctica",-19.6279364767662,-31.4281942134957,-7.59055918230744,1.00039471993372,3797.55459502458,3797.30150423223,120,"fixed",47.2683051553646,6.06904966127167,19.6801391198376,73.5733729858856
"Southern Garden ","Salix arctica",19.3961508054343,6.3312040049941,32.7214782403473,1.00033762856173,4054.120870972,4408.54472130459,120,"fixed",86.2923924375651,6.71736801698096,57.4395373383274,113.88541040854
"Year ","Salix arctica",12.3664997702386,6.85646650246288,21.8029737576899,1.00060096460168,1800.75725114074,3284.26572165282,120,"random",63.4748331035719,3.93752117190439,57.9647998357962,72.9113070910232
"Sigma ","Salix arctica",11.8437435604051,10.3882837246386,13.552449624648,1.00282355109017,4991.3180113088,3707.27001118391,120,"residual",62.9520768937385,0.804785666408826,61.4966170579719,64.6607829579814
