"","Species","Estimate","Est.Error","l_95_CI","u_95_CI","Rhat","Bulk_ESS","Tail_ESS","nobs","effect"
"Intercept","Salix richardsonii",138.748396435188,12.792108003128,110.80504446101,161.517528489221,1.00118088569705,2904.27598378506,2628.03187193615,193,"fixed"
"Northern source","Salix richardsonii",51.0474126752246,14.0092797391465,24.4125077487359,78.6567683526273,1.00050795422989,5633.66292834649,4426.71425272117,193,"fixed"
"Sample year","Salix richardsonii",16.0795229473979,15.4359767174897,0.538662871441099,56.3267778046285,1.0037841798727,1623.17729479876,2769.42832970551,193,"random"
"Sigma","Salix richardsonii",82.9738633448802,4.29384859290066,75.0703577035664,91.9579351800978,1.00053712540184,5468.78133852738,3429.29584795579,193,"residual"
"Intercept1","Salix pulchra",176.487631416137,37.163016354296,97.0400594104748,248.276368220123,1.0007734913604,2222.3705546044,2335.02160302385,199,"fixed"
"Northern source1","Salix pulchra",-9.32067981149669,18.1283985080257,-44.5465621706893,25.869866678847,1.00160623345366,5987.48745369683,4315.84427015255,199,"fixed"
"Sample year1","Salix pulchra",77.0977752134698,35.8039378329589,32.4604907343108,167.37051900531,1.00103889129605,1834.64945153978,2904.4911245438,199,"random"
"Sigma1","Salix pulchra",104.865698724947,5.24560875755194,95.3222845047235,115.740039421969,1.00251074953899,6298.19673949259,3761.5206585531,199,"residual"
"Intercept2","Salix arctica",24.3645436098256,11.8984415669217,-0.251588592571393,49.3886776781569,1.00083537786814,2012.79860449559,2629.66387215014,60,"fixed"
"Northern source2","Salix arctica",1.70228974810193,6.22954379782023,-10.3782111036833,13.9296572578619,0.999833849881442,4221.12829744589,3492.24611024302,60,"fixed"
"Sample year2","Salix arctica",20.7515218111066,12.6800208752261,5.53019045178281,51.8677922945113,1.00037945416187,1909.79108328038,2435.44125212453,60,"random"
"Sigma2","Salix arctica",16.2433108900239,1.5864886645612,13.5053431872015,19.7255697154787,0.999844733664839,5207.34641932651,4235.45742321687,60,"residual"
