"","Species","Est.Error","Estimate","lower_CI","upper_CI","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","Estimate_sum","lower_CI_trans","upper_CI_trans"
"Intercept","Salix richardsonii",3.03187798459578,22.7916806984294,16.6005963878799,28.7095821057186,1.00212761896728,1251.44538710427,1545.82268098891,620,"fixed",22.7916806984294,16.6005963878799,28.7095821057186
"Northern Source","Salix richardsonii",1.90664343697481,19.7111357838816,16.0267038334257,23.4505572633896,1.00071703578934,5058.08402317155,4426.44271517027,620,"fixed",42.502816482311,32.6273002213056,52.1601393691083
"Southern Source","Salix richardsonii",1.82948661967633,28.6173300147417,25.076416201079,32.2314731476367,0.999887502622918,4999.24217727948,4205.242774999,620,"fixed",51.409010713171,41.6770125889589,60.9410552533553
"Southern Garden","Salix richardsonii",0.852062321548406,17.7967724258662,16.1827882698002,19.5176898748121,1.00016937900852,5132.71110238797,4083.18440509379,620,"fixed",40.5884531242956,32.7833846576801,48.2272719805308
"Year","Salix richardsonii",2.72429952587743,8.73214155521575,5.07037643390998,15.4976846105619,1.00270033785673,1576.32766694404,2520.18909748953,620,"random",8.73214155521575,5.07037643390998,15.4976846105619
"Sigma","Salix richardsonii",0.272738664206828,9.34691117856269,8.84381854328876,9.92953611252385,1.00034893457902,5635.55964915476,4021.55826199156,620,"residual",9.34691117856269,8.84381854328876,9.92953611252385
"Intercept1","Salix pulchra",3.09655647117543,20.7111343466436,14.6459326079398,27.2016075386701,1.00103078727129,1234.70126432027,1700.89946398744,793,"fixed",20.7111343466436,14.6459326079398,27.2016075386701
"Northern Source1","Salix pulchra",2.15316076712847,14.8198958206815,10.567761266066,18.9912554968288,1.00018723153299,6058.49889701044,4408.35783847873,793,"fixed",35.5310301673251,25.2136938740058,46.1928630354989
"Southern Source1","Salix pulchra",2.05223522677344,30.0990900470498,26.1423140190455,34.1365602403733,1.001112450636,5236.31846682284,4028.03794487604,793,"fixed",50.8102243936934,40.7882466269853,61.3381677790434
"Southern Garden1","Salix pulchra",0.792729497747764,15.8360474636523,14.2648775107951,17.3745200099076,0.99986965586493,5484.98900237729,4141.66718862371,793,"fixed",36.5471818102959,28.9108101187349,44.5761275485777
"Year1","Salix pulchra",2.56774889143416,9.38910070902639,5.70077482155177,15.4690469048959,1.00256653357587,1674.27100367547,2852.12699454845,793,"random",9.38910070902639,5.70077482155177,15.4690469048959
"Sigma1","Salix pulchra",0.260999219506426,10.2467159081832,9.7457059511158,10.774293265043,1.00120152735997,6986.48952933755,3745.51665312403,793,"residual",10.2467159081832,9.7457059511158,10.774293265043
"Intercept2","Salix arctica",4.10492018509462,25.6959743873292,17.7543303397789,33.8800066154949,1.00481925622712,1153.59772200805,2072.90024940239,319,"fixed",25.6959743873292,17.7543303397789,33.8800066154949
"Northern Source2","Salix arctica",3.68822166778468,5.06249813993963,-2.16777968371278,12.391086994822,1.00321938958308,1838.12795819222,2937.99047685093,319,"fixed",30.7584725272688,15.5865506560661,46.2710936103169
"Southern Source2","Salix arctica",3.79745302078793,14.8445129071382,7.33832047711736,22.2909060431717,1.00023678793801,2275.83920897302,3890.51156217146,319,"fixed",40.5404872944673,25.0926508168963,56.1709126586666
"Southern Garden2","Salix arctica",2.24273517321237,3.09153973370149,-1.56402672280056,7.35897788719988,1.00289641404289,1059.10340959321,1776.49221538373,319,"fixed",28.7875141210307,16.1903036169784,41.2389845026948
"Year2","Salix arctica",3.34035033441015,9.44259903791912,5.06038182714463,17.9213798088897,1.00130094906622,2043.68175305319,2766.51900251554,319,"random",9.44259903791912,5.06038182714463,17.9213798088897
"Sigma2","Salix arctica",0.280143200192133,6.1819286580942,5.66709607962688,6.76109541609457,1.00007297857741,5378.11143601773,4577.98127851585,319,"residual",6.1819286580942,5.66709607962688,6.76109541609457
