"","Species","Estimate (log og)","Error","L95% CI log","U95% CI log","Estimate_log_sum","l_95_CI_log_sum","u_95_CI_log_sum","Estimate_trans","L95% CI back transformed","U95% CI back transformed","Rhat","Bulk ESS","Tail ESS","nobs","effect"
"Intercept","Salix richardsonii",2.6152526735094,0.107636762235354,2.39276354005394,2.81426457740147,2.6152526735094,2.39276354005394,2.81426457740147,13.6706701577407,10.9436955331127,16.6809037547369,1.00095539369202,3738.78942368923,5026.1532640789,152,"fixed"
"Northern Source","Salix richardsonii",0.00882655323995942,0.0987467478291518,-0.184360196440679,0.200739092165265,2.62407922674936,2.20840334361326,3.01500366956674,13.7918691535448,9.1011733394609,20.3891657598164,0.999955808429762,4904.68247683629,5901.74569223069,152,"fixed"
"Southern Source","Salix richardsonii",0.0239010320938648,0.0761404738079552,-0.12353415566982,0.176064802388285,2.63915370560327,2.26922938438412,2.99032937978976,14.0013493288525,9.6719445899635,19.8922335123107,0.999852352605051,5892.54663046363,7732.60665350951,152,"fixed"
"Southern Garden","Salix richardsonii",-0.110126268818312,0.065145517688567,-0.236547313975539,0.0160960295982101,2.50512640469109,2.1562162260784,2.83036060699968,12.2451067069087,8.63839002780669,16.9515725782316,0.999925152186092,7964.50016201857,8229.87454439022,152,"fixed"
"Year","Salix richardsonii",0.186324593455295,0.10486434404213,0.0594498801847962,0.453387447037664,0.186324593455295,0.0594498801847962,0.453387447037664,1.20481327141714,1.0612525698639,1.57363376815809,1.00036560793597,2574.14553324918,3985.39240370283,152,"random"
"Sigma","Salix richardsonii",0.222469645051874,0.0133581097877078,0.198161543908121,0.250176865927494,0.222469645051874,0.198161543908121,0.250176865927494,1.24915790095186,1.21915932567674,1.28425253711833,1.00037931507521,8336.35668872182,8151.02766960639,152,"residual"
"Intercept1","Salix pulchra",2.59504738290842,0.21898590083668,2.1980780006842,2.99498389210346,2.59504738290842,2.1980780006842,2.99498389210346,13.3972221457188,9.00768408855574,19.9850379703404,1.00193818215065,1314.87982721696,1495.36991287287,110,"fixed"
"Northern Source1","Salix pulchra",0.100487557158916,0.107612999064489,-0.110151932493089,0.312852122326976,2.69553494006734,2.08792606819111,3.30783601443044,14.8134409372444,8.06816497695064,27.3259285293269,1.00023188118922,3198.73192075523,3736.60644563425,110,"fixed"
"Southern Source1","Salix pulchra",-0.0775238747855904,0.0765949486028413,-0.224646725766633,0.0744191268382814,2.51752350812283,1.97343127491757,3.06940301894174,12.3978554258197,7.19532331155429,21.5290464050033,1.00030905354926,3430.75406049042,4035.31472939108,110,"fixed"
"Southern Garden1","Salix pulchra",-0.167786414155732,0.061453622663705,-0.2896483949193,-0.0489826283575627,2.42726096875269,1.9084296057649,2.9460012637459,11.3278123170002,6.7424921094804,19.0297066060538,1.00016289534513,4061.13389540775,4029.59050731572,110,"fixed"
"Year1","Salix pulchra",0.367337540824647,0.260929916468287,0.12598823024173,1.02438279737781,0.367337540824647,0.12598823024173,1.02438279737781,1.44388520707425,1.13426881813466,2.78537578868688,1.00294906574152,1114.70630613986,1602.52534271997,110,"random"
"Sigma1","Salix pulchra",0.216128356150371,0.0154219338231695,0.188953710125062,0.249128645732405,0.216128356150371,0.188953710125062,0.249128645732405,1.24126169234846,1.20798503371254,1.28290706297311,1.00151662134918,4306.49731821576,3683.32079577421,110,"residual"
"Intercept2","Salix arctica",2.41821029146638,0.102674120775188,2.21299254364402,2.63288823873514,2.41821029146638,2.21299254364402,2.63288823873514,11.2257505043206,9.14303643000619,13.9138985844752,1.00059983983359,2046.39770911839,2214.76281452334,96,"fixed"
"Northern Source2","Salix arctica",0.0748719164741915,0.0728496801028977,-0.0679969935937615,0.215821905591315,2.49308220794058,2.14499555005026,2.84871014432646,12.0985088314795,8.54200322572448,17.2654974719769,1.00016266037534,2790.32654755393,3842.33638422195,96,"fixed"
"Southern Source2","Salix arctica",0.174544425442121,0.0712764244643399,0.0312588227446885,0.3128654912577,2.59275471690851,2.24425136638871,2.94575372999284,13.366541973145,9.43335078886144,19.0249966943132,1.00062656493606,2878.57642165373,3713.65860312636,96,"fixed"
"Southern Garden2","Salix arctica",-0.0718906147166219,0.0657388329428766,-0.203380309419506,0.056682587396613,2.34631967674976,2.00961223422452,2.68957082613176,10.4470503640051,7.46042388930857,14.7253548266233,1.00159249651208,3759.1491706423,3554.85435195873,96,"fixed"
"Year2","Salix arctica",0.167838523619693,0.110985746905342,0.060491315159304,0.438254775652276,0.167838523619693,0.060491315159304,0.438254775652276,1.18274560974727,1.06235837111704,1.54999975931776,1.00041962535558,1668.83292215204,2462.47023629246,96,"random"
"Sigma2","Salix arctica",0.157316678380935,0.0120365240435476,0.136168020930033,0.182944523200901,0.157316678380935,0.136168020930033,0.182944523200901,1.17036618489044,1.14587440830494,1.20074779258898,1.00028326623687,5340.94776628699,4040.51286017943,96,"residual"
